IBGE;MUNIC;ODS;ODS1;ODS2;ODS3;ODS4;ODS5;ODS6;ODS7;ODS8;ODS9;ODS10;ODS11;ODS12;ODS13;ODS14;ODS15;ODS16;ODS17
1506195;Rurópolis;36,95;54,38;51,75;63,17;24,21;20,88;21,79;0,00;30,47;3,34;75,30;75,62;100,00;9,80;0,00;38,60;54,56;4,23
1506401;Santa Cruz do Arari;37,00;61,17;37,26;47,99;22,73;48,41;42,23;36,10;24,92;0,00;74,64;60,68;36,98;59,53;0,00;42,34;34,09;0,00
2110203;Santa Rita;38,83;54,35;42,74;64,67;28,17;35,91;28,33;50,78;27,61;4,40;77,03;68,41;77,04;47,79;0,00;20,55;29,89;2,42
1303809;São Gabriel da Cachoeira;40,03;65,70;57,54;42,80;21,81;17,15;49,15;10,19;42,38;0,96;55,58;71,36;51,12;79,29;0,00;55,32;57,50;2,63
1507466;São João da Ponta;37,36;46,41;53,26;52,63;35,71;33,78;0,00;39,82;46,87;0,00;78,33;70,81;51,49;31,66;0,00;13,17;80,16;1,02
2111409;São Luís Gonzaga do Maranhão;39,44;43,68;34,58;58,51;19,90;54,15;20,53;46,47;41,14;2,32;78,69;75,91;77,04;53,98;0,00;7,74;50,47;5,32
1507706;São Sebastião da Boa Vista;39,60;53,41;51,36;61,72;21,80;13,12;23,76;0,00;42,02;0,12;77,20;70,15;100,00;71,48;0,00;59,51;25,36;2,22
1303957;São Sebastião do Uatumã;42,22;51,18;48,90;54,45;36,82;40,14;23,67;6,33;52,11;0,05;63,65;68,47;73,64;66,68;0,00;49,66;75,00;6,94
2111748;Senador Alexandre Costa;42,13;45,22;60,93;66,71;15,45;52,29;54,23;48,25;40,27;1,31;75,57;61,36;100,00;60,71;0,00;0,83;27,01;6,09
1507904;Soure;37,77;49,17;24,02;49,02;27,00;37,24;42,38;38,24;28,30;2,58;80,68;74,81;37,11;58,96;0,00;55,94;33,38;3,26
1304237;Tonantins;36,51;61,66;60,79;52,79;20,30;35,85;41,21;7,41;38,62;0,84;55,99;34,82;100,00;52,90;0,00;22,07;33,80;1,57
1508035;Tracuateua;38,48;47,92;52,68;64,03;23,05;37,99;28,07;21,69;26,06;2,54;73,97;74,16;77,04;47,68;0,00;27,90;47,27;2,09
1304401;Urucurituba;37,89;55,00;54,45;60,51;29,65;48,29;24,89;5,56;32,82;3,31;78,57;62,22;65,00;68,06;0,00;22,75;27,43;5,63
2112803;Viana;38,89;45,25;49,69;60,38;28,21;44,43;24,70;53,31;42,19;4,78;71,02;70,50;77,04;38,22;0,00;23,27;25,51;2,70
2112902;Vitória do Mearim;38,86;49,87;51,77;63,31;29,74;21,29;30,42;48,50;40,37;3,71;77,38;71,57;50,80;54,28;0,00;40,46;20,47;6,76
