IBGE;MUNIC;ODS;ODS1;ODS2;ODS3;ODS4;ODS5;ODS6;ODS7;ODS8;ODS9;ODS10;ODS11;ODS12;ODS13;ODS14;ODS15;ODS16;ODS17
1100205;Porto Velho;37,33;56,59;46,68;56,45;42,53;19,88;26,18;77,17;57,99;12,18;68,15;33,30;29,56;19,50;0,00;38,26;32,70;17,51
1101476;Primavera de Rondônia;46,72;41,54;61,94;68,50;55,85;26,00;23,32;64,57;44,72;33,46;71,50;74,60;68,73;28,87;0,00;24,93;79,76;26,00
1718840;Sandolândia;43,22;53,94;43,66;71,46;43,41;31,28;30,88;49,72;44,73;1,94;72,74;75,62;100,00;38,37;0,00;24,17;28,65;24,12
1100296;Santa Luzia D'Oeste;43,31;42,14;37,78;68,60;52,72;29,88;28,58;73,20;39,69;6,06;68,50;73,64;100,00;46,91;0,00;11,02;51,11;6,40
1718881;Santa Maria do Tocantins;42,74;45,62;58,18;52,20;40,40;36,82;25,06;12,08;55,75;1,41;74,85;74,19;100,00;34,20;0,00;22,52;79,76;13,54
5107776;Santa Terezinha;36,87;48,77;54,45;50,15;38,95;8,75;0,00;66,16;38,91;1,29;66,37;75,05;77,04;18,58;0,00;17,36;52,86;12,10
1400506;São João da Baliza;41,74;55,95;44,63;63,39;43,55;40,27;17,03;34,43;50,92;1,50;78,10;74,24;77,04;39,11;0,00;38,31;45,57;5,49
1100320;São Miguel do Guaporé;42,34;35,79;45,37;66,28;47,62;41,05;30,64;68,23;55,52;4,93;66,69;64,54;95,91;35,55;0,00;32,80;23,70;5,22
2111607;São Raimundo das Mangabeiras;39,86;49,03;53,97;64,53;32,96;24,08;41,92;33,88;46,71;2,64;79,78;59,99;100,00;23,27;0,00;24,19;34,30;6,38
1720499;São Valério;42,24;42,02;53,87;73,98;37,66;54,13;23,98;23,75;49,83;1,16;68,81;65,15;100,00;38,85;0,00;14,66;48,73;21,54
5108402;Várzea Grande;48,54;56,13;43,14;59,47;40,24;22,41;56,84;76,51;53,68;9,18;68,68;49,47;100,00;81,15;17,01;26,69;40,92;23,62
5105507;Vila Bela da Santíssima Trindade;45,20;55,11;21,15;64,84;36,28;26,99;54,27;63,61;43,69;12,44;74,31;74,34;100,00;16,45;0,00;42,59;72,10;10,18
1100304;Vilhena;42,25;44,03;50,01;65,64;49,54;23,76;40,49;75,84;54,44;8,60;61,45;70,22;68,19;37,47;0,00;22,57;27,89;18,02
1722107;Xambioá;38,03;51,44;47,29;61,71;36,67;5,21;49,48;49,58;34,62;2,55;64,54;58,76;96,82;33,41;0,00;17,27;28,76;8,37
1508407;Xinguara;39,92;60,11;44,04;64,24;32,07;11,64;60,11;54,01;49,53;5,12;73,27;70,05;48,36;31,01;0,00;28,54;34,73;11,90
