IBGE;MUNIC;ODS;ODS1;ODS2;ODS3;ODS4;ODS5;ODS6;ODS7;ODS8;ODS9;ODS10;ODS11;ODS12;ODS13;ODS14;ODS15;ODS16;ODS17
5106422;Peixoto de Azevedo;42,93;53,81;41,96;62,91;38,14;29,62;66,63;65,69;47,6;5,56;65,33;61,34;85;22,62;0;35,93;36;11,59
1200807;Porto Acre;40,34;59,92;50,35;51,62;23;15,26;24,11;70,81;42,67;1,1;75,06;72,59;100;39,61;0;9,78;46,07;3,91
5106828;Porto Esperidião;41,72;56,9;53,6;68,9;44,56;24,44;57,78;67,04;48,14;4,13;72,89;74,97;45,87;26,04;0;26,14;23,47;14,43
1303536;Presidente Figueiredo;42,16;57,35;43,79;62,09;36,4;7,96;50,89;43,81;50,21;0,84;65,2;42,27;100;57,51;14,89;46,92;32,38;4,2
1200401;Rio Branco;44,21;59,43;45,2;54,83;45,95;23,64;49,3;81,05;43,26;11,92;54,18;37,55;50,12;54,28;56,09;34,25;38,13;12,38
1100288;Rolim de Moura;43,18;41,4;51,32;67,72;53,66;18,93;49,53;76,24;50,19;9,54;73,37;71,21;38,08;56,05;1,58;27,23;30,71;17,35
5107578;Rondolândia;48,6;46,09;65,85;69,74;38,32;36,48;0;55,73;54,52;21,7;77,86;77,55;77,04;32,54;0;53,48;82,54;36,69
1101484;São Felipe D'Oeste;47,26;29,62;65,29;67,35;58,07;31;35,79;71,45;51,74;16,29;78,44;76,06;73,21;47,43;0;35,73;57,04;8,96
1101500;Seringueiras;39,05;35,5;53,81;61,43;40,95;18,39;34,34;62,71;46,24;3,04;65,76;76,13;81,45;24,74;0;13,88;34,7;10,78
1507979;Terra Santa;43,24;52,59;56,99;56,31;39,52;36,16;45,22;23,39;50,94;2,19;67,97;70,1;100;50,07;0;31,38;44,95;7,25
1101609;Theobroma;42,06;42,71;56,37;64,57;48,09;25,36;20,83;62,58;46,55;2,84;73,43;70,33;77,04;41,71;0;18,11;59,82;4,73
1721109;Tocantínia;43,54;55,63;47,71;51,81;25,45;50,87;21,8;37,39;40,15;1,26;76;71,96;100;40,6;0;29,13;79,76;10,67
1101708;Urupá;39,53;42,52;46,61;64;44,55;12,88;13,65;67,41;44,15;11,47;81,75;66,87;61,07;49,04;0;21,65;31,97;12,46
5108352;Vale de São Domingos;43,38;47,73;22,01;55,71;58,36;20,51;0;71,85;49,1;27,37;76,17;73,79;77,04;47,69;0;33,81;42,18;34,06
