IBGE;MUNIC;UF;REG;CAP;AMZ;SEMIAR;IPS25;POP;PIB21;PIBPC21;IVCM;CADPBF;CADPES;CADPBFPERC;RENDATOT;RENDAHOM;RENDAMUL;AREAFLOR;AREANFLOR ;AREAAGRO;AREANVEG;AREAAGUA;AREANAOBSV
2505709;Dona Inês;PB;Nordeste;Não;0;1;51,66617737;10638;93830;9105,48738;48,57;144653;360254;40,15305868;1224,24;1155,78;1351,33;4910,308655;;12299,01072;108,6267583;50,18441232;
2505808;Duas Estradas;PB;Nordeste;Não;0;1;60,05513894;3360;45025;13632,00556;49,06;49535;119317;41,51545882;1222,73;1304,67;1100,28;63,67070962;;2572,516279;44,13609843;19,80220072;
2505907;Emas;PB;Nordeste;Não;0;1;62,63475792;3036;41639;13929,91189;42,41;49198;113818;43,22514892;1317,33;1287,1;1359,08;20583,31684;26,79536448;3833,687492;54,47981945;323,6117859;
2506004;Esperança;PB;Nordeste;Não;0;1;57,00960243;32599;507256;16360,63427;52,56;343198;896316;38,28984421;1520,02;1592,13;1398,34;3118,747882;4,437661383;12058,70609;576,6700903;26,89019974;
2506103;Fagundes;PB;Nordeste;Não;0;1;53,78443802;11307;105312;9600,939234;42,71;149171;364024;40,97834209;1493,46;1480,41;1515,36;8503,377775;;9891,301386;71,83166859;41,14807696;
2506202;Frei Martinho;PB;Nordeste;Não;0;1;60,44217184;2911;30264;10711,49937;43,85;38394;97033;39,56798203;1193,94;1271,6;1061,84;14948,85299;357,2181058;8304,737347;125,4625842;130,0854671;
2506251;Gado Bravo;PB;Nordeste;Não;0;1;56,40925737;8398;76211;9385,907849;51,91;133178;311834;42,70797925;1076,84;939,68;1351,09;9565,388642;;9532,871194;139,0769434;5,761134271;
2506301;Guarabira;PB;Nordeste;Não;0;1;62,73604066;60057;1790168;31369,35889;45,78;528532;1364854;38,72443499;1923,55;2002,61;1811,44;2194,790026;;13161,44538;768,878271;113,6252876;
2506400;Gurinhém;PB;Nordeste;Não;0;1;54,62585693;14141;150970;11046,9331;51,63;176066;434259;40,54400715;1426,46;1376,57;1522,38;7226,72346;;26501,09729;153,6653687;160,139192;
2506509;Gurjão;PB;Nordeste;Não;0;1;63,02378329;3352;38324;11907,3921;45,28;43903;111243;39,46585403;1419,06;1400,3;1446,67;12998,09318;7,715779102;21278,39719;116,0191248;50,90916542;
2506608;Ibiara;PB;Nordeste;Não;0;1;57,97742872;5713;57772;10334,5295;51,4;65111;169837;38,33734699;1196,52;1138,86;1278,7;19057,64705;1,241243872;4628,621192;77,48237573;270,749626;
2506707;Imaculada;PB;Nordeste;Não;0;1;54,34831512;10497;98314;9529,608564;52,98;139151;330249;42,13517679;1102,52;1122,43;1067,44;21918,7685;179,2275087;9426,518463;184,5404828;71,64912939;
2506806;Ingá;PB;Nordeste;Não;0;1;57,41922131;18234;194961;11100,17043;54,07;257938;610757;42,23250818;1390,07;1382,68;1401,81;6865,624556;;19072,5954;206,2184851;73,79606938;
2506905;Itabaiana;PB;Nordeste;Não;0;1;54,72718454;23558;335812;14591,64126;45,46;293375;712029;41,20267573;1461,45;1425;1520,37;4293,702496;1,152858588;16242,42701;440,0681565;77,86394102;
2507002;Itaporanga;PB;Nordeste;Não;0;1;57,49989387;24766;341235;14357,81184;49,23;223413;579811;38,53203889;1563,98;1642,29;1449,03;31712,68897;23,68162768;13577,37028;322,7426843;382,6333356;
2507101;Itapororoca;PB;Nordeste;Não;0;0;57,06017172;19165;206433;11312,15107;51,09;222826;564264;39,4896715;1175,47;1098,04;1335,69;992,1398447;;13249,18287;187,4144724;151,5498938;
2507200;Itatuba;PB;Nordeste;Não;0;1;56,50287901;10840;155216;14891,80653;53,32;143116;349838;40,90922084;1384,7;1382,88;1388,76;6507,64087;;18094,24088;137,9770274;433,9239382;0
2507309;Jacaraú;PB;Nordeste;Não;0;0;55,23530501;14969;165130;11489,63521;54,11;218792;521301;41,97037796;1322,39;1274,93;1401,34;3563,726784;13,67768107;21880,08558;199,2151776;25,22560949;
2507408;Jericó;PB;Nordeste;Não;0;1;54,82518945;7728;76303;10226,18572;48,49;84515;217769;38,80947242;1178,58;1168,12;1195,76;8375,747578;64,31819185;8521,518812;136,6207632;638,194353;
2507507;João Pessoa;PB;Nordeste;Capital;0;0;66,99854678;897633;22244284;26868,69826;51,92;5377451;13996432;38,42015594;3096,95;3420,24;2714,83;4930,164549;205,2827778;4447,449762;10874,11465;498,7449123;
2507606;Juarez Távora;PB;Nordeste;Não;0;1;58,13681923;8088;73121;9447,765944;49,17;130746;298320;43,82743363;1218,5;1326,97;1049,58;1940,387149;;5528,421778;85,61119922;13,04217555;
2507705;Juazeirinho;PB;Nordeste;Não;0;1;58,89467262;17520;210329;12457,48231;50,81;210337;535909;39,24864109;1546,67;1606,77;1440,29;25983,28934;4,525271698;20582,00183;714,6001328;176,4938462;
2507804;Junco do Seridó;PB;Nordeste;Não;0;1;61,07885624;7019;96602;14324,6275;51,83;85762;214765;39,93294997;1399,47;1409,84;1378,86;13251,15546;2,396360852;4499,542613;198,6245562;89,54994069;
