MUNI;MESO;PIB;POP;IPSPE;IPSMED;IPSBEM;IPSMORA;IPSAGUA;IPSAMB;IPSEDU
88;5;13545568;644037;58,93;63,97;58,11;82,15;66,39;70,98;74,43
89;4;101866;10247;49,62;62,62;40,25;84,65;48,34;63,24;67,05
90;3;119060;15843;52,32;61,71;61,40;85,33;36,09;67,53;70,06
91;2;122706;14020;55,52;74,80;59,79;80,94;68,29;61,82;62,10
92;3;272386;27725;57,36;76,25;47,66;86,40;49,55;64,05;76,74
93;4;125455;13269;58,44;72,40;53,38;90,64;69,44;66,11;69,85
94;3;103840;11517;54,40;71,95;54,00;89,65;38,63;65,09;72,70
95;3;153363;15329;52,95;66,30;51,72;92,67;31,11;67,78;72,69
96;3;118757;13648;57,62;66,89;55,67;91,33;82,24;64,41;70,92
97;4;309436;17981;56,66;68,64;54,44;89,96;45,22;68,12;73,44
98;4;228084;19003;56,01;69,15;56,01;94,95;56,96;65,79;71,04
99;3;112487;11933;54,21;66,93;53,52;88,42;66,17;68,86;72,85
100;3;128986;14076;54,95;72,25;45,64;88,38;59,48;59,45;73,84
101;2;327705;24088;57,74;67,75;67,05;90,78;68,33;68,21;73,52
102;3;451193;39582;57,98;68,67;51,86;93,94;72,27;70,97;73,86
103;4;743516;56510;58,79;69,14;46,72;91,23;64,53;66,56;77,69
104;4;242637;23879;56,50;71,68;42,61;91,98;74,99;69,43;73,34
105;4;200857;11333;52,79;74,56;48,70;90,67;49,14;62,63;81,30
106;1;118790;23763;53,93;68,49;62,44;87,81;28,55;66,70;70,31
107;4;85691;9359;55,04;61,91;65,21;80,19;46,02;67,32;64,30
108;1;156014;14166;55,66;73,56;48,14;81,19;67,23;62,31;72,16
109;1;81063;10540;57,27;78,89;69,65;87,09;42,00;63,58;72,53
110;5;81063;55292;55,45;66,38;55,47;79,09;67,31;71,95;70,33
111;4;682663;30648;61,54;74,35;59,85;91,55;79,85;70,20;75,10
112;5;520205;349976;62,91;62,52;54,43;83,09;77,27;68,48;73,73
113;4;5438691;21808;58,31;71,53;52,34;85,10;31,54;68,12;82,48
114;2;333816;13613;54,93;69,24;66,55;73,76;60,99;64,98;72,13
115;1;150431;65245;54,67;69,90;62,47;85,61;72,62;61,98;70,95
116;4;612341;54584;55,32;62,58;46,24;88,24;71,21;68,07;74,05
117;3;833884;7031;57,14;57,21;54,56;90,84;61,07;67,79;64,15
118;3;72516;22991;56,28;70,28;63,24;87,83;63,78;65,52;71,98
119;3;175773;12199;50,13;67,34;57,13;81,89;16,49;69,40;69,95
120;1;242705;18612;55,52;77,77;60,94;78,46;57,06;68,45;77,67
121;3;163949;28340;55,45;77,51;50,47;87,17;43,14;64,31;75,34
122;4;220033;56665;54,03;70,61;51,70;78,99;56,54;65,00;72,42
123;5;758422;342167;62,09;63,94;58,26;87,65;78,83;71,69;75,20
124;3;4019150;22795;50,65;68,66;51,48;86,86;43,91;61,48;65,93
125;3;243894;62722;55,04;64,91;51,69;90,19;58,59;63,89;68,44
126;2;691972;34161;58,14;68,31;55,01;90,81;74,02;62,47;73,46
127;2;1078384;386791;61,89;69,54;54,15;91,13;83,52;73,71;75,18
128;3;5990719;10500;54,74;70,22;58,63;89,94;42,99;65,65;73,82
129;4;85558;27552;55,92;65,51;56,38;81,19;64,48;66,56;72,65
130;4;363991;13838;54,03;71,88;55,23;80,63;47,98;65,12;70,37
131;4;168830;17928;58,13;70,02;55,26;88,22;77,32;64,40;73,54
132;1;175523;6554;62,28;71,41;49,54;91,86;58,39;65,45;81,73
133;5;49183;1488920;62,91;66,34;47,23;87,29;78,74;70,89;75,39
134;3;166316;20639;54,99;71,91;49,41;88,53;48,22;64,91;69,03
135;4;387477;33507;56,72;67,33;55,15;92,16;71,57;64,91;72,46
136;4;259945;20009;54,58;68,82;50,55;77,46;46,22;67,97;75,40
137;3;144537;10887;60,12;73,32;63,50;85,94;67,28;72,30;75,58
138;3;62145;5727;57,89;79,63;56,79;79,63;21,05;66,24;78,45
139;2;792726;62372;60,05;70,60;50,74;91,14;83,97;68,46;75,33
140;3;143504;13836;57,07;69,89;60,10;91,82;45,03;63,57;71,67
141;3;193930;18624;56,98;78,53;56,31;90,99;63,81;67,87;74,37
142;3;100497;13841;53,38;63,61;66,88;85,46;41,41;63,75;67,08
143;1;83549;11567;53,47;73,64;56,31;90,61;25,14;68,66;75,08
144;3;1428396;98254;60,31;73,67;59,15;97,85;69,05;68,93;69,00
145;1;91201;12106;50,94;72,61;59,97;83,44;33,93;61,35;70,50
146;2;516496;40578;54,28;78,23;68,60;79,03;54,04;63,95;65,04
147;3;101717;14013;52,07;65,17;52,73;82,64;38,73;65,57;69,96
148;1;81844;10244;58,77;79,15;60,98;92,79;70,90;66,07;73,88
149;4;96162;13113;54,90;70,68;62,76;84,81;46,57;62,11;73,46
150;3;953038;49449;55,61;74,96;51,87;91,24;50,74;64,51;72,17
151;3;350502;37126;54,33;67,53;55,07;87,39;71,67;68,75;69,81
152;3;202414;23837;58,13;71,79;45,73;87,60;53,15;67,21;67,28
153;3;168146;20037;55,77;71,09;44,98;90,79;78,56;68,30;74,48
154;2;251104;18825;52,03;69,42;56,53;81,99;55,43;70,46;70,60
155;1;256653;34843;56,44;73,02;54,12;87,43;54,12;64,24;76,84
156;1;362863;31004;58,88;73,52;54,98;92,82;73,70;69,52;79,83
157;5;1107307;111249;53,65;61,77;54,46;82,33;64,62;68,24;71,38
158;4;235694;16677;55,84;75,87;51,89;84,93;44,29;66,55;70,75
159;1;1337329;92228;59,66;61,26;59,39;92,01;77,93;69,32;74,94
160;1;136775;18207;58,78;73,98;60,91;84,34;59,25;62,80;77,29
161;1;278619;32811;54,95;62,97;58,78;87,20;46,32;66,80;75,70
