ANO;ISNA;ALGODAOH;AMENDOIM;ARROZ;BATATAD;CEBOLA;FAVA;FEIJAO;FUMO;MAMONA;MELANCIA;MELAO;MILHO;SOJA;TOMATE
2014;0,65;177875;635;29896;812;0;2720;87858;1166;1070;571;43;191833;443910;282
2014;0.6;104947;556;30826;1471;390;1950;169139;365;3667;3545;263;319325;603483;4819
2014;0.55;5592;360;26805;3361;403;4746;443138;7578;11807;3823;995;597615;67203;5417
2014;0.5;24738;617;34499;1410;1182;6843;355870;447;14717;6304;996;461752;158440;1639
2014;0,45;2340;288;22370;527;10986;3772;486592;77;34082;8739;16961;546878;142208;1938
2015;>0,65;17560;361;10261;2767;0;3365;124471;0;170;378;11;202102;220998;1329
2015;0,65;155328;482;22655;929;0;3031;86772;1320;710;546;48;171631;573758;220
2015;0.6;114766;454;26559;1474;704;1341;151573;415;3332;4090;285;313322;666925;4028
2015;0.55;6680;323;18860;3471;396;4034;388022;8094;12601;3932;1051;573107;64658;5204
2015;0.5;21062;582;29374;1619;1020;6091;336371;477;15840;6175;936;469321;174996;1730
2015;0,45;2673;507;15439;556;9286;2579;480503;79;51416;7996;15734;583834;129897;1924
2016;>0,65;18341;216;6484;3055;0;3171;122403;0;202;399;6;184915;225404;1306
2016;0,65;145401;567;22607;842;0;2708;62585;1369;358;629;48;172735;594913;148
2016;0.6;96273;589;20520;1394;616;1590;138221;780;3429;3883;180;256188;705601;3107
2016;0.55;6345;299;16671;4608;452;3783;404145;7683;9362;4232;1340;582869;58847;5968
2016;0.5;8839;513;25780;1392;1176;5774;298863;460;10345;7014;1334;440064;154721;1448
2016;0,45;4655;489;11791;695;9076;2333;403217;59;22554;9014;17573;526409;97661;2157
2017;>0,65;12404;414;3894;4521;13;3830;126820;196;93;301;5;193998;239364;827
2017;0,65;98303;512;22371;871;0;3025;75687;6189;188;1472;42;191903;589718;360
2017;0.6;70093;700;18965;1425;621;1600;154733;758;2743;3306;323;307078;724608;2415
2017;0.55;6686;365;12571;5021;1166;3960;421833;9300;13391;7026;1379;540566;66087;4527
2017;0.5;8240;768;20104;1631;1098;8184;309134;398;13349;10672;990;449618;197784;1399
2017;0,45;3349;358;12440;772;3946;2722;420105;52;22478;10491;18140;488427;129349;1652
2018;>0,65;14853;562;3840;4425;19;6742;124453;1065;45;337;26;197030;240244;746
2018;0,65;143834;482;18579;982;0;4411;77204;3843;100;1638;160;191563;595672;442
2018;0.6;89393;539;17068;969;620;2056;147223;378;2582;3490;353;299314;738212;2187
2018;0.55;5272;408;11960;5260;976;6426;346620;7133;11219;6882;1583;478652;68341;4430
2018;0.5;10535;541;19563;1543;1525;10168;305725;411;12398;15855;1352;465903;221700;1352
2018;0,45;5302;363;9881;840;4900;5171;446823;72;20615;10289;17477;556832;118931;1714
2019;>0,65;29802;588;3583;4814;45;5905;112608;2797;35;434;26;207744;236837;807
