IBGE;MUNIC;NHB1114;NHB1115;NHB1116;NHB1117;NHB1118;NHB1119;NHB1120;NHB1121;NHB1122;NHB1123;NHB1214;NHB1215;NHB1216;NHB1217;NHB1218;NHB1219;NHB1220;NHB1221;NHB1222;NHB1223;NHB1314;NHB1315;NHB1316;NHB1317;NHB1318;NHB1319;NHB1320;NHB1321;NHB1322;NHB1323;NHB1414;NHB1415;NHB1416;NHB1417;NHB1418;NHB1419;NHB1420;NHB1421;NHB1422;NHB1423;NHB1514;NHB1515;NHB1516;NHB1517;NHB1518;NHB1519;NHB1520;NHB1521;NHB1522;NHB1523;NHB1524
5103379;Cotriguaçu;10,64;5,99;7,04;0,00;14,56;0,00;12,66;6,54;5,85;11,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,08;9,08;18,16;0,00;18,16;9,08;9,08;0,00;9,08;9,08;4,05;4,25;2,68;3,07;2,55;2,51;2,94;2,91;3,45;3,67;3,63
5103403;Cuiabá;16,36;16,09;15,19;13,35;14,19;12,54;14,45;13,37;16,68;13,94;11,76;6,42;8,04;5,11;6,91;7,48;9,36;16,20;4,80;3,22;4,61;5,22;3,84;4,92;6,45;5,68;4,30;3,84;4,61;6,45;19,20;16,28;17,82;19,51;20,28;17,36;12,44;16,44;18,74;18,90;3,96;3,51;3,55;3,47;3,29;3,42;3,54;3,33;3,64;3,98;3,37
5103437;Curvelândia;32,79;0,00;31,75;0,00;15,63;0,00;0,00;35,09;35,09;16,95;0,00;0,00;0,00;181,82;0,00;163,93;147,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,40;0,00;0,00;0,00;61,19;20,40;20,40;0,00;40,79;0,00;0,00;61,19;0,00;0,00;4,04;2,86;4,72;3,87;3,11;2,23;0,00;3,44;2,98;4,25;1,51
5103452;Denise;10,42;9,43;0,00;10,00;0,00;11,76;10,20;9,71;23,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;14,26;0,00;0,00;0,00;0,00;0,00;14,26;0,00;14,26;0,00;0,00;14,26;0,00;28,51;0,00;0,00;14,26;0,00;3,34;2,16;2,33;1,97;4,09;9,72;6,80;4,87;3,23;3,74;3,08
5103502;Diamantino;9,23;11,66;22,47;7,35;8,02;12,14;7,73;16,48;13,62;21,28;0,00;0,00;0,00;0,00;0,00;0,00;29,15;0,00;0,00;0,00;0,00;4,56;0,00;0,00;4,56;13,67;0,00;0,00;0,00;4,56;9,12;22,79;4,56;9,12;18,23;0,00;13,67;9,12;36,46;18,23;3,55;2,99;2,86;2,85;3,41;3,38;4,03;4,25;2,75;3,17;3,00
5103809;Figueirópolis D'Oeste;22,22;21,74;0,00;0,00;32,26;0,00;0,00;0,00;0,00;66,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31,38;6,36;3,56;3,93;5,47;3,89;4,13;3,11;3,21;5,47;1,67;1,39
5103858;Gaúcha do Norte;42,55;30,86;0,00;12,66;29,85;31,25;6,29;11,76;10,99;13,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,57;11,57;0,00;11,57;0,00;0,00;23,13;11,57;0,00;0,00;0,00;23,13;6,97;4,24;2,34;3,07;1,93;1,88;2,65;3,61;2,12;2,53;1,45
5103957;Glória D'Oeste;0,00;0,00;28,57;0,00;0,00;0,00;37,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,42;34,42;34,42;0,00;0,00;0,00;0,00;3,86;2,77;1,25;2,60;2,81;2,33;3,49;2,68;3,56;3,03;1,73
5104104;Guarantã do Norte;12,59;15,04;23,17;10,60;11,74;15,12;13,62;13,86;17,86;16,10;0,00;0,00;23,09;0,00;0,00;0,00;18,80;19,31;0,00;0,00;3,22;3,22;0,00;0,00;0,00;3,22;3,22;3,22;0,00;0,00;12,89;25,79;22,56;12,89;12,89;9,67;16,12;9,67;3,22;6,45;3,51;2,30;3,18;2,31;2,19;2,24;2,59;3,87;3,55;3,60;3,21
5104203;Guiratinga;17,86;34,88;9,43;8,77;10,20;8,77;0,00;36,14;0,00;17,39;0,00;0,00;80,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,12;0,00;54,73;18,24;36,49;82,09;54,73;54,73;18,24;9,12;27,36;18,24;9,12;0,00;18,24;0,00;27,36;27,36;9,12;9,12;3,30;2,91;3,91;1,79;1,92;2,16;1,99;2,90;3,75;4,35;5,02
