IBGE;ESTADO;IPS;NHB;FBE;OP;NHB1;NHB2;NHB3;NHB4;FBE1;FBE2;FBE3;FBE4;OP1;OP2;OP3;OP4;NHB11;NHB12;NHB13;NHB14;NHB15;NHB21;NHB22;NHB23;NHB31;NHB32;NHB33;NHB34;NHB41A;NHB41B;NHB42A;NHB42B;NHB43;FBE11;FBE12;FBE13;FBE14;FBE15;FBE21;FBE22;FBE23;FBE24;FBE31;FBE32;FBE33;FBE34;FBE35;FBE41;FBE42;FBE43;FBE44;FBE45;OP11;OP12;OP13;OP14;OP21;OP22;OP23;OP24;OP31;OP31B;OP32;OP33A;OP33B;OP41;OP42
2105948;MA;53,78;67,66;53,43;40,25;86,11;57,00;81,73;45,78;82,51;10,26;71,07;49,88;10,16;50,05;81,10;19,68;22,73;272,11;11,27;2,30;6,48;56,41;14,34;74,88;58,72;97,95;81,73;82,29;89,85;6,00;22,58;5,00;11,29;0,60;7,50;17,90;4,70;0,10;8,00;0,21;52,86;1,20;33,87;124,20;191,94;90,32;22,58;0,00;100,00;0,00;6,62;0,45;22,22;2,15;2,00;0,00;2,00;19,32;7,60;30,68;0,00;1,00;22,50;48,01;3,00;28,96;21,04
2105963;MA;51,56;62,34;52,59;39,77;85,09;29,54;75,88;58,83;70,75;7,30;82,02;50,27;20,07;39,18;90,00;9,84;4,88;0,00;26,33;8,78;6,55;78,92;58,16;46,57;62,03;89,41;72,07;76,10;18,24;4,00;12,31;4,00;34,89;4,40;17,10;27,00;4,30;0,30;1,01;0,17;59,71;3,25;61,06;34,89;113,40;34,89;8,78;0,00;96,96;0,19;12,44;7,11;33,33;0,44;2,00;6,00;2,00;32,20;6,85;26,34;0,00;1,00;17,76;29,33;2,00;15,09;10,14
2105989;MA;52,14;61,53;61,50;33,41;89,65;33,28;77,72;45,47;76,72;11,87;86,05;71,34;16,79;39,60;69,91;7,33;10,53;227,27;13,15;0,00;5,39;65,63;93,00;26,88;59,23;80,06;84,45;82,81;79,25;6,00;39,89;5,00;13,15;1,20;14,40;16,10;4,50;3,50;6,29;0,16;78,15;0,86;26,31;52,62;249,93;26,31;10,82;22,36;25,38;0,42;20,62;5,62;33,33;1,84;4,00;0,00;1,00;27,37;0,00;72,63;0,00;1,00;54,35;265,82;4,00;9,93;8,36
2106003;MA;54,66;72,15;51,52;40,30;83,16;42,48;80,48;82,47;74,04;8,75;70,81;52,50;17,91;43,66;86,02;13,60;11,63;0,00;33,56;8,39;5,83;94,00;64,93;58,24;51,59;96,08;83,31;83,42;0,00;1,00;8,39;3,00;25,17;1,50;16,20;23,90;4,95;6,80;2,41;0,30;66,40;1,32;75,52;41,95;302,06;100,69;16,78;0,00;85,58;0,24;3,62;1,26;33,33;4,20;2,00;3,00;1,00;22,67;3,17;52,33;0,00;1,00;64,64;23,29;2,00;19,43;14,90
2106102;MA;55,21;66,21;57,33;42,07;87,96;33,39;73,63;69,88;74,74;6,83;77,77;69,96;33,10;37,77;84,39;13,03;6,76;680,27;3,34;8,19;6,28;63,64;42,03;42,91;72,01;89,67;82,58;47,88;16,40;4,00;4,96;2,00;49,12;2,80;12,00;19,10;4,45;3,80;1,14;0,37;54,58;0,35;16,38;73,69;171,93;65,50;8,23;0,03;0,00;0,00;24,89;24,86;44,44;1,72;10,00;0,00;2,00;27,70;22,57;62,16;0,00;1,00;83,81;34,73;2,00;19,97;13,45
2106201;MA;48,53;65,38;53,55;26,67;81,88;50,00;84,36;45,27;65,70;10,89;78,89;58,72;10,96;42,66;38,18;14,89;30,30;757,58;28,64;0,00;4,78;72,31;66,68;41,79;74,10;91,77;82,40;86,49;102,99;6,00;28,64;5,00;14,40;2,20;17,40;24,10;4,15;12,20;3,45;0,22;76,28;8,11;14,32;85,91;57,27;85,91;3,06;11,09;66,23;0,34;57,67;0,43;44,44;0,72;1,00;0,00;2,00;27,27;6,06;53,03;0,00;1,00;328,06;992,17;5,00;22,52;15,54
2106326;MA;52,88;71,06;51,68;35,90;87,72;40,98;91,73;63,80;58,01;10,15;86,90;51,68;15,72;44,41;73,61;9,85;5,57;263,85;13,90;1,90;7,55;41,36;11,58;89,05;83,52;92,21;94,45;94,89;16,39;4,00;13,90;4,00;4,63;9,50;22,10;26,40;3,55;3,50;1,63;0,30;74,24;12,03;46,33;41,69;106,55;32,43;4,63;0,00;85,60;0,06;6,02;1,29;36,36;3,10;3,00;0,00;2,00;27,58;2,29;24,79;1111,11;5,00;18,17;15,02;2,00;14,15;10,75
2106359;MA;44,70;53,94;51,72;28,43;84,90;7,82;44,40;78,65;60,47;3,19;93,11;50,12;9,01;13,71;91,03;0,00;18,69;934,58;12,86;0,00;6,71;23,15;35,62;53,24;21,40;79,75;35,08;33,79;0,00;1,00;12,86;4,00;7,69;4,00;24,60;58,90;4,65;4,00;0,45;0,16;24,66;1,73;10,26;12,86;38,59;25,72;0,00;0,00;88,06;1,57;67,33;30,30;22,22;0,26;2,00;0,00;0,00;26,17;121,60;32,71;0,00;1,00;5,66;12,72;2,00;0,00;0,00
2106375;MA;56,47;77,28;54,44;37,69;89,23;52,57;80,12;87,19;69,69;5,89;90,92;51,28;14,98;49,40;79,95;6,43;10,64;531,92;6,15;0,00;6,40;42,96;64,92;13,32;69,92;90,69;76,12;80,88;4,18;2,00;2,46;2,00;6,06;1,00;28,30;38,30;5,10;3,30;0,55;0,16;45,59;6,79;18,17;36,34;102,96;24,23;6,15;3,59;97,57;0,01;11,57;2,45;22,22;0,30;2,00;4,00;2,00;21,28;4,16;25,53;0,00;1,00;36,15;50,88;3,00;10,45;6,27
2106508;MA;51,18;57,46;55,61;40,47;87,57;26,70;64,21;51,35;75,52;7,88;84,33;54,72;15,75;46,86;86,54;12,75;22,41;293,26;8,52;1,74;5,69;44,55;33,96;5,06;30,54;75,05;75,74;67,05;32,88;5,00;29,81;5,00;8,52;1,20;11,30;26,50;4,15;0,70;2,02;0,20;54,65;8,83;42,59;38,33;212,93;55,36;4,33;0,00;69,66;0,06;6,24;0,59;54,55;1,62;2,00;0,00;2,00;22,41;1,32;85,43;0,00;1,00;58,58;33,14;2,00;17,63;14,33
2106631;MA;48,85;53,53;52,69;40,32;86,48;19,70;57,12;50,82;63,31;4,00;88,50;54,95;29,33;40,96;81,97;9,04;20,69;0,00;5,87;5,97;7,49;47,36;47,34;20,77;40,29;85,78;47,67;49,05;27,50;5,00;25,32;5,00;11,74;1,00;21,20;43,10;4,15;8,80;0,62;0,18;31,98;0,96;17,61;17,61;99,81;35,23;1,22;0,00;74,10;0,36;7,62;3,75;55,56;0,59;6,00;3,00;2,00;28,28;7,87;62,76;0,00;1,00;12,32;93,44;3,00;14,26;9,07
2106706;MA;56,20;61,67;63,79;43,12;89,97;22,44;61,04;73,25;68,97;7,20;90,18;88,83;24,35;47,28;91,01;9,84;10,17;0,00;4,76;0,97;7,45;56,89;52,81;10,40;30,09;83,79;69,13;52,27;6,56;3,00;9,51;3,00;19,02;1,80;17,00;28,00;3,65;2,50;3,12;0,16;50,54;0,19;14,27;42,79;76,08;19,02;4,76;62,69;0,00;0,00;10,93;55,36;54,55;0,57;4,00;3,00;2,00;22,03;2,23;76,95;0,00;1,00;5,88;17,76;2,00;15,11;10,12
2106755;MA;55,47;67,32;57,27;41,83;88,01;36,47;89,37;55,45;81,77;7,64;86,15;53,50;17,73;47,00;89,83;12,77;11,41;115,19;6,96;3,52;7,71;72,35;27,58;1,82;81,26;95,09;90,76;88,11;22,01;5,00;10,43;4,00;24,34;0,30;10,60;20,70;4,85;0,10;0,39;0,47;63,03;2,55;52,17;55,64;156,50;20,87;3,48;0,00;78,58;1,19;8,12;0,41;54,55;0,94;3,00;0,00;2,00;23,19;2,00;59,32;0,00;1,00;19,72;14,80;2,00;20,71;12,47
2106805;MA;53,46;62,78;54,10;43,52;86,72;36,73;76,00;51,66;70,91;10,20;84,10;51,18;23,45;49,42;90,37;10,83;4,48;0,00;19,99;6,68;6,92;86,97;69,43;15,17;42,19;89,63;82,05;81,67;25,72;5,00;26,65;5,00;6,66;3,50;17,10;27,40;4,25;1,10;1,15;0,53;73,96;12,36;46,63;26,65;159,88;46,63;6,66;12,73;98,24;0,02;12,79;0,66;66,67;0,87;2,00;4,00;3,00;24,22;1,02;77,58;0,00;1,00;13,45;27,12;2,00;15,87;11,62
2106904;MA;51,07;62,41;50,75;40,05;85,85;43,53;49,35;70,89;55,17;6,97;85,66;55,20;16,87;45,45;91,00;6,90;18,87;97,73;11,88;2,43;7,87;72,25;30,70;16,94;13,60;65,91;57,37;51,26;28,86;5,00;5,94;2,00;11,88;4,80;29,00;46,60;3,70;5,90;4,36;0,12;41,03;1,63;23,76;44,56;139,62;38,62;5,94;0,02;72,16;0,57;13,76;1,92;30,77;0,83;2,00;4,00;2,00;26,00;0,00;49,06;0,00;1,00;5,95;10,02;2,00;10,06;7,44
2107001;MA;48,61;60,46;56,81;28,58;82,23;33,28;80,48;45,83;61,78;9,35;72,70;83,41;14,85;38,52;59,37;1,57;22,06;735,29;10,98;10,92;6,84;69,58;33,26;52,46;57,46;93,63;84,72;79,97;41,27;6,00;21,95;5,00;10,98;4,90;30,30;35,70;4,30;2,90;2,40;0,28;73,36;0,26;76,83;76,83;285,37;87,81;10,98;56,93;12,41;1,93;16,51;4,08;66,67;0,44;1,00;0,00;1,00;24,27;12,79;87,50;11,46;4,00;134,02;44,29;3,00;2,54;1,55
