IBGE;MUNIC;OP4114;OP4115;OP4116;OP4117;OP4118;OP4119;OP4120;OP4121;OP4122;OP4123;OP4124;OP4214;OP4215;OP4216;OP4217;OP4218;OP4219;OP4220;OP4221;OP4222;OP4223;OP4224
1718808;Sampaio;7,85;28,78;4,80;20,50;20,06;25,29;13,96;35,32;27,91;;;11,13;37,67;7,71;29,97;29,11;38,53;20,55;56,51;41,95;;
1718840;Sandolândia;23,58;23,58;25,73;24,87;22,73;22,30;5,57;23,16;26,16;;;36,61;37,50;38,39;35,71;33,04;33,93;1,79;33,93;39,29;;
1718865;Santa Fé do Araguaia;19,27;19,51;17,82;20,71;19,27;24,57;20,71;24,57;25,29;;;24,98;22,48;22,48;26,47;26,47;35,46;28,47;33,47;33,47;;
1718881;Santa Maria do Tocantins;8,50;4,85;0,61;15,78;15,17;29,73;24,88;35,80;34,59;;;13,96;6,35;0,00;29,19;24,11;46,95;39,34;54,57;55,84;;
1718899;Santa Rita do Tocantins;13,94;7,67;6,97;36,93;36,24;36,93;27,87;46,69;47,39;;;24,43;10,69;13,74;58,02;61,07;58,02;39,69;76,34;77,86;;
1718907;Santa Rosa do Tocantins;19,79;19,43;11,16;20,51;20,15;24,83;15,11;27,35;25,55;;;27,09;27,09;18,06;31,60;29,35;34,61;18,06;39,88;36,87;;
1719004;Santa Tereza do Tocantins;31,01;33,54;15,19;10,13;25,95;16,46;1,90;5,06;12,66;;;40,68;44,62;17,06;14,44;41,99;27,56;3,94;6,56;18,37;;
1720002;Santa Terezinha do Tocantins;22,37;25,08;23,05;21,69;23,05;33,22;20,34;27,12;27,12;;;34,29;37,04;34,29;32,92;34,29;48,01;28,81;38,41;38,41;;
1720101;São Bento do Tocantins;18,64;16,46;16,78;20,19;19,88;17,40;10,25;19,88;36,97;;;27,72;23,86;20,63;23,21;23,21;18,05;8,38;21,92;52,22;;
1720150;São Félix do Tocantins;26,43;20,08;11,63;16,91;31,71;33,83;25,37;58,14;19,03;;;42,89;29,35;15,80;20,32;38,37;40,63;33,86;94,81;27,09;;
1720200;São Miguel do Tocantins;12,08;13,39;16,80;21,79;19,82;19,82;19,16;20,48;18,90;;;16,44;19,31;24,27;28,71;27,40;27,40;26,88;29,23;26,62;;
