IBGE;MUNIC;NHB41A14;NHB41A15;NHB41A16;NHB41A17;NHB41A18;NHB41A19;NHB41A20;NHB41A21;NHB41A22;NHB41A23;NHB42A14;NHB42A15;NHB42A16;NHB42A17;NHB42A18;NHB42A19;NHB42A20;NHB42A21;NHB42A22;NHB42A23;NHB4314;NHB4315;NHB4316;NHB4317;NHB4318;NHB4319;NHB4320;NHB4321;NHB4322;NHB4323
1500602;Altamira;201,50;207,60;170,97;323,61;161,81;265,61;146,54;112,96;149,60;146,54;110,52;124,56;89,14;158,84;92,76;139,62;69,85;59,67;78,40;64,94;68,10;61,77;59,39;53,06;39,59;38,80;46,72;37,22;39,59;43,55
1500701;Anajás;11,85;0,00;35,54;47,39;35,54;47,39;11,85;23,69;35,54;23,69;7,39;0,00;17,85;14,05;13,86;34,16;6,74;13,29;17,85;10,71;3,57;0,00;0,00;0,00;0,00;3,57;10,71;0,00;0,00;7,14
1500800;Ananindeua;283,80;309,76;363,41;317,55;300,24;168,72;103,83;98,64;90,85;86,53;100,24;121,88;138,60;114,72;111,50;65,21;44,25;42,01;44,91;42,19;57,86;65,37;53,89;40,73;43,24;44,07;41,77;42,40;48,67;40,52
1500859;Anapu;46,17;46,17;80,80;11,54;184,69;103,89;115,43;277,04;150,06;34,63;53,01;43,28;110,39;55,36;147,27;103,98;66,42;143,29;100,47;43,96;47,10;15,70;28,26;21,98;50,24;34,54;15,70;34,54;40,82;25,12
1500909;Augusto Corrêa;0,00;8,33;8,33;49,95;0,00;24,98;8,33;16,65;33,30;16,65;2,32;4,58;9,04;26,83;4,39;8,70;8,61;12,78;11,22;15,70;2,24;6,73;6,73;4,49;6,73;0,00;2,24;8,97;22,44;4,49
1500958;Aurora do Pará;80,24;64,20;48,15;64,20;16,05;0,00;144,44;0,00;64,20;128,39;34,51;23,74;36,68;26,25;19,42;19,15;47,21;12,42;50,78;50,78;33,65;21,03;12,62;16,83;29,44;16,83;29,44;54,68;12,62;46,27
1501006;Aveiro;0,00;21,14;0,00;0,00;0,00;21,14;0,00;0,00;0,00;0,00;6,27;18,81;0,00;0,00;0,00;6,10;6,10;6,09;0,00;10,93;5,47;5,47;0,00;10,93;0,00;0,00;0,00;0,00;0,00;5,47
1501105;Bagre;10,27;10,27;10,27;20,54;10,27;0,00;41,08;0,00;20,54;10,27;7,28;7,07;10,32;6,71;6,66;3,26;15,96;3,13;5,76;2,88;0,00;0,00;0,00;0,00;0,00;3,14;0,00;0,00;0,00;0,00
1501204;Baião;20,42;20,42;40,84;27,23;34,03;27,23;27,23;6,81;34,03;13,61;16,47;11,43;15,57;17,35;19,39;25,29;18,57;8,09;15,49;15,49;5,81;29,05;9,68;1,94;5,81;1,94;0,00;7,75;5,81;11,62
1501253;Bannach;0,00;201,01;0,00;100,50;0,00;100,50;201,01;0,00;100,50;100,50;30,28;91,83;0,00;62,50;0,00;60,86;122,62;30,87;99,23;74,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1501451;Belterra;21,52;0,00;0,00;0,00;21,52;0,00;21,52;0,00;43,05;43,05;11,82;0,00;0,00;5,80;11,35;28,20;16,82;11,15;16,58;16,58;60,78;44,20;5,53;22,10;22,10;16,58;27,63;27,63;27,63;44,20
1501501;Benevides;37,88;94,70;189,39;239,90;214,65;69,44;37,88;82,07;56,82;6,31;13,94;46,05;98,60;100,02;92,40;38,25;17,25;38,59;28,32;4,72;15,73;11,01;17,30;20,45;6,29;9,44;18,88;20,45;17,30;11,01
1501576;Bom Jesus do Tocantins;22,20;22,20;22,20;44,40;66,59;66,59;66,59;88,79;66,59;0,00;37,33;36,98;18,32;18,16;35,63;53,00;23,37;34,77;33,32;0,00;0,00;27,77;11,11;16,66;16,66;11,11;0,00;22,22;5,55;5,55
1501600;Bonito;91,46;0,00;91,46;30,49;91,46;60,98;91,46;60,98;30,49;91,46;33,36;13,09;32,13;12,63;24,94;36,84;24,20;23,85;23,77;55,46;47,54;15,85;39,61;7,92;31,69;7,92;7,92;0,00;15,85;55,46
1501709;Bragança;49,96;71,82;53,08;49,96;115,53;84,31;59,33;6,25;34,35;24,98;24,14;34,56;28,48;33,82;45,08;37,59;24,82;14,60;24,37;17,87;11,37;8,94;4,87;8,12;12,19;6,50;10,56;17,06;18,69;14,62
1501725;Brasil Novo;32,10;64,20;96,29;32,10;48,15;64,20;32,10;16,05;32,10;16,05;33,03;80,09;74,15;34,04;79,00;66,29;53,39;26,88;32,37;28,32;32,37;32,37;32,37;20,23;8,09;24,27;12,14;32,37;12,14;20,23
1501758;Brejo Grande do Araguaia;61,84;0,00;123,69;0,00;0,00;0,00;61,84;0,00;185,53;0,00;68,89;69,14;138,77;27,85;13,53;0,00;13,57;27,18;58,97;14,74;0,00;58,97;29,49;0,00;14,74;29,49;29,49;14,74;29,49;14,74
1501782;Breu Branco;67,40;67,40;58,98;92,68;75,83;109,53;58,98;50,55;58,98;67,40;30,18;34,30;20,72;38,94;40,16;39,37;20,79;17,49;30,63;37,19;21,88;6,56;19,69;4,38;6,56;19,69;2,19;17,50;13,13;13,13
1501808;Breves;6,36;28,63;41,35;73,16;76,35;82,71;60,44;47,72;50,90;41,35;11,30;18,32;20,19;31,03;34,35;30,18;28,02;19,18;16,83;21,50;2,80;7,48;3,74;5,61;2,80;0,00;5,61;3,74;8,41;1,87
1501907;Bujaru;45,57;45,57;167,10;136,72;151,91;273,43;182,29;106,33;60,76;45,57;14,63;28,89;64,25;63,53;72,84;92,68;64,57;40,38;16,40;45,11;8,20;20,51;24,61;8,20;24,61;0,00;20,51;4,10;12,30;0,00
1501956;Cachoeira do Piriá;91,36;18,27;73,09;109,63;54,81;127,90;36,54;54,81;18,27;18,27;26,29;19,17;31,11;39,46;33,15;38,35;14,45;28,32;25,47;40,75;10,19;15,28;15,28;30,57;15,28;25,47;10,19;20,38;25,47;25,47
1502004;Cachoeira do Arari;15,61;15,61;0,00;0,00;15,61;0,00;31,22;0,00;0,00;0,00;9,05;4,45;0,00;4,33;4,26;0,00;12,47;0,00;4,17;0,00;4,17;0,00;12,51;8,34;8,34;8,34;4,17;12,51;4,17;0,00
1502103;Cametá;39,09;10,42;39,09;23,45;26,06;31,27;49,51;39,09;26,06;26,06;17,03;11,46;23,39;14,17;14,66;18,86;20,09;19,88;20,12;18,63;3,73;8,94;11,92;11,92;7,45;9,69;7,45;8,94;6,71;8,20
1502152;Canaã dos Carajás;46,99;89,28;103,38;103,38;51,69;61,09;46,99;42,29;23,50;42,29;64,88;107,04;103,29;91,60;72,12;70,11;52,49;51,15;24,65;31,14;27,24;19,46;23,35;19,46;10,38;15,57;14,27;16,87;14,27;31,14
1502202;Capanema;51,49;45,77;68,66;85,82;68,66;74,38;91,54;62,94;114,43;57,21;27,30;28,63;34,45;38,72;42,26;46,36;43,21;38,67;46,88;29,83;14,21;25,57;17,05;25,57;12,79;17,05;41,20;44,04;36,93;52,56
1502301;Capitão Poço;33,31;46,64;79,95;66,63;86,61;133,25;113,27;59,96;46,64;39,98;26,61;30,36;58,75;39,74;42,45;55,25;55,12;36,67;28,40;23,08;5,31;14,16;17,70;26,55;26,55;12,39;21,24;17,70;8,85;12,39
1502400;Castanhal;130,36;142,58;203,68;195,54;232,20;154,80;81,47;93,69;81,47;52,96;57,79;62,70;74,26;78,36;90,77;50,80;33,46;40,36;42,13;29,13;28,61;16,12;25,49;18,73;17,68;18,20;20,81;17,16;15,60;19,77
1502509;Chaves;17,30;17,30;17,30;17,30;0,00;0,00;0,00;0,00;0,00;0,00;4,48;4,43;8,76;8,67;0,00;0,00;0,00;0,00;0,00;4,82;0,00;9,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1502608;Colares;32,71;0,00;32,71;32,71;65,42;32,71;98,14;0,00;65,42;98,14;8,59;0,00;34,13;17,01;24,92;49,65;41,22;16,43;23,31;31,08;7,77;0,00;7,77;0,00;0,00;15,54;0,00;0,00;7,77;23,31
1502707;Conceição do Araguaia;75,53;0,00;47,21;9,44;28,32;9,44;18,88;37,76;141,62;84,97;34,56;28,02;19,36;17,18;20,95;6,27;12,50;27,02;62,76;35,86;15,69;26,90;22,41;11,21;20,17;8,97;13,45;15,69;42,58;24,65
1502756;Concórdia do Pará;54,91;41,18;41,18;68,63;109,81;109,81;82,36;164,72;68,63;54,91;35,71;15,95;31,36;27,78;45,67;39,02;47,36;55,50;37,20;29,76;11,16;11,16;14,88;22,32;3,72;26,04;14,88;11,16;14,88;40,92
1502764;Cumaru do Norte;0,00;0,00;106,10;79,58;53,05;53,05;132,63;212,20;79,58;212,20;41,43;16,10;47,00;30,55;37,94;51,96;58,14;121,05;99,74;106,87;7,12;7,12;14,25;14,25;21,37;0,00;7,12;21,37;21,37;7,12
1502772;Curionópolis;78,51;78,51;98,14;137,39;235,53;98,14;157,02;98,14;78,51;19,63;61,65;45,17;51,20;108,86;105,47;55,78;72,85;67,55;70,18;20,05;50,13;40,10;30,08;25,06;30,08;25,06;20,05;45,11;40,10;60,15
