,AGE,GENDER,STATE,EDUC,MARRIED,JOB,INC,PEOPLE,PINC,CEREAL,ROOT,VEGAN,FRUITS,MEAT,EGGS,MILK,OIL,SUGAR,WELL,CWELL,PWELL,ORG,CORG,PORG,GARDEN,CGARDEN,PGARDEN,VEG,CVEG,PVEG,GARDV1,GARDV2,GARDV3,GARDV4,GARDV5,NGARD,FGARD,INDEXV,INDEXN,VEGROOT,MEETEGG,DEPRATIO
12,32.0,1.0,RS,18.0,1.0,1.0,8000.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,5.0,7.0,7.0,7.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,109.0,3,7.0,7.0,0.0
13,60.0,1.0,PE,16.0,0.0,1.0,8000.0,2.0,2.0,7.0,7.0,5.0,6.0,7.0,6.0,7.0,6.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0,3,7.0,7.0,0.0
14,73.0,1.0,PE,12.0,0.0,1.0,2500.0,2.0,1.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,7.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,82.5,3,6.0,7.0,0.5
15,73.0,1.0,PE,12.0,0.0,1.0,2500.0,2.0,1.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,7.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,82.5,3,6.0,7.0,0.5
16,23.0,1.0,PE,14.0,1.0,0.0,4500.0,2.0,1.0,4.0,2.0,1.0,0.0,3.0,2.0,4.0,5.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,1.0,5.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,64.0,3,6.0,6.0,0.5
17,64.0,1.0,PE,22.0,1.0,0.0,19000.0,1.0,1.0,7.0,3.0,7.0,7.0,7.0,6.0,4.0,7.0,7.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0,3,7.0,7.0,0.0
18,24.0,0.0,PE,14.0,1.0,1.0,4500.0,1.0,1.0,7.0,7.0,2.0,6.0,5.0,7.0,6.0,7.0,4.0,7.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,2.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,92.5,3,7.0,7.0,0.0
19,25.0,1.0,PE,14.0,1.0,1.0,6500.0,2.0,2.0,4.0,6.0,3.0,3.0,2.0,7.0,4.0,7.0,7.0,7.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,4.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,91.0,3,7.0,7.0,0.0
20,49.0,1.0,PE,16.0,1.0,1.0,41250.0,2.0,2.0,7.0,3.0,4.0,7.0,7.0,6.0,5.0,7.0,5.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,99.0,3,7.0,7.0,0.0
21,29.0,1.0,RJ,16.0,0.0,0.0,2500.0,2.0,1.0,7.0,4.0,5.0,7.0,0.0,5.0,2.0,5.0,7.0,7.0,4.0,1.0,3.0,5.0,1.0,1.0,5.0,3.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,91.0,3,7.0,7.0,0.5
22,57.0,0.0,CE,5.0,0.0,1.0,1500.0,4.0,2.0,6.0,1.0,3.0,7.0,6.0,7.0,4.0,4.0,7.0,3.0,4.0,2.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,85.0,3,7.0,7.0,0.5
23,26.0,1.0,PE,14.0,1.0,1.0,1500.0,1.0,0.0,7.0,4.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,104.0,3,7.0,7.0,1.0
24,55.0,1.0,PE,12.0,0.0,1.0,4500.0,2.0,2.0,2.0,6.0,3.0,5.0,7.0,6.0,7.0,3.0,7.0,0.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,78.5,3,7.0,7.0,0.0
25,26.0,1.0,PE,12.0,1.0,1.0,1500.0,4.0,2.0,7.0,1.0,7.0,6.0,4.0,6.0,5.0,4.0,6.0,2.0,2.0,3.0,5.0,5.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,93.0,3,7.0,7.0,0.5
26,46.0,1.0,PE,16.0,0.0,1.0,2500.0,3.0,2.0,7.0,5.0,6.0,7.0,7.0,7.0,0.0,7.0,3.0,7.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,107.0,3,7.0,7.0,0.3333333333333333
27,38.0,1.0,PE,16.0,0.0,1.0,1500.0,4.0,1.0,7.0,4.0,5.0,3.0,6.0,7.0,5.0,6.0,7.0,6.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,96.5,3,7.0,7.0,0.75
28,62.0,1.0,RJ,16.0,0.0,0.0,19000.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,95.0,3,7.0,7.0,0.0
29,40.0,1.0,PE,16.0,0.0,1.0,4500.0,3.0,2.0,5.0,5.0,5.0,6.0,1.0,6.0,2.0,6.0,4.0,7.0,3.0,2.0,5.0,5.0,3.0,5.0,4.0,3.0,5.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,93.5,3,7.0,7.0,0.3333333333333333
30,30.0,1.0,PE,18.0,1.0,1.0,4500.0,3.0,2.0,7.0,3.0,2.0,1.0,1.0,7.0,5.0,6.0,7.0,7.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,81.0,3,7.0,7.0,0.3333333333333333
31,20.0,1.0,PE,12.0,1.0,0.0,19000.0,3.0,1.0,7.0,5.0,5.0,7.0,7.0,7.0,6.0,7.0,7.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,104.0,3,7.0,7.0,0.6666666666666666
32,26.0,1.0,PE,14.0,1.0,1.0,6500.0,5.0,2.0,6.0,4.0,5.0,7.0,6.0,7.0,5.0,6.0,5.0,7.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,100.0,3,7.0,7.0,0.6
33,37.0,1.0,PE,16.0,0.0,1.0,6500.0,4.0,2.0,7.0,4.0,6.0,5.0,5.0,7.0,7.0,7.0,6.0,7.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,104.5,3,7.0,7.0,0.5
34,50.0,1.0,PE,16.0,1.0,1.0,19000.0,3.0,1.0,7.0,0.0,3.0,2.0,2.0,5.0,0.0,6.0,0.0,4.0,4.0,1.0,1.0,5.0,2.0,1.0,5.0,1.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,73.0,3,7.0,5.0,0.6666666666666666
35,49.0,1.0,RJ,14.0,0.0,1.0,4500.0,3.0,1.0,7.0,2.0,5.0,2.0,2.0,4.0,1.0,3.0,7.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,71.0,3,7.0,5.0,0.6666666666666666
36,48.0,1.0,RJ,16.0,0.0,0.0,41250.0,3.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,5.0,2.0,2.0,2.0,5.0,2.0,1.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,111.0,3,7.0,7.0,0.3333333333333333
37,33.0,1.0,SP,16.0,1.0,1.0,4500.0,2.0,1.0,7.0,4.0,6.0,4.0,4.0,5.0,1.0,7.0,7.0,7.0,2.0,2.0,4.0,1.0,2.0,5.0,5.0,2.0,5.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,99.0,3,7.0,6.0,0.5
38,62.0,0.0,RJ,18.0,0.0,1.0,41250.0,3.0,2.0,7.0,7.0,7.0,7.0,2.0,7.0,1.0,7.0,7.0,7.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,107.0,3,7.0,7.0,0.3333333333333333
39,42.0,1.0,PE,22.0,1.0,1.0,6500.0,1.0,0.0,5.0,3.0,5.0,6.0,5.0,2.0,3.0,7.0,5.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,2.0,3.0,5.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,91.5,3,7.0,5.0,1.0
40,25.0,0.0,PE,16.0,1.0,1.0,2500.0,2.0,2.0,7.0,1.0,4.0,0.0,0.0,7.0,1.0,7.0,7.0,7.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,89.0,3,7.0,7.0,0.0
41,31.0,1.0,PE,18.0,0.0,1.0,8000.0,2.0,2.0,6.0,7.0,4.0,7.0,3.0,6.0,5.0,2.0,5.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,75.0,3,7.0,7.0,0.0
42,63.0,0.0,RJ,16.0,0.0,1.0,27500.0,3.0,1.0,7.0,6.0,7.0,7.0,3.0,5.0,5.0,5.0,6.0,5.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,98.5,3,7.0,7.0,0.6666666666666666
43,60.0,0.0,RJ,18.0,0.0,1.0,41250.0,3.0,2.0,7.0,0.0,3.0,5.0,7.0,4.0,2.0,7.0,7.0,1.0,5.0,1.0,1.0,5.0,2.0,1.0,5.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,91.0,3,7.0,6.0,0.3333333333333333
44,21.0,1.0,BA,12.0,0.0,1.0,1500.0,2.0,2.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,2.0,5.0,3.0,1.0,5.0,1.0,1.0,5.0,3.0,5.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,105.5,3,7.0,7.0,0.0
45,21.0,0.0,PE,14.0,1.0,1.0,13500.0,4.0,3.0,6.0,3.0,6.0,2.0,4.0,7.0,5.0,6.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,94.0,3,7.0,7.0,0.25
46,27.0,1.0,PE,18.0,1.0,1.0,4500.0,4.0,4.0,7.0,2.0,6.0,3.0,4.0,7.0,1.0,5.0,6.0,7.0,2.0,2.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,93.5,3,7.0,7.0,0.0
47,30.0,1.0,MS,18.0,0.0,0.0,10000.0,2.0,1.0,7.0,1.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,103.0,3,7.0,7.0,0.5
48,42.0,1.0,PE,12.0,0.0,1.0,1500.0,4.0,1.0,7.0,5.0,4.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,98.0,3,7.0,7.0,0.75
49,48.0,1.0,PE,16.0,0.0,1.0,6500.0,6.0,4.0,5.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,2.0,5.0,1.0,4.0,4.0,2.0,4.0,5.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,102.5,3,7.0,7.0,0.3333333333333333
50,58.0,1.0,PE,16.0,0.0,1.0,8000.0,3.0,3.0,7.0,7.0,7.0,4.0,7.0,3.0,7.0,1.0,7.0,1.0,4.0,4.0,5.0,5.0,3.0,5.0,2.0,1.0,5.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,82.0,3,7.0,7.0,0.0
51,34.0,0.0,SP,18.0,1.0,1.0,8000.0,1.0,1.0,7.0,7.0,4.0,7.0,7.0,0.0,7.0,7.0,0.0,7.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,99.5,3,7.0,7.0,0.0
52,27.0,0.0,PE,18.0,1.0,1.0,2500.0,4.0,3.0,6.0,5.0,5.0,5.0,5.0,7.0,3.0,7.0,7.0,7.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,102.0,3,7.0,7.0,0.25
53,26.0,1.0,PE,14.0,0.0,1.0,19000.0,3.0,2.0,6.0,3.0,2.0,4.0,6.0,7.0,5.0,3.0,4.0,7.0,3.0,1.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,75.5,3,7.0,7.0,0.3333333333333333
54,57.0,1.0,PE,12.0,0.0,1.0,19000.0,3.0,2.0,5.0,5.0,5.0,3.0,7.0,6.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,92.0,3,7.0,7.0,0.3333333333333333
55,30.0,1.0,PE,16.0,0.0,1.0,6500.0,2.0,2.0,5.0,7.0,1.0,7.0,2.0,7.0,7.0,7.0,7.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,85.5,3,7.0,7.0,0.0
56,37.0,1.0,PE,16.0,0.0,1.0,13500.0,4.0,2.0,7.0,4.0,4.0,6.0,4.0,7.0,7.0,5.0,7.0,7.0,3.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,91.0,3,7.0,7.0,0.5
57,56.0,1.0,RJ,22.0,0.0,1.0,13500.0,4.0,4.0,7.0,4.0,7.0,4.0,7.0,6.0,3.0,3.0,6.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,90.5,3,7.0,7.0,0.0
58,45.0,1.0,PE,16.0,0.0,1.0,10000.0,5.0,2.0,7.0,5.0,5.0,4.0,7.0,7.0,7.0,7.0,7.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,101.5,3,7.0,7.0,0.6
59,35.0,1.0,PE,22.0,0.0,1.0,13500.0,2.0,2.0,7.0,3.0,5.0,7.0,6.0,7.0,0.0,7.0,3.0,1.0,4.0,3.0,4.0,5.0,2.0,1.0,5.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,3,7.0,7.0,0.0
60,61.0,1.0,RJ,22.0,0.0,1.0,27500.0,2.0,2.0,7.0,7.0,7.0,7.0,4.0,7.0,5.0,7.0,7.0,2.0,4.0,2.0,2.0,5.0,2.0,4.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,106.5,3,7.0,7.0,0.0
61,36.0,1.0,PE,16.0,0.0,1.0,13500.0,2.0,2.0,7.0,3.0,3.0,5.0,5.0,7.0,6.0,5.0,5.0,4.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,85.5,3,7.0,7.0,0.0
62,26.0,1.0,PE,16.0,1.0,1.0,2500.0,2.0,2.0,7.0,4.0,2.0,6.0,7.0,7.0,5.0,6.0,7.0,7.0,1.0,1.0,5.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,92.0,3,7.0,7.0,0.0
63,19.0,1.0,PE,14.0,1.0,1.0,10000.0,3.0,3.0,6.0,4.0,4.0,6.0,3.0,6.0,5.0,7.0,7.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,2.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,97.0,3,7.0,7.0,0.0
64,27.0,1.0,PE,14.0,0.0,1.0,4500.0,2.0,1.0,7.0,3.0,6.0,6.0,7.0,2.0,7.0,6.0,7.0,7.0,4.0,2.0,3.0,4.0,2.0,3.0,5.0,2.0,4.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,104.0,3,7.0,7.0,0.5
65,19.0,1.0,PE,14.0,1.0,0.0,4500.0,5.0,4.0,7.0,2.0,4.0,4.0,3.0,2.0,5.0,5.0,7.0,6.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,5.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,87.5,3,7.0,7.0,0.2
66,46.0,0.0,AL,16.0,0.0,1.0,4500.0,4.0,3.0,7.0,3.0,5.0,1.0,2.0,7.0,2.0,3.0,5.0,7.0,3.0,1.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,78.0,3,7.0,7.0,0.25
67,21.0,0.0,PE,14.0,1.0,1.0,1500.0,1.0,1.0,7.0,0.0,0.0,5.0,4.0,3.0,7.0,7.0,7.0,0.0,3.0,2.0,4.0,4.0,3.0,3.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,82.5,3,7.0,7.0,0.0
68,48.0,0.0,PE,12.0,0.0,0.0,8000.0,3.0,1.0,7.0,4.0,7.0,5.0,7.0,7.0,5.0,7.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,106.0,3,7.0,7.0,0.6666666666666666
69,30.0,0.0,PE,16.0,1.0,1.0,13500.0,3.0,2.0,7.0,5.0,7.0,7.0,7.0,5.0,7.0,5.0,7.0,5.0,4.0,2.0,1.0,5.0,2.0,3.0,5.0,5.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,103.0,3,7.0,7.0,0.3333333333333333
70,35.0,1.0,PE,12.0,1.0,1.0,1500.0,3.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,3.0,4.0,4.0,5.0,2.0,5.0,5.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,77.0,3,7.0,7.0,0.6666666666666666
71,24.0,0.0,PE,16.0,1.0,1.0,2500.0,5.0,5.0,7.0,3.0,6.0,4.0,3.0,5.0,4.0,3.0,7.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,83.5,3,7.0,7.0,0.0
72,28.0,1.0,PE,18.0,1.0,1.0,8000.0,4.0,3.0,7.0,6.0,7.0,7.0,5.0,5.0,0.0,7.0,5.0,7.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,101.0,3,7.0,5.0,0.25
73,36.0,1.0,PE,16.0,0.0,0.0,4500.0,3.0,2.0,7.0,3.0,7.0,5.0,3.0,7.0,7.0,5.0,6.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,95.5,3,7.0,7.0,0.3333333333333333
74,61.0,1.0,PE,14.0,0.0,0.0,10000.0,3.0,2.0,7.0,3.0,0.0,5.0,7.0,7.0,4.0,6.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,81.5,3,7.0,7.0,0.3333333333333333
75,38.0,1.0,PE,16.0,0.0,1.0,4500.0,2.0,2.0,7.0,2.0,7.0,7.0,5.0,7.0,5.0,3.0,7.0,7.0,4.0,2.0,3.0,5.0,2.0,3.0,5.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,94.0,3,7.0,7.0,0.0
76,36.0,0.0,PE,16.0,1.0,1.0,10000.0,3.0,2.0,7.0,1.0,2.0,7.0,3.0,7.0,7.0,4.0,7.0,7.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,81.0,3,7.0,7.0,0.3333333333333333
77,56.0,1.0,PB,22.0,1.0,1.0,19000.0,1.0,1.0,7.0,4.0,5.0,6.0,7.0,7.0,4.0,5.0,7.0,7.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,97.0,3,7.0,7.0,0.0
78,33.0,1.0,PE,12.0,0.0,1.0,1500.0,3.0,2.0,7.0,6.0,4.0,5.0,7.0,6.0,7.0,6.0,4.0,3.0,2.0,4.0,5.0,5.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,93.5,3,7.0,7.0,0.3333333333333333
79,24.0,0.0,PE,14.0,0.0,1.0,6500.0,2.0,2.0,5.0,3.0,0.0,4.0,6.0,7.0,6.0,4.0,7.0,6.0,3.0,2.0,3.0,5.0,2.0,1.0,5.0,4.0,5.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,74.5,3,7.0,7.0,0.0
80,26.0,0.0,PE,16.0,1.0,1.0,27500.0,4.0,4.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,5.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,110.0,3,7.0,7.0,0.0
81,23.0,1.0,PE,16.0,1.0,1.0,2500.0,1.0,1.0,7.0,5.0,5.0,5.0,1.0,7.0,0.0,7.0,7.0,7.0,3.0,2.0,2.0,4.0,3.0,2.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,98.0,3,7.0,7.0,0.0
82,32.0,1.0,SP,16.0,0.0,1.0,6500.0,3.0,2.0,7.0,7.0,1.0,7.0,3.0,7.0,3.0,7.0,7.0,7.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,90.0,3,7.0,7.0,0.3333333333333333
83,64.0,1.0,SP,18.0,1.0,0.0,13500.0,1.0,0.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,7.0,7.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,111.0,3,7.0,7.0,1.0
84,47.0,1.0,PE,16.0,0.0,1.0,10000.0,3.0,2.0,7.0,6.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,106.0,3,7.0,7.0,0.3333333333333333
85,34.0,1.0,PE,16.0,0.0,1.0,8000.0,4.0,2.0,7.0,0.0,5.0,0.0,3.0,4.0,4.0,7.0,7.0,7.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,95.0,3,7.0,7.0,0.5
86,36.0,1.0,PE,16.0,0.0,1.0,41250.0,4.0,2.0,7.0,4.0,7.0,7.0,2.0,7.0,2.0,2.0,7.0,5.0,5.0,1.0,1.0,5.0,2.0,1.0,4.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,86.0,3,7.0,7.0,0.5
87,21.0,0.0,PE,14.0,0.0,1.0,8000.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,6.0,5.0,4.0,5.0,4.0,2.0,1.0,4.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,81.5,3,7.0,7.0,0.0
88,37.0,1.0,PE,16.0,0.0,1.0,41250.0,4.0,1.0,7.0,5.0,7.0,7.0,4.0,7.0,7.0,7.0,1.0,7.0,2.0,1.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,106.0,3,7.0,7.0,0.75
89,39.0,1.0,PE,16.0,0.0,1.0,6500.0,2.0,2.0,7.0,4.0,4.0,5.0,7.0,0.0,7.0,7.0,7.0,2.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,98.5,3,7.0,7.0,0.0
90,40.0,1.0,PE,16.0,0.0,1.0,4500.0,3.0,1.0,6.0,4.0,3.0,6.0,6.0,5.0,7.0,7.0,7.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,95.5,3,7.0,7.0,0.6666666666666666
91,38.0,1.0,PE,16.0,0.0,1.0,4500.0,2.0,2.0,7.0,4.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,5.0,5.0,2.0,3.0,5.0,2.0,3.0,5.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,111.0,3,7.0,7.0,0.0
92,61.0,0.0,PB,22.0,0.0,1.0,19000.0,5.0,3.0,7.0,3.0,3.0,7.0,7.0,7.0,7.0,3.0,7.0,2.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,81.5,3,7.0,7.0,0.4
