;AGRO;IEXT;ITRA;IELE;ICON;SCON;STRA;SINF;SFIN;SIMO;SOSE;SADM;VA;IMP;PIB;CFAM;CGOV;FBC;EXP;IMPOR;RPRIM
2002.IV;9071,613072;1627,582550;28391,303944;4322,327523;12553,762956;15090,433115;6393,538229;7117,628866;19724,559118;19017,431321;27439,314201;30577,074158;182752,394296;27645,458358;210460,585453;129682,019954;42115,026330;38307,574449;23984,295221;16735,423933;203,905
2003.I;14596,253705;1481,070066;23012,350870;4363,985984;11011,769956;13728,616929;5416,809282;6583,394287;16017,008650;19295,664331;25561,405759;30729,975615;173429,785832;26900,419597;200459,901102;123366,261575;39687,550469;36614,936698;20382,371857;15541,820825;1783,799
2003.II;14529,400810;1517,634998;27156,651290;4195,499732;10342,309589;14417,352668;5977,410085;6748,715794;15390,139334;19249,114837;25595,695062;31656,263931;178367,664361;26877,267036;205290,681905;123902,203858;40949,622723;34706,904736;23649,483277;16345,383877;1062,892
2003.III;12876,204401;1654,142738;30424,950010;4299,675520;10891,177106;14820,475299;6372,501162;6792,423473;18264,446905;19011,986269;26411,085709;31774,750404;184813,712304;27423,255560;212237,131728;125916,594282;41846,103870;35878,435995;25611,170564;17292,507081;85,345
2003.IV;9142,028657;1862,387094;29123,039223;4410,532259;11303,232385;15536,754918;6458,460204;7096,821391;19198,297005;19216,720967;26961,344789;31857,862304;183739,704594;27890,166456;211699,592061;130446,624893;44105,941384;36434,410323;25316,304108;18526,767598;1980,073
2004.I;14598,083913;1514,177945;26278,480503;4374,273706;11092,766350;14823,762865;5961,071821;6659,062323;16243,431939;19429,628918;25219,701366;33050,210003;180492,157456;27650,374031;208233,901171;124484,595159;41136,009234;36948,266621;24101,369804;17139,636685;1849,870
2004.II;14820,670025;1578,327266;29302,070565;4588,353101;11711,970299;15773,082254;6361,137057;6923,923374;17612,889867;20037,659643;26560,197843;32607,141943;189444,886581;28727,938177;218240,944898;127753,586591;43595,031151;38851,220377;26732,041629;18350,226797;1269,819
2004.III;13462,546176;1683,049906;32347,753944;4607,829882;12985,741701;16613,816036;6541,158878;7135,885479;18119,811884;20642,614024;27578,805232;32799,433289;196309,903991;29776,180284;226157,354572;132070,344816;43653,368368;40965,464260;29120,949939;19537,184316;388,287
2004.IV;9282,971220;1709,100975;31754,083920;4735,659012;12437,274190;16716,395810;6681,720951;7674,407969;19536,692659;20877,983785;28994,285690;32742,778017;194851,966121;29890,398638;224844,801622;139083,117413;44661,869790;39059,959871;28749,172641;19696,561743;1736,322
2005.I;15061,805222;1543,367747;27464,996920;4661,060955;11331,935753;15327,653709;6275,654842;7164,855103;17846,565219;20706,298868;26813,085308;32833,781781;188121,024805;28736,118972;216947,084951;131104,999332;42661,746507;37452,425424;26483,809145;18669,037406;2141,387
2005.II;15173,622482;1764,040862;31094,103005;4698,075994;11807,646609;16544,387444;6671,368255;7449,782846;18042,216793;20885,385277;27966,831112;33407,964814;197625,188095;30275,090116;228007,174527;133874,725818;43851,708165;40035,149662;29707,045159;19876,513527;312,992
2005.III;13193,005528;1796,610931;32017,390037;4706,575775;12075,927222;16869,931703;6685,208312;7523,830372;19668,998892;21143,815785;28999,395315;33318,572495;199919,299035;30877,381741;230940,529870;137862,094849;44402,030444;41319,973056;32296,875092;21045,815864;1517,542
2005.IV;9320,112470;1822,054619;31790,024179;4816,244475;11999,648235;17174,927891;6833,654141;7898,666975;20109,518425;21632,227095;29836,957246;32998,406539;198372,965338;31098,964594;229680,213296;143693,563035;45610,654101;40065,767213;30699,379694;20707,629876;2356,705
2006.I;15137,453686;1754,678198;28154,195403;4784,786711;11386,490297;16204,383074;6523,863783;7241,746760;19706,726580;21391,438445;27990,045683;33995,342979;195207,681276;30798,180255;226230,460551;137565,504158;43927,232584;40747,478373;28732,328330;21430,389664;970,336
2006.II;15123,119354;1788,539144;30184,374453;4824,294476;11399,461183;16895,741463;6722,813636;7341,262764;20364,317788;21839,054026;28890,379171;34597,132694;201210,452397;31768,296220;233213,256350;141633,708957;44896,799797;41478,353207;29194,021382;22475,907344;72,189
2006.III;14658,919106;1892,050523;32549,465998;4982,696183;12268,628448;17692,867085;6845,866814;7729,585846;21030,129087;22357,517390;29964,361420;34584,465026;208349,808068;32743,374665;241316,198330;145155,977992;45541,823585;43698,127647;34770,417607;25320,387598;1867,781
2006.IV;10276,281586;1942,702226;32987,991248;5071,401031;12284,857852;18405,135824;7030,481520;7954,049133;20747,519789;22736,423403;31064,088646;34559,644918;208171,882534;32347,125134;240693,866677;151062,943654;48446,023909;43531,571367;32255,932232;25335,489239;2288,153
2007.I;15721,641300;1837,499654;29024,512446;5077,311995;12049,440197;17315,494163;6728,527883;7653,115619;21989,217626;22919,547052;29345,327230;35012,730794;205182,273948;32550,071450;237982,433317;146309,686672;45833,561331;43681,336398;30322,161235;25578,049821;854,206
2007.II;15213,666729;1897,303616;32752,098582;5224,448225;12795,848868;18518,102417;7050,050219;7845,916022;22831,120103;23364,820871;30027,300549;35420,393632;214078,141663;34105,202162;248459,006446;150376,708229;47861,052462;46636,117526;32942,518205;26428,393193;606,321
2007.III;15344,875186;1926,246389;35002,738808;5222,506174;13548,616580;19257,089812;7174,445994;8029,140852;23926,456766;23612,681507;30806,516320;35305,735247;220336,684416;34884,006323;255482,066886;153563,725144;47760,959267;49916,115507;35179,429490;30227,001860;2918,549
2007.IV;10707,797857;1930,174620;34704,287326;5343,257907;13299,337658;19822,566232;7546,436186;8681,931196;25468,579678;23728,791342;31934,948962;34970,350637;220486,791384;35832,301224;256675,301626;161858,232645;48795,190323;49475,977346;34225,796393;30822,819431;2736,544
2008.I;16470,167441;1908,576732;31782,331698;5231,184638;12651,534179;18657,107801;7319,139389;8362,012514;25720,367878;23551,110965;30435,117071;34879,395016;217080,657194;35227,371768;252635,974293;156783,240544;47196,297577;48935,178326;29789,803911;29534,904335;1732,037
2008.II;16896,602018;1994,795622;34865,627993;5271,909842;13282,697400;19894,210946;7801,837950;8622,967388;26451,837268;23720,918004;31675,617879;35602,951033;226787,127790;37054,107873;264201,677033;160955,115344;48081,170726;52995,227606;34884,119400;32662,263008;-810,075
2008.III;16114,436347;2073,390710;37408,430028;5411,506371;14527,431229;21034,462787;7969,786707;8898,376274;27170,629790;23960,981529;32697,948869;35635,383019;234183,145163;38728,424205;273316,787908;166398,598716;49640,061077;58877,968546;36352,753912;36712,595455;788,050
2008.IV;10795,532957;1926,738226;32883,225804;5491,411302;13768,304314;19319,778182;7568,384459;9473,167339;27342,564630;23689,644857;33090,958373;35492,511187;222255,705020;36680,036607;259314,944165;167539,705156;49223,938419;52210,704487;32186,180979;33395,133534;744,440
2009.I;16239,196555;1801,328033;26622,034358;5108,040975;12576,255268;17266,430631;6804,442891;8565,809061;27921,772243;23956,049329;31412,730415;35973,234328;212126,095907;34106,019671;246506,888113;160352,120780;48697,316319;44291,126535;25584,924061;25705,423928;-242,111
2009.II;15965,336645;1903,446254;30155,832425;5340,601286;13925,358708;18773,150335;7130,153525;8713,453694;28500,276692;24231,901017;32195,232601;36676,313173;222189,780090;35886,778747;258381,352837;167342,961673;49120,588912;48603,693551;31421,393230;28547,537435;1984,657
2009.III;14905,955042;1999,448555;33492,899324;5434,839923;15551,892278;20266,261622;7538,119953;8827,280022;29266,466611;24566,991627;33560,090053;36813,737032;231645,347057;38103,929226;270139,069808;173836,652281;49792,748909;56607,932618;32922,013341;32465,820136;674,938
2009.IV;10918,723869;2031,681196;33982,823344;5681,653589;15984,042334;20757,402174;7846,849039;9254,185633;30437,489199;25008,947723;34574,396941;36992,755235;233473,425084;39174,995456;273121,714284;179186,220583;52248,605692;58970,765828;30966,246033;35528,339620;1378,658
2010.I;17354,755350;2078,519857;30860,287905;5540,027319;15035,654428;20016,904261;7693,463627;8820,195637;30217,900668;25107,643474;32246,387633;36861,286399;230087,634588;38717,901530;269207,936304;172316,596345;50142,035431;57135,802847;29546,672467;35718,168939;2495,510
2010.II;17570,577696;2201,168365;33797,272031;5731,209845;16432,208221;21036,796781;8077,072634;9148,071347;30758,365936;25535,159343;33273,475009;37576,121305;240022,496978;39961,023751;280389,599957;176376,539077;51645,968054;59745,661399;33641,403057;38867,419194;1814,163
2010.III;15731,542022;2288,263824;35880,932447;5765,118145;17003,768341;22258,731938;8379,002327;9390,252233;32126,595589;25791,609620;34607,062707;37627,424430;246418,661811;41933,447711;288798,006330;183014,931196;52200,544422;65246,021337;36716,878979;44564,716624;1984,753
2010.IV;11258,520025;2319,665923;35134,045369;5882,144844;17169,416757;22342,950649;8450,680606;9894,190121;33848,453632;26107,315686;35913,089767;37649,863599;245652,094759;42540,344919;288660,508006;191414,343246;53706,523262;63566,730998;35160,547764;44219,555559;2257,245
2011.I;18286,918080;2167,509022;32375,368748;5792,295330;16330,872509;20908,205176;8205,058725;9362,545400;32672,343259;26041,743115;34037,718097;37735,369027;241378,416051;41367,140918;283193,603612;183360,334524;51438,177632;61836,961542;30798,267549;39889,951420;1393,484
2011.II;17697,640615;2279,910489;35279,406577;6077,580752;17636,578045;21916,964502;8453,258333;9800,843831;33123,005517;25940,529215;35301,105253;38390,716344;250373,923192;42736,907316;293569,313577;188065,180645;53343,974753;64604,281347;35828,536334;44344,727242;1278,537
2011.III;16938,599926;2351,134300;36543,880905;6113,373367;18600,570036;22363,979283;8657,420300;9968,531339;33997,858379;26087,178804;36173,762287;38274,047872;254796,538852;43741,571056;299013,789877;190260,409213;53122,726895;69004,398435;38349,467104;47202,755872;2417,247
2011.IV;12483,426670;2397,481841;34522,693371;6220,121305;18486,676024;22471,443459;8679,299905;10539,497658;35039,389467;26452,712676;36816,112060;38161,631577;251647,809405;43929,182443;296073,319166;196279,846297;54368,406535;67039,432071;36588,510810;47278,187233;931,038
2012.I;16233,607877;2233,456144;31868,194200;6181,960253;17753,363533;21033,283401;8205,366455;9995,260832;33764,502684;26752,042413;35066,462539;38250,729041;244940,331277;42616,540181;288028,300299;188825,745212;52511,511868;63779,860984;32442,886275;42513,200447;441,962
2012.II;17669,317732;2224,653208;33185,085419;6022,305752;17962,480439;22133,288074;8467,637801;10267,179133;33801,479539;27433,881590;36172,900131;39124,079738;252255,920613;43727,521696;296465,315348;192241,523556;54474,314994;65322,882838;35433,066282;45442,940866;2241,211
2012.III;17740,898507;2265,286778;36068,100769;6246,835452;19135,701565;23236,642103;9113,797052;10728,437736;34018,268599;27699,287644;37341,038400;38679,426831;260694,618172;45251,556579;306445,543255;197728,375142;54153,435755;67979,489934;36980,715382;44638,765194;1276,077
2012.IV;11746,771757;2294,225103;34300,218144;5917,415907;18465,520184;23330,107665;8902,481572;11457,418182;35337,066727;27956,042069;38879,276488;38559,001976;256395,988460;46492,405701;303424,168708;205694,765138;55967,497506;67447,013101;37709,885190;48141,723968;868,009
2013.I;19725,808689;2045,376746;31872,853696;5999,015849;17971,842051;21803,859374;8265,273081;10522,857383;33949,467354;28681,412205;35723,659222;38853,158846;251470,131962;43903,605238;295865,829955;196074,813824;52446,554077;65664,227486;30833,895241;45412,815935;-500,143
2013.II;19463,896436;2148,843052;35161,966153;6151,816467;19387,006395;23030,005778;8989,357769;10849,856539;35026,143029;28763,209190;36721,550195;39655,110555;261942,563348;45932,793207;308388,665898;200152,077930;55112,586411;70867,784061;37513,804723;48451,274246;3112,944
2013.III;17265,242698;2248,441479;37331,403966;6237,639749;20193,527298;23907,524995;9269,221812;10846,271364;35087,318132;28861,638302;38048,132428;39894,671664;267135,880543;47239,429328;314900,222593;204597,959886;55496,244924;72974,708931;37901,492670;49649,885404;760,525
2013.IV;12236,017209;2287,612304;35136,035160;6370,250826;19060,733462;24064,706467;9077,084340;11930,090407;35328,434627;29160,369814;39328,587985;39629,280487;262906,722861;47669,540140;311097,109127;210895,562139;57329,950189;70437,177537;38926,749105;49277,208522;125,562
