"sernum","miscat","percfunc","percnegfunc","percposfunc","percnofunc","cogseleva","mmUPFscons","snkUPFscons","propUPFscons","rihnutr","bdyshp","tstgdivtaro","rdytoeat","chp","esyacce","othreas","reassum","age","gender","edu","mrysta","occu","wrksty","wltock","ckskl","housdispinc","child","adol","adul","elder","freqck","freqtakout","supwhlmrk","locmrk","olgroc","homgro","rsttakout","cant","othpur","ovwob","region","ctyctry"
42,0,3,3,0,0,3,2,2,39,0,0,1,1,0,0,0,2,24,1,7,2,4,10,1,1,2,0,0,3,2,2,2,0,1,0,0,0,0,0,1,1,2
43,0,2,2,0,0,3,2,3,0,0,0,0,1,0,0,0,1,27,2,7,1,6,8,2,1,3,2,0,6,0,3,2,0,1,1,0,1,1,0,1,2,1
44,0,2,1,1,0,3,2,2,10,0,0,0,1,0,0,0,1,50,2,7,2,6,8,1,1,5,0,1,2,1,5,2,1,1,1,0,0,1,0,1,1,1
45,1,3,2,0,0,3,2,2,20,0,0,0,1,0,1,0,2,24,2,7,1,1,8,1,1,2,0,0,2,0,4,2,1,1,0,0,1,0,0,1,2,1
46,2,3,3,0,0,2,2,4,40,0,0,0,1,0,1,0,2,27,2,7,2,6,10,2,1,7,0,0,1,0,2,3,1,1,1,0,0,0,0,1,1,1
47,0,1,1,0,0,3,2,2,24,0,0,0,1,0,0,0,1,50,1,7,2,3,8,1,1,3,0,0,3,1,2,2,1,0,0,0,0,0,0,1,1,1
48,0,3,2,1,0,3,1,2,11,0,0,0,1,0,0,0,1,39,1,7,2,6,9,1,1,5,1,0,2,0,2,2,1,1,1,0,1,1,0,1,1,1
49,0,2,1,1,0,3,3,3,22,1,0,0,0,1,1,0,3,32,2,7,2,6,10,2,1,3,0,0,2,4,2,3,1,0,1,0,1,0,0,1,1,1
50,0,3,3,0,0,3,2,4,40,0,0,0,1,0,1,0,2,41,2,7,2,6,42,2,1,7,0,1,2,0,2,2,1,1,1,0,0,0,0,1,1,1
51,0,1,0,1,0,3,2,2,17,1,0,1,1,1,1,0,5,50,2,6,2,6,8,1,1,3,0,0,3,2,3,2,1,1,0,0,0,0,0,2,1,1
52,0,3,3,0,0,3,3,2,34,0,0,1,1,1,1,0,4,44,2,7,2,6,16,2,1,5,0,1,2,0,2,3,0,1,1,1,1,1,0,1,1,1
53,2,0,0,0,1,2,3,2,46,0,0,1,1,1,1,0,4,25,2,6,1,6,50,2,1,2,0,0,2,1,1,1,0,1,0,0,0,0,0,2,2,1
54,1,5,3,2,0,3,2,4,25,1,1,1,1,0,0,0,4,32,2,7,2,6,8,2,1,5,1,0,2,0,2,2,0,0,1,0,0,0,0,1,1,1
55,2,2,2,0,0,3,2,2,21,0,0,0,1,0,0,0,1,43,1,8,2,6,10,2,1,7,0,1,2,0,2,3,0,0,1,0,0,0,0,2,1,1
56,0,4,3,1,0,3,2,2,27,0,0,1,1,0,0,0,2,51,2,7,2,6,9,1,1,3,0,1,2,0,4,2,1,0,1,0,0,1,0,2,1,1
58,1,1,1,0,0,3,2,2,39,0,0,0,1,0,0,0,1,42,2,7,2,6,8,1,1,4,0,1,2,0,2,2,1,0,0,0,0,0,0,2,1,1
60,11,3,3,0,0,3,4,2,50,0,0,1,1,0,1,0,3,24,2,7,1,1,6,1,1,2,0,0,3,0,4,2,1,0,1,0,1,0,0,1,2,2
61,2,2,1,1,0,3,1,1,20,0,0,1,1,0,0,0,2,42,1,7,2,6,5,1,2,2,1,0,2,0,3,1,1,1,1,1,0,1,0,1,1,1
62,0,2,2,0,0,3,2,2,19,0,0,0,1,0,1,0,2,24,2,6,1,6,7,1,1,2,0,0,3,0,4,2,1,1,0,0,0,0,0,1,2,1
63,0,1,1,0,0,3,3,3,38,0,0,0,1,0,1,0,2,43,2,7,2,6,7,1,1,3,0,1,2,0,4,2,1,1,0,0,0,0,0,1,2,1
64,0,4,2,2,0,2,2,2,50,0,0,1,1,0,0,0,2,25,2,6,1,6,8,2,2,1,0,0,3,0,5,2,0,1,0,0,0,0,0,1,2,1
65,0,3,3,0,0,3,3,3,80,0,0,0,1,0,1,0,2,50,1,7,2,6,10,2,1,5,0,0,2,0,2,3,1,0,1,0,1,1,0,1,3,1
66,0,4,3,1,0,3,1,1,2,0,0,0,0,0,0,1,1,45,1,7,2,6,12,2,1,7,0,0,3,0,2,3,1,0,0,0,0,0,0,1,1,1
67,2,3,3,0,0,3,2,2,10,0,0,0,1,0,0,0,1,44,1,8,2,6,10,2,1,5,0,1,2,0,2,1,1,1,0,0,0,1,0,2,3,1
68,3,2,2,0,0,3,1,2,7,0,0,0,1,0,0,0,1,54,1,7,2,6,8,1,1,6,0,0,2,0,2,1,1,1,1,0,0,0,0,2,1,1
69,2,3,1,2,0,3,2,2,50,1,1,1,0,0,0,0,3,24,1,7,1,1,7,1,1,3,0,1,6,0,2,2,1,0,0,0,0,1,0,2,3,1
70,0,0,0,0,1,3,5,3,84,0,0,1,1,1,1,0,4,67,1,7,2,3,3,1,1,6,0,0,0,2,3,2,1,1,1,0,0,0,0,1,1,1
71,0,3,3,0,0,3,2,2,21,0,0,1,1,0,0,0,2,46,1,8,2,7,12,1,1,6,1,1,2,0,5,2,1,0,1,0,0,0,0,1,1,1
72,0,2,2,0,0,3,2,3,20,0,0,0,1,0,0,0,1,41,1,8,2,6,9,1,1,7,2,0,3,0,4,2,0,1,1,0,0,0,0,1,1,1
73,0,3,3,0,0,2,2,2,11,0,0,1,1,0,1,0,3,52,1,6,2,6,7,2,1,4,0,0,3,1,2,2,1,0,1,0,1,1,0,1,1,1
74,0,3,3,0,0,3,3,2,60,0,0,0,1,0,1,0,2,44,2,8,2,6,6,2,1,6,0,0,2,0,2,3,1,0,1,0,0,0,0,1,1,1
75,0,3,3,0,0,3,1,1,20,0,0,1,1,1,1,0,4,40,1,8,2,6,9,1,1,5,1,0,2,0,2,2,1,1,1,0,0,0,0,2,1,1
76,0,0,0,0,1,3,5,5,99,0,0,0,1,0,0,0,1,57,1,7,2,3,8,2,1,5,0,1,2,1,1,5,0,0,1,0,1,0,0,1,1,1
77,0,5,3,2,0,2,2,2,55,1,0,0,1,1,1,0,4,40,1,8,2,6,10,2,1,5,0,1,2,2,2,3,1,0,1,0,1,0,0,1,1,1
78,0,3,3,0,0,3,3,2,18,0,0,0,1,0,1,0,2,54,2,8,2,6,8,1,1,7,2,0,4,0,4,2,1,0,1,0,0,0,0,1,1,1
79,0,2,2,0,0,3,3,3,32,0,0,1,1,1,1,0,4,48,1,6,2,7,8,1,1,3,1,0,2,2,5,2,1,0,0,0,0,0,0,1,1,1
80,0,3,1,2,0,4,2,2,8,0,0,0,1,0,0,0,1,50,2,8,2,6,8,1,1,4,0,0,2,0,3,2,0,0,1,0,1,0,0,2,1,1
81,0,3,3,0,0,4,2,2,61,0,0,0,1,0,0,0,1,43,2,7,2,6,10,2,2,6,0,1,2,0,2,3,1,0,1,0,1,1,0,1,1,1
82,1,2,2,0,0,3,2,2,2,0,0,1,0,0,0,0,1,40,2,8,2,6,9,2,1,3,1,0,2,1,4,2,0,1,0,0,0,0,0,2,1,1
83,0,3,2,1,0,3,4,4,86,1,0,0,1,0,1,0,3,38,1,8,1,6,9,1,1,4,1,0,3,0,3,1,1,0,1,0,0,0,0,2,1,1
84,1,2,2,0,0,3,2,2,9,0,0,0,1,0,1,0,2,48,2,8,2,6,8,1,1,7,0,1,2,0,3,2,0,1,1,0,0,0,0,2,1,1
85,3,2,2,0,0,2,4,2,90,0,0,0,1,0,1,0,2,33,2,8,1,6,12,2,1,4,0,0,1,0,2,2,1,0,1,0,0,1,0,2,1,1
87,0,1,1,0,0,4,2,2,10,0,0,0,1,0,0,0,1,42,1,7,2,6,8,1,1,4,1,0,2,0,3,3,0,0,1,0,0,0,0,1,1,1
88,0,2,2,0,0,3,2,2,8,0,0,1,1,0,1,0,3,58,1,6,2,6,8,1,1,3,0,0,4,0,4,1,1,1,0,0,0,0,0,1,1,1
89,0,3,3,0,0,3,2,3,44,0,0,0,1,0,1,0,2,48,2,6,2,6,9,1,1,4,0,0,3,0,4,2,1,1,0,0,0,0,0,1,1,1
92,0,3,3,0,0,3,2,2,50,0,0,1,1,0,0,0,2,40,1,6,2,6,8,2,1,2,0,1,2,0,4,2,0,0,1,0,1,0,0,1,1,1
93,0,3,2,0,0,3,2,2,39,0,0,1,1,0,1,0,3,53,1,6,2,6,7,1,1,4,0,0,3,0,3,1,1,1,0,0,0,0,0,2,1,1
94,0,2,2,0,0,3,3,3,21,0,0,0,1,0,1,0,2,45,1,7,2,7,8,1,1,7,2,0,2,0,3,2,1,0,1,0,0,0,0,1,1,1
95,2,1,1,0,0,3,2,2,10,0,0,0,1,0,1,0,2,51,1,6,2,5,4,1,1,2,1,1,2,2,5,2,1,0,0,0,0,0,0,2,3,1
96,0,4,3,1,0,2,4,4,33,0,0,0,1,0,1,0,2,39,2,7,1,7,4,1,1,4,1,0,1,0,2,3,1,1,0,0,0,0,0,2,3,1
97,0,2,1,1,0,3,2,2,16,0,0,1,1,0,0,0,2,60,2,5,2,3,2,1,1,2,1,0,2,2,5,2,1,0,0,0,0,0,0,1,1,1
98,0,0,0,0,1,3,2,2,20,1,0,0,0,0,0,0,1,37,2,8,2,6,8,2,1,6,2,0,2,1,3,2,1,0,0,0,0,0,0,2,1,1
100,1,3,3,0,0,3,2,2,21,0,0,0,1,0,1,0,2,22,1,6,1,6,8,1,1,1,0,1,3,2,4,2,1,0,0,0,0,0,0,2,1,1
101,2,3,1,2,0,3,2,2,21,0,0,0,1,0,1,0,2,23,1,6,1,1,10,2,2,2,0,1,3,0,2,1,1,1,1,1,0,0,0,1,1,2
102,0,4,3,1,0,2,3,2,58,0,0,1,1,0,0,0,2,50,2,7,1,6,8,2,1,4,0,0,2,0,2,3,1,0,1,0,1,1,0,1,1,1
103,0,3,3,0,0,4,4,4,62,0,0,1,1,1,1,0,4,25,1,6,2,6,12,2,1,2,0,0,2,0,2,3,1,0,1,0,1,1,0,1,1,1
106,0,4,3,0,0,3,2,2,30,0,0,0,1,0,0,0,1,50,1,5,2,6,10,1,1,5,0,0,3,1,5,2,1,0,0,1,0,0,1,1,1,1
107,0,3,3,0,0,3,2,3,21,0,0,1,1,0,0,0,2,49,1,6,2,6,7,2,1,2,0,2,2,1,5,2,1,1,0,0,0,0,0,1,1,1
108,1,0,0,0,1,3,2,3,35,0,0,1,1,0,0,0,2,47,1,6,2,6,7,2,1,4,1,0,3,0,3,2,0,1,0,0,0,0,0,1,4,1
109,0,1,1,0,0,3,2,3,19,0,0,0,1,1,1,0,3,25,1,6,1,6,9,2,1,1,0,0,2,0,4,2,1,1,0,0,0,0,0,1,3,1
110,0,3,3,0,0,3,2,3,64,0,0,1,1,0,1,0,3,50,2,5,2,3,6,1,1,4,0,0,3,1,4,2,1,1,0,0,0,0,0,2,1,1
111,1,1,1,0,0,3,2,1,10,0,0,0,1,0,0,0,1,51,2,6,2,6,8,1,1,5,0,1,3,0,4,2,1,0,1,0,0,0,0,2,1,1
112,3,3,3,0,0,2,4,2,59,0,0,1,1,0,1,0,3,22,2,6,2,1,7,2,1,1,0,0,2,0,3,3,1,0,1,0,1,0,0,2,1,1
113,4,2,0,2,0,3,1,2,4,1,0,0,1,0,1,0,3,49,2,7,2,6,8,2,1,3,0,0,3,0,3,3,0,1,0,0,1,1,0,1,1,1
114,0,2,2,0,0,3,2,2,18,0,0,1,1,0,0,0,2,57,2,6,2,6,8,1,1,4,0,0,2,0,3,2,1,0,1,0,0,0,0,1,1,1
115,10,2,2,0,0,3,2,2,16,0,0,0,1,0,0,0,1,52,1,6,2,6,8,2,1,2,0,0,5,2,5,2,1,1,0,0,0,0,0,2,1,1
116,1,1,1,0,0,3,2,2,5,0,0,1,1,0,1,0,3,56,2,6,2,6,8,1,1,4,0,0,2,0,4,2,1,0,0,0,0,0,0,2,3,1
117,0,3,2,1,0,3,2,2,0,0,0,0,1,0,0,0,1,56,2,8,2,6,10,1,1,4,0,0,3,0,4,2,1,0,0,0,0,0,0,2,3,1
118,0,4,3,1,0,3,1,1,0,0,0,0,1,0,0,0,1,51,1,6,2,6,8,1,1,3,0,0,3,0,2,1,0,0,0,1,0,0,0,2,4,1
119,1,1,1,0,0,2,2,2,8,1,0,0,0,0,0,0,1,31,1,6,1,6,8,2,1,3,0,0,1,2,4,1,0,1,0,0,0,0,0,2,3,1
120,0,2,1,1,0,3,2,2,21,0,0,1,1,0,1,0,3,50,2,6,1,6,7,2,1,3,0,2,1,1,5,2,1,1,1,0,1,0,0,1,4,1
121,0,2,2,0,0,3,5,5,59,0,0,1,1,0,1,0,3,30,1,6,2,6,8,2,2,1,0,0,2,3,2,2,1,0,0,0,0,0,0,1,3,1
122,0,3,3,0,0,3,5,5,48,0,0,1,1,0,1,0,3,41,2,6,1,6,8,2,1,3,0,0,2,0,2,5,1,1,0,0,1,0,0,2,3,1
123,3,2,2,0,0,2,2,2,41,0,0,1,0,0,0,0,1,31,1,6,1,6,8,2,1,1,0,0,6,0,3,2,1,0,1,0,0,0,0,1,3,1
124,0,0,0,0,1,3,3,2,33,0,0,0,1,0,1,0,2,50,1,6,2,7,5,2,2,3,0,0,1,0,5,2,1,0,0,0,0,0,0,1,3,1
125,0,1,1,0,0,3,2,3,2,0,0,1,1,0,0,0,2,52,1,6,2,6,10,1,1,4,0,0,3,0,2,2,1,0,0,0,0,0,0,1,4,1
128,0,1,1,0,0,3,2,3,80,1,0,0,1,1,1,0,4,38,2,5,1,6,8,1,1,1,0,0,2,0,2,2,1,1,0,0,0,0,0,2,3,1
130,0,2,2,0,0,3,2,2,21,0,0,1,1,0,0,0,2,50,2,5,2,6,8,1,1,2,1,0,1,1,3,2,1,0,0,0,0,0,0,2,1,1
131,1,2,2,0,0,3,3,2,77,1,0,0,0,0,1,0,2,31,2,6,2,6,9,2,2,4,0,0,2,4,2,2,1,1,0,0,0,0,0,2,3,1
132,0,3,3,0,0,3,2,3,21,0,0,1,1,0,1,0,3,50,2,5,1,3,2,1,1,1,0,0,2,0,3,2,1,1,1,0,1,0,0,1,4,2
133,0,3,1,2,0,3,2,3,6,1,0,1,0,0,0,0,2,50,2,6,2,4,8,1,1,3,0,0,3,0,4,2,1,1,1,1,0,0,0,1,1,1
134,8,3,2,0,0,3,2,2,24,1,1,0,0,0,0,0,2,45,2,6,2,6,7,1,1,3,0,0,3,3,2,2,1,1,1,0,0,0,0,1,4,1
135,0,3,3,0,0,4,2,2,11,0,0,0,1,0,0,0,1,32,2,6,1,6,8,1,1,1,0,0,0,2,5,2,1,1,0,1,0,0,0,1,3,1
136,0,3,3,0,0,2,2,2,40,1,1,1,1,0,1,0,5,37,1,5,2,6,12,1,1,2,2,0,2,1,2,2,0,1,0,1,0,0,0,1,3,1
137,0,1,1,0,0,3,1,1,0,0,0,0,0,0,0,1,1,35,1,1,1,1,7,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,1
138,0,2,1,1,0,2,3,2,39,1,0,1,1,1,0,0,4,52,1,5,2,6,7,2,1,5,0,0,3,0,1,3,1,0,0,0,1,0,0,1,3,1
139,0,3,3,0,0,3,2,2,21,0,0,0,1,0,0,0,1,50,2,5,2,6,8,1,1,2,1,2,6,2,3,2,1,1,1,0,0,0,0,2,3,1
140,0,3,2,1,0,3,2,2,44,0,0,1,1,1,1,0,4,53,2,5,2,6,2,1,1,1,0,2,2,1,5,2,1,1,1,0,1,0,0,2,4,2
141,3,3,3,0,0,2,2,2,12,0,0,1,1,0,0,0,2,34,2,7,1,6,10,1,1,4,0,0,3,0,2,2,0,1,0,0,0,0,0,2,3,1
142,0,2,2,0,0,3,2,3,40,0,0,1,1,0,0,0,2,35,2,5,2,6,8,1,1,1,0,2,2,3,3,2,1,1,0,0,0,0,0,1,3,1
144,0,1,1,0,0,3,2,3,79,0,0,1,0,0,1,0,2,36,2,6,1,6,8,1,1,4,0,0,3,2,2,2,1,0,1,0,1,0,0,1,4,1
145,0,2,2,0,0,2,2,2,51,1,1,0,0,0,0,0,2,31,2,6,1,6,7,2,1,2,0,0,1,2,4,2,0,1,1,0,1,1,0,2,3,1
148,0,1,1,0,0,3,2,2,16,0,0,1,1,0,0,0,2,48,1,6,2,6,8,2,2,2,0,1,2,0,2,2,0,1,0,0,0,0,0,1,4,1
149,2,3,3,0,0,3,2,2,8,0,0,0,1,0,0,0,1,45,2,6,2,6,8,1,1,3,0,1,2,1,3,1,0,1,0,0,0,0,0,2,4,1
150,0,1,0,0,0,3,2,2,58,0,0,1,0,0,0,0,1,33,2,5,2,6,8,1,1,2,1,0,2,1,4,1,1,1,0,0,0,0,0,2,3,1
151,0,3,3,0,0,4,2,2,25,0,0,1,1,0,1,0,3,35,2,6,2,7,7,2,1,3,1,0,2,0,2,2,1,1,0,1,1,0,0,1,3,1
152,0,2,2,0,0,2,2,3,76,0,0,0,1,1,0,0,2,62,2,4,2,3,2,1,1,2,0,0,0,2,4,2,0,1,1,1,1,1,0,2,3,1
154,0,3,2,0,0,2,2,2,30,0,0,0,1,0,1,0,2,24,2,7,1,1,8,1,1,2,0,0,3,0,5,2,1,1,1,1,1,1,0,2,3,2
155,0,2,2,0,0,4,3,3,81,0,0,0,1,1,1,0,3,38,2,6,2,6,8,2,1,7,1,0,2,0,4,2,1,1,0,0,0,0,0,1,1,1
156,0,1,1,0,0,3,2,2,38,0,0,1,0,0,0,0,1,51,2,6,2,6,8,1,1,6,0,0,3,1,4,2,0,0,1,0,0,0,0,1,1,2
157,1,3,3,0,0,2,2,1,5,0,0,1,1,1,0,0,3,46,2,6,2,6,8,2,1,3,0,1,2,1,2,1,0,1,0,0,0,0,0,2,4,1
158,3,3,3,0,0,3,2,2,20,0,0,1,1,0,0,0,2,55,2,6,2,6,7,1,1,4,0,0,3,0,4,2,1,1,0,0,0,0,0,2,3,1
159,5,1,0,1,0,2,2,2,20,0,0,0,1,0,1,0,2,48,1,6,2,6,9,2,1,3,0,0,3,0,3,2,1,1,0,0,0,0,0,1,4,1
160,0,3,3,0,0,2,2,2,44,0,0,1,1,1,1,0,4,66,1,4,2,3,3,1,1,2,0,0,0,2,4,2,0,1,1,1,1,1,0,2,3,1
161,0,3,2,1,0,3,2,2,41,0,0,1,1,0,1,0,3,58,2,6,2,6,8,1,1,3,0,0,1,1,5,1,1,1,0,0,0,0,0,2,3,1
162,0,3,3,0,0,2,3,2,62,0,0,1,1,0,1,0,3,36,2,7,2,6,7,1,1,3,1,0,2,2,2,2,1,1,0,0,0,0,0,1,3,1
163,0,3,2,1,0,3,5,5,100,0,0,0,1,1,1,0,3,44,1,6,2,6,8,1,1,6,0,1,2,0,2,2,1,0,1,0,0,0,0,2,1,1
164,0,2,2,0,0,4,2,2,15,0,0,1,1,0,1,0,3,57,2,7,2,6,8,1,1,6,0,0,3,0,5,2,1,0,1,0,0,0,0,1,1,1
165,0,4,3,1,0,3,2,2,0,0,0,1,0,0,0,0,1,50,2,5,2,6,7,1,1,4,0,0,3,0,4,1,1,0,0,0,0,0,0,2,3,1
167,0,1,0,1,0,3,2,2,19,1,1,0,1,0,1,0,4,55,2,6,2,7,8,1,1,2,0,0,2,0,2,1,1,0,0,0,0,0,0,2,4,1
169,0,1,1,0,0,3,2,2,60,0,0,0,1,0,1,0,2,52,1,4,2,6,8,2,2,4,0,0,3,0,2,2,0,1,0,0,0,0,0,1,4,1
170,3,3,3,0,0,3,3,3,41,0,0,1,1,0,1,0,3,48,2,7,2,6,8,1,2,3,0,1,2,2,4,2,1,1,0,0,0,0,0,2,4,1
171,1,3,3,0,0,2,5,5,100,0,0,1,1,0,1,0,3,31,2,6,2,6,8,2,1,2,0,0,2,0,1,2,1,0,1,0,0,0,1,1,3,1
172,2,2,2,0,0,3,2,2,43,0,0,1,0,0,0,0,1,41,2,5,2,6,8,2,2,3,2,1,2,2,3,2,0,1,0,0,0,0,0,1,3,1
173,0,1,1,0,0,3,2,2,41,0,0,1,1,0,1,0,3,47,2,6,1,6,7,2,1,3,0,1,1,0,2,2,0,1,0,0,1,1,0,1,4,1
174,0,3,3,0,0,4,2,3,39,0,0,0,1,0,0,0,1,48,2,6,2,6,8,1,1,3,1,1,2,0,4,2,1,1,0,0,0,0,0,2,4,1
176,0,2,2,0,0,2,2,2,10,0,0,1,0,0,0,0,1,22,1,6,1,5,5,2,1,2,0,0,4,0,2,1,1,1,0,1,0,0,0,1,1,2
