IBGE;MUNIC;ODS;ODS1;ODS2;ODS3;ODS4;ODS5;ODS6;ODS7;ODS8;ODS9;ODS10;ODS11;ODS12;ODS13;ODS14;ODS15;ODS16;ODS17
1200427;Rodrigues Alves;43,11;57,16;63,56;46,09;27,24;45,65;26,10;53,22;37,22;0,37;68,98;75,17;100,00;45,70;0,00;34,93;48,24;3,31
1506351;Santa Bárbara do Pará;38,26;55,50;51,82;59,68;40,35;30,24;40,86;45,60;30,12;1,32;69,34;54,11;100,00;44,44;0,00;0,26;24,31;2,40
1506500;Santa Izabel do Pará;39,89;55,17;41,49;59,49;34,05;19,55;52,63;49,16;33,77;2,57;64,23;52,23;100,00;50,31;0,00;27,34;27,89;8,24
1303700;Santo Antônio do Içá;34,27;56,54;51,16;53,38;16,31;31,74;24,82;24,53;33,61;0,70;70,59;12,28;77,04;70,57;0,00;27,26;28,52;3,56
2111201;São José de Ribamar;43,74;53,47;49,02;58,34;40,95;13,12;47,28;59,69;31,46;3,31;76,48;20,56;100,00;85,12;0,00;56,68;36,37;11,65
1507607;São Miguel do Guamá;36,31;51,69;51,31;65,19;34,72;13,88;38,62;33,92;45,51;2,77;56,55;61,67;51,64;45,07;0,00;27,05;33,73;3,98
1720309;São Sebastião do Tocantins;38,96;46,25;54,09;57,53;32,14;49,15;40,63;38,87;17,32;0,00;80,28;63,60;77,04;44,80;0,00;21,32;38,27;0,97
2111805;Sítio Novo;37,89;52,89;53,62;68,45;26,05;41,12;23,13;7,41;43,33;1,44;70,50;68,25;100,00;32,23;0,00;10,54;35,99;9,24
2111904;Sucupira do Norte;43,70;44,29;54,08;60,09;30,55;59,27;47,53;29,63;34,51;1,31;75,37;74,71;100,00;51,65;0,00;2,27;70,24;7,48
1304062;Tabatinga;38,28;55,35;58,31;51,45;24,49;18,73;28,60;37,99;38,47;4,62;59,37;47,13;100,00;68,17;0,00;27,74;21,43;8,87
1507953;Tailândia;35,95;61,22;51,52;58,70;28,59;5,35;29,76;45,58;17,72;4,41;72,63;70,84;100,00;9,88;0,00;20,89;28,66;5,46
1400704;Uiramutã;36,49;64,84;50,79;40,36;14,58;62,08;9,59;0,00;40,14;0,00;61,67;71,47;100,00;50,55;0,00;21,83;29,72;2,61
1304302;Urucará;40,06;52,52;53,10;63,10;30,96;20,54;50,73;35,46;41,23;0,89;67,08;66,66;48,03;65,40;0,00;43,98;36,19;5,12
2112852;Vila Nova dos Martírios;37,78;58,61;54,88;55,22;25,81;9,49;54,39;41,42;32,32;0,99;80,33;68,71;77,04;20,40;0,00;8,62;42,05;11,96
