IBGE;IPSAMZ21;NHB_21;FBE_21;OP_21;NHB1_21;NHB2_21;NHB3_21;NHB4_21;FBE1_21;FBE2_21;FBE3_21;FBE4_21;OP1_21;OP2_21;OP3_21;OP4_21;NHB11_21;NHB12_21;NHB13_21;NHB14_21;NHB15_21;NHB21_21;NHB22_21;NHB23_21;NHB31_21;NHB32_21;NHB33_21;NHB34_21;NHB41A_21;NHB41B_21;NHB42A_21;NHB42B_21;NHB43_21;FBE11_21;FBE12_21;FBE13_21;FBE14_21;FBE15_21;FBE21_21;FBE22_21;FBE23_21;FBE24_21;FBE31_21;FBE32_21;FBE33_21;FBE34_21;FBE35_21;FBE41_21;FBE42_21;FBE43_21;FBE44_21;FBE45_21;OP11_21;OP12_21;OP13_21;OP14_21;OP21_21;OP22_21;OP23_21;OP24_21;OP31_21;OP31B_21;OP32_21;OP33A_21;OP33B_21;OP41_21;OP42_21
1100114;57,48;68,94;61,49;42,01;94,7;36,8;94,49;49,78;81,26;31,03;80,42;53,25;26,57;72,91;49,07;19,47;5,68;1,93;5,79;173,09;5,57;35,01;1,43;52,2;82,3;99,52;93,81;98,79;32,16;5;27,68;5;32,19;0,3;12,8;23,1;5,4;2,9;34,85;18,11;94,15;3,67;36,7;71,46;115,89;46,35;9,66;5,4;88,72;0,32;26,83;0,74;46,67;5,09;5;0;5;15,78;0,9;22,7;12,12;4;82,17;45,14;3;27,31;18,83
1100122;63,18;72,94;67,44;49,16;93,4;52,49;92,57;53,31;79,14;31,23;80,01;79,38;33,44;79,34;64,06;19,81;13,29;1,55;9,3;91,66;4,71;50,87;19,94;66,63;93,04;98,74;80,77;98;43,33;6;19,64;4;18,09;0,6;12,3;24,8;5,35;4,4;32,62;28,25;65,71;5,17;29,46;76,76;112,43;66,68;5,43;56,93;37,64;0,27;10,67;0,72;58,82;6,38;2;0;7;14,99;1,38;15,99;0,94;2;92,26;43,86;3;28,94;18,48
1100130;58,08;67,83;58,69;47,73;91,9;29,21;87,72;62,5;65,33;10,72;89,12;69,6;33,02;68,66;72,59;16,65;20;2,5;7,5;0;5,96;34,16;2,21;33,71;53,31;94,44;97,37;95,35;19,76;4;18,34;4;23,34;1,4;23,2;36,2;4,75;7,8;16,62;4,94;26,21;1,52;20;22,51;85,02;32,51;5,85;45,78;41,62;5,52;167,38;15,64;72,73;1,88;3;5;4;19;1,95;18;7,09;3;21,38;9,61;2;21,88;16,98
1100148;57,88;63,85;60,17;49,61;85,97;28,58;87,46;53,4;89,5;15,39;81,98;53,79;32,5;68,97;87,39;9,59;34,48;4,88;9,77;0;10,53;25,94;2,68;41,39;42,34;96,37;98,64;98,69;37,78;5;26,05;5;14,65;0,2;9,7;23,1;6,5;1,1;27,28;4,2;40,6;1,27;14,65;83,03;170,95;29,31;4,88;0,01;76,86;0,81;34,51;1,32;55,56;6,69;2;6;2;10,34;4,34;24,52;0;1;33,28;37,58;2;14,26;8,79
1100155;61,53;74,51;55,19;54,89;90,71;55,88;96,52;54,92;73,18;30,58;68,35;48,67;34,55;67,05;99,25;18,69;14,26;2,78;16,65;346,02;5,06;58,2;9,51;70,7;86,46;99,17;98,94;98,59;32,87;5;18,5;4;35,15;0,7;15,7;27,7;5,3;9,3;33,45;16,73;97,1;4,6;41,63;141,53;185,93;77,7;13,88;0;92,61;3,01;80,12;4,78;66,67;4,81;6;0;3;17,43;0,61;20,6;0;1;7,15;0;1;26,47;17,93
1100189;61,78;77,95;59,27;48,12;92,07;68,36;96,2;55,17;78,16;25,4;72,88;60,65;36,15;69,06;64,96;22,3;14,61;2,73;10,91;153,61;5,43;73,59;3,08;86,97;86,37;99,12;98,43;98,08;13,71;4;20;5;30,91;1,3;12,6;24,7;5,35;4;20,42;16,22;90,44;3,17;30,01;122,75;160,94;62,74;16,37;0,99;40;2,31;53,46;6,43;70;4,96;4;0;5;19,48;2,17;30,52;0;1;160,4;76,33;3;31,83;21,25
1100205;63,05;66,52;70,42;52,22;92,34;35,9;91,16;46,69;69,33;57,02;83,58;71,74;34,78;74,78;49,73;49,59;15,17;2,08;12,46;71,12;4,97;35,57;42,57;33,76;90,98;86,2;94,06;92,51;45,95;6;34,68;5;22,28;1,8;18,1;33,5;4,9;5,9;55,37;45,94;142,67;13,36;16,05;77,99;90,46;44,38;8,12;42,49;32,02;11,36;42,48;6,95;66,67;4,97;5;5;7;16,74;5,82;37,99;1,52;2;142,02;152,72;4;75,07;44,7
1100254;58,88;74,03;55,1;47,51;92,09;49,01;93,25;61,78;80,14;23,83;65,6;50,84;32,12;71,66;77,35;8,93;9,87;5,27;15,69;0;5,53;45,17;32,66;59,6;73,52;98,69;95,9;98,97;36,67;5;8,78;3;29,85;0,4;12,3;23,3;5,6;5,8;21,85;14,58;80,46;3,29;94,81;173,81;115,87;57,94;5,27;0;90,94;0,14;47,55;0,48;55,56;6,41;2;0;5;18,42;2,49;17,11;0;1;41,97;52,22;3;13,06;8,32
1100262;56,86;65,28;53,44;51,88;89,65;20,85;79,4;71,21;58,56;18,16;85,47;51,55;26,96;59,79;100;20,76;20;0;26,86;0;4,99;4,75;79,24;17,35;33,8;92,74;81,56;95,53;0;1;44,28;6;0;0,7;21,3;39,5;4,1;13,9;19,1;10,82;53,86;4,82;26,67;79,7;79,7;26,57;0;0;64,67;2,07;213,09;15,25;44,44;6,05;6;4;1;14;53,65;32;0;1;0;0;1;30,29;19,39
1100288;61,54;77,73;58,18;48,71;93,58;62,32;97,08;57,93;82,05;23,54;75,59;51,52;33,13;74,81;65,32;21,57;9,71;1,82;7,27;113,76;6,19;62,35;28,39;75,07;89,19;97,11;99,64;99,69;16,08;4;21,19;5;17,56;0,2;11,2;23,8;5,6;4;20,7;15,5;77,45;3,59;36,33;121,69;154,38;47,22;5,45;0;90,63;0,4;14,07;0,22;66,67;3,79;7;0;6;14,67;0,07;33,23;0;1;156,96;49,83;3;30,91;20,49
1100296;56,54;67,2;53,6;48,82;90,05;36,12;79,55;63,08;84,63;17,56;59,96;52,25;38,41;62,73;78,51;15,64;10,1;15,4;15,18;0;5,3;34,04;3,22;50,92;58,16;54,06;94,65;98,94;19,69;4;15,4;4;20,53;0,1;8;22,9;5,8;4;16,92;7,87;66,69;2,53;46,19;107,78;292,53;123,17;30,79;0;81,6;0,33;68,18;1,61;55,56;10,94;5;0;1;14,14;3,05;32,32;0;1;118,19;22,71;2;22,02;15,09
1100304;62,74;80,08;67,6;40,55;94,02;84,95;96,89;44,46;78,43;29,26;80,3;82,4;35,86;76,4;28,61;21,33;10,06;2,5;7,01;83,3;5,15;96,86;8,77;100;94,64;98,99;95,14;98,21;57,51;6;36,72;5;33,05;0,3;10,9;24,7;5,25;6,1;29,92;23,56;71,05;5,96;24,04;70,1;108,16;57,08;16,02;56,95;16,96;3,12;23,44;3,24;76,92;2,66;4;0;8;14,97;0,55;55,97;13,96;4;277,76;98,92;3;30,37;20,36
1100320;57,5;60,33;62,61;49,56;89,68;9,76;89,65;52,23;76,5;13,74;76,95;83,23;32,26;63,51;89,01;13,47;22,66;4,36;6,53;296,74;6,96;4,66;1,54;18,72;53,43;97,93;97,35;98,95;32,05;5;23,18;5;20,29;0,5;9,1;22,9;4,85;7;10,53;4,94;61,29;2,69;60,86;73,9;169,53;39,12;4,35;67,63;24,63;2,52;56,76;7,37;63,64;4,07;0;0;1;15,01;0,94;22,95;0;1;17,78;30,25;2;19,6;12,61
1100338;54,76;60,09;57,59;46,6;93,63;9,53;85,06;52,15;64,57;14,07;85,99;65,72;36,64;49,19;88,94;11,65;13,89;0;13,08;0;4,01;4,79;22,39;10,13;54,93;89,71;92,03;93,98;34,11;5;33,79;5;20,71;2,6;22,9;34,9;4,7;6,3;14,84;10,16;37,71;2,3;19,62;32,7;81,74;62,13;6,54;52,59;40,58;9,95;346,24;35,1;81,82;1,75;2;0;0;23,15;23,89;55,79;0;1;18,49;4,05;2;16,45;11,22
1100346;62,82;78,8;60,47;49,17;92,93;61,53;91,83;68,92;75,63;17,61;77,53;71,12;31,46;67,46;82,74;15,03;4,88;0;12,42;558,64;5,48;54,06;78,19;63,83;61,88;98,95;98,99;98,59;27,16;5;2,31;2;23,13;0,2;15,7;24,3;5;6,2;26,61;5,95;52,44;1,9;48,57;83,27;124,9;55,51;6,94;37,52;45,41;0,44;52,42;1,35;54,55;6,24;8;8;4;19,02;2,54;26,34;0;1;77,7;30,61;2;21,37;14,36
1100379;56,22;61,99;59,19;47,49;89,93;15;88,58;54,45;67,82;14,8;79,66;74,49;35,62;57,03;87,08;10,23;6,49;0;11,45;581,4;11,16;15,04;1,76;19,96;48,45;97,15;99,01;97,65;57,42;6;15,1;4;12,59;1,2;19,9;27,9;4,95;10,9;17,42;3,44;60,45;1,43;52,87;60,42;90,63;45,31;15,1;46,5;33,91;2,21;90,59;7,39;66,67;5,58;6;0;1;20,78;8,05;36,36;0;1;36,2;10,03;2;14,35;9,89
1100403;53,07;58,57;53,35;47,29;95,05;4,66;87,46;47,11;63,36;14,2;88,94;46,91;33,08;57,18;88,52;10,38;4,42;4,67;4,67;0;5,68;3,96;0,98;6,86;49,98;95,69;94,7;97,97;67,3;6;35,78;5;20,22;0,8;19,5;36,3;4,65;13;17,25;6,48;42,75;4,19;9,33;56;65,34;28;4,67;0;75,61;7,6;247,59;12,08;63,64;4,67;2;0;1;21,68;0;34,07;0;1;22,47;25,23;2;14,19;10,27
1100452;51,69;60,32;58,12;36,62;93,77;6,35;92,64;48,51;76,92;16,61;84,42;54,53;21,36;63,51;50,58;11,05;6,86;5,04;2,52;161,68;6,83;0,82;16,53;8,87;69,62;97,62;98;98,32;51,15;6;34,46;5;13,45;1,2;13,6;30,6;5,25;2,6;17,96;4,5;67,55;2,94;15,13;68,09;118,53;37,83;5,11;15,79;81,71;4,24;102,95;8,55;45,45;1,71;3;5;2;17,67;2,39;26,24;6,67;3;144,49;111,78;3;15,28;10,82
1100502;57,38;65,29;55,48;51,38;91,27;19,89;84,64;65,34;80,82;14,63;75,21;51,27;27,72;64,51;100;13,31;10,53;0;23,42;0;6,59;24,54;13,58;16,92;44,84;97,56;85,67;98,49;48,82;6;3,9;2;15,62;0,2;15,7;24,5;5,85;5;22,35;6,2;39,64;1,04;58,56;81,99;105,41;46,85;23,42;0;88,36;0,38;48,3;0,72;55,56;3,24;5;0;0;8,16;15,49;27,55;0;1;0;0;1;19,44;12,42
1100601;55,82;63,54;53,07;50,84;91,68;10,83;91,66;59,97;70,92;11,78;78,35;51,23;36,29;64,2;87,47;15,4;0;16,16;16,05;0;5,32;10,66;4,39;13,45;60,42;98,95;99,65;98,36;21,67;5;16,05;4;10,7;0,3;16,1;33,9;4,75;7;8,94;5,36;49,35;2,11;16,05;64,21;112,36;96,31;16,05;1,54;75,93;1,18;167,53;8,14;66,67;6,06;5;6;3;18,67;15,91;28;0;1;32,52;21,73;2;21,83;14,77
1100700;54,33;62,31;55,18;45,49;91,1;22,48;85,35;50,32;61,58;12,38;85,98;60,78;27,03;67,49;74,43;13,03;12,05;7,07;7,14;574,71;4,97;24,4;3,93;27,27;32,94;97,73;98,9;96,35;46,23;6;21,22;5;4,72;2,2;23,6;37,6;4,85;11,1;24,17;3,18;27,4;1,71;7,07;56,58;120,23;21,22;14,15;24,22;60,22;2,42;169,95;6,87;44,44;6,1;4;4;3;15,66;2,59;25,9;0;1;69,92;54,27;3;18,18;12,66
1100809;57,54;66,18;57,12;49,32;88,25;51,29;79,81;45,36;55,51;20,27;83,5;69,19;29,23;61,48;96,99;9,59;23,74;3,75;18,73;296,74;5,52;45,96;74,69;48,59;60,44;83,01;84,53;85,17;57,72;6;31,22;5;28,72;2;28,8;43,6;4,4;12;24,54;10,64;55,68;6,82;18,73;52,45;101,15;71,18;3,75;57,52;35,76;13,09;261,6;29,21;63,64;1,9;2;0;3;20,77;0,92;43,32;0;1;28,74;0;1;14,12;8,88
1100908;56,15;69,64;51,17;47,66;83,09;35,41;84,08;75,96;72,04;13,31;69;50,32;37,63;67,79;66;19,2;54,55;0;32,77;0;2,71;41,11;49,91;23,39;43,18;98,45;84,46;98,1;0;1;10,92;4;32,77;0,2;14,1;37,5;4,6;4,3;13,76;4,72;53,28;1,31;98,3;119,2;65,53;32,77;32,3;0;81,68;0,68;150,2;3,68;66,67;7,03;12;0;2;9,38;6,17;37,5;0;1;150,44;111,26;3;26,21;19
1100924;59,52;69,98;56,96;51,61;88,74;65,72;80,56;44,92;64,35;12,52;88,31;62,66;34,84;55,44;100;16,16;12,35;8,94;17,89;591,72;5,03;67,94;25,47;78,36;66,92;91,61;70,18;89,75;87,56;6;53,66;6;2,98;2,4;15,9;40,7;4,6;7,7;5,01;8,53;53,67;1,94;8,94;35,77;71,54;44,71;8,94;23,01;52,87;1,37;144,05;10,29;55,56;8,37;2;0;2;22,22;15,74;54,94;0;1;0;0;1;23,25;15,29
1100940;52,56;58,57;57,54;41,57;92,63;7,47;72,81;61,36;58,47;9,1;94,11;68,46;28,67;55,92;76,27;5,42;11,71;3,97;3,97;478,47;5,08;5,77;11,77;7,79;59,76;87,18;45,23;94,34;24,89;5;10,58;4;3,97;2,4;22,2;33,3;4,15;12,2;10,06;2,15;36,99;2,01;7,93;19,83;63,45;3,97;3,97;66,97;55,59;13,33;217,07;33,3;63,64;1,49;2;3;0;20;4,22;32,2;0;1;52,27;43,89;3;7,69;5,2
1101005;52,58;56,91;58,51;42,32;81,34;5,5;82,79;58,01;71,2;13,33;68,19;81,32;25,65;57,79;67,89;17,96;17,86;25,75;38,62;0;7,39;0,24;6,22;11,27;30,28;98,43;89,04;97,82;15,66;4;21,46;5;17,17;1,7;18,3;27,9;5;6,2;9,21;6,85;53,55;3,75;51,5;90,12;244,62;64,37;25,75;66,75;27,1;1,12;126,1;10,75;44,44;5,1;5;5;1;23,21;6,16;18,75;2,98;3;66,29;17,32;2;24,98;17,51
1101104;58,78;66,45;63,13;46,77;93,7;37,88;86,88;47,34;64,06;21,08;86,74;80,63;33,27;59,01;83,75;11,04;14,4;0;9,56;0;4,88;11,1;43,19;66,7;75,6;94,64;77,8;95,98;61,75;6;22,31;5;19,12;3,2;19,2;35,3;4,45;5,5;21,22;12,58;63,47;6,44;12,81;57,37;66,93;38,25;9,56;66,93;24,34;4,5;128,63;14;55,56;7,24;3;5;2;21,1;3,37;40,37;0;1;68,1;12,03;2;15,11;10,9
1101203;57,05;64,18;55,97;51;91,74;24,88;90,23;49,86;83,86;9,93;78,87;51,21;17,54;71,25;100;15,2;21,74;0;10,3;0;5,74;28,5;1,07;29,7;51,61;98,98;99,37;99,37;40,46;6;31,06;5;6,9;0,7;11,7;18,7;5,65;2,3;9,21;4,15;40,05;1,01;31,06;72,46;134,58;62,11;10,35;0;89,08;0,38;39,21;2,72;33,33;2,62;2;0;1;7,14;1,13;8,33;0;1;0;0;1;21,33;14,7
1101302;55,44;62,43;57,47;46,43;91,86;20,69;87,76;49,4;72,23;16,58;73,9;67,17;29,38;64,54;78,81;12,98;6,1;0;27,4;0;5,77;19,89;10,31;25,53;62,66;95,03;98,72;88,02;58,46;6;39,58;5;9,13;0,1;18,4;28,4;5;8,3;10,08;7,07;78,43;1,52;54,81;73,08;100,48;109,62;9,13;34,7;55,37;2,96;49,74;7,03;55,56;4,44;3;0;1;13,41;16,46;17,07;0;1;115,29;40,61;2;19,37;11,88
1101401;50,08;62,62;51,67;35,95;91,86;26,12;87,82;44,66;68,9;13,25;71,91;52,6;32,93;65,67;32,2;12,99;15,08;6,31;12,62;0;4,52;28,58;0,05;33,13;47,22;92,33;99,75;98,97;65,63;6;42,06;6;4,21;1;22,1;26,1;4,55;6,6;10,45;5,14;56,35;3,28;37,85;164,02;94,63;75,7;6,31;5,33;77,64;2,79;114,31;7,37;55,56;7;2;4;3;17,09;0,21;32,66;22,22;5;166,78;78;3;17,73;12,87
1101435;54,89;68,43;51,77;44,47;89,28;21,73;81,09;81,63;68,04;12,29;78,33;48,42;31,68;63,58;72,39;10,22;9,62;14,11;23,54;0;4,75;15,33;44,33;20,56;29,3;96;85,01;98,3;17,62;4;0;1;14,35;1,5;21,1;31,6;4,9;7,6;14,67;3,64;47,86;0,64;14,35;71,74;157,82;43,04;28,69;0;90,07;4,45;77,76;12,18;55,56;6,09;1;0;0;12,5;6,14;15,38;0;1;89,34;59,81;3;14,06;10,04
1101450;54,41;65,83;53,78;43,6;86,47;31,97;88,99;55,91;68,13;12,85;74,24;59,92;25,96;54,46;83,11;10,88;38,48;0;16,82;0;7,66;40,84;14,16;28,48;53,25;97,22;98,49;96,4;65,18;6;16,46;4;5,49;0,7;16,1;27,7;4,6;11,1;22,83;2,48;37,93;0,43;143,25;16,46;82,32;33,04;16,46;6,98;46,81;1,73;120,03;4,03;44,44;5,32;2;0;0;15,91;47,2;45,45;0;1;74,21;22,19;2;16,63;9,71
1101468;60,42;71,54;55,12;54,59;88,69;53,75;86,69;57,05;70,97;18;70,7;60,83;41,97;52,85;93,41;30,12;48,64;0;0;0;4,89;67,63;5,91;55,83;75,17;92,24;82,93;92,9;60,94;6;15,37;4;0;0,9;17,2;30,4;4,7;5,9;14,31;10,72;64,83;3,89;46,1;92,21;46,1;92,21;45,64;32,87;21,61;1,22;364,99;147,58;55,56;13,5;2;5;1;20;21,44;65;0;1;62,95;0;1;42,42;29,05
1101476;58,95;79,11;51,97;45,77;73,13;52,77;90,55;100;78,49;16,23;58,66;54,49;25,42;69,17;59,96;28,53;46,51;34,03;49,2;0;5,55;66,22;11,13;53,01;75,27;98,54;85,77;98,14;0;1;0;1;0;0,5;10,5;32,3;5,45;4,4;13,69;9,22;60,38;1,8;48,03;175,07;280,11;140,06;0;0;69,69;0,42;76,66;2,45;33,33;8,29;2;0;2;9,3;16,35;23,26;0;1;208,15;52,91;3;38,17;28,71
1101484;57,34;70,98;49,24;51,81;87,91;22,9;85,96;87,15;75,25;6,84;63,62;51,25;33,91;60,84;98,7;13,79;37,04;0;19,33;0;4,41;29,09;1,15;23,99;38,64;96,26;95,57;98,89;0;1;6,44;3;6,44;1,1;14,2;27,2;5;4,3;10,24;5,89;8,36;1,22;58;135,34;251,35;58;28,61;0;89,12;0,12;45,03;0,99;55,56;7,7;5;0;1;16,67;1,5;33,33;0;1;12,43;0;1;19,33;13,34
1101492;55,51;58,3;65,3;42,94;92,95;4,38;89;46,87;83,01;12,79;83,93;81,45;33,58;62,64;63,45;12,08;13,2;4,93;4,93;0;6,3;0,35;12,6;5,92;56,86;97,4;95,56;96,67;49,81;6;21,38;5;21,38;0,3;12,4;22,5;5,4;0,9;12,64;4,05;53,37;1,81;24,67;59,21;88,82;54,28;4,93;67,65;23,37;2,77;130,87;16,3;63,64;5,03;11;10;1;15,51;5,22;24,75;0;1;174,86;71,47;3;16,18;12,14
1101500;59,24;62,46;62,04;53,22;87,97;18,74;86,74;56,38;77,99;16,41;82,84;70,91;35,72;63,08;99,4;14,67;11,9;14,06;8,43;1190,48;3,75;16,53;8,41;25,18;43,1;94,45;99,08;96,94;20,68;5;19,68;4;28,12;0,5;14,6;20,4;5;4,2;21,55;4,64;59,72;1,28;25,3;42,17;193,99;8,43;16,87;45,15;36,67;6,94;95,19;27,26;66,67;5,65;6;5;2;20,24;0,36;16,67;0;1;5,7;0;1;20,75;14,09
1101559;57,02;66,38;51,63;53,03;84,42;13,59;89,67;77,86;75,42;13,43;68,12;49,55;26,11;64,42;100;21,59;46,88;0;22,94;0;6,43;11,2;19,46;14,11;48,18;99,16;99,3;99,58;29,19;5;0;1;7,74;0,4;18,2;23,1;5,25;7;7,17;7,69;57,42;2,78;46,43;139,28;255,34;23,21;23,21;0;95,65;0,15;60,97;0,94;44,44;5,43;8;4;1;15,63;2,15;12,5;0;1;0;0;1;28,32;22,05
1101609;55,03;61,85;53,93;49,31;89,16;11,69;79,28;67,28;72,88;10,85;80,18;51,83;27,36;63,16;88,81;17,9;14,09;9,57;19,15;0;6,75;9,83;11,83;13,77;27,1;98,42;78,89;97,32;39,68;5;6,38;3;3,19;1,3;14,9;35,3;5,45;7;11,65;3,94;36,36;5,54;47,87;57,45;76,6;67,02;9,57;0;80,32;0,73;89,08;4,14;55,56;2,98;3;0;2;18,56;3,34;23,71;0;1;19,73;13,4;2;23,65;18,19
1101708;59,02;72,85;54,99;49,2;91,16;26,14;90,45;83,68;74,24;16,2;77,01;52,52;44,38;65,09;75,64;11,7;23,53;0;8,72;0;6,76;27,29;0,05;34,65;52,53;99,67;98,43;99,81;0;1;8,72;3;23,26;0,2;18,6;23,6;5,05;7,3;12,82;6,04;72,42;1,8;34,88;78,49;113,37;69,77;17,22;0;82,83;0,32;40,09;2,75;66,67;11,89;8;5;2;13,53;58,59;11,76;0;1;58,33;93,93;3;16,39;11,34
1101757;56,33;62,08;59,26;47,65;91,01;10,1;86,24;60,95;66,84;12,05;84,72;73,42;28,22;64,95;86,96;10,45;10,75;8,93;17,08;0;5,29;12,07;0,5;11,44;45,22;91,3;98,77;96,69;24,64;5;11,9;4;5,95;1,3;22,7;31,4;4,8;8,3;14,42;2,96;46,68;2,29;17,85;89,25;35,7;26,78;15,7;47,79;41,07;1,97;94,44;6,5;55,56;3,6;4;0;1;12,9;8,17;20,43;0;1;37,39;12,6;2;14,55;10,17
1101807;54,24;61,06;50,19;51,47;85,14;5,6;88,18;65,3;68,58;17;66,14;49,04;29,06;58,16;100;18,64;37,04;0;29,12;0;6,7;1,83;4,14;10,48;48,55;96,19;97,39;98,45;18,52;4;14,65;4;9,77;1,1;20,9;32,9;4,8;6,7;20,63;6,21;60,53;1,77;38,47;146,52;278,39;58,61;14,65;0;91,12;0,76;113,43;4,51;55,56;4,21;3;4;1;22,22;4,05;22,22;0;1;0;0;1;25,93;18,17
