IBGE;IPSAMZ21;NHB_21;FBE_21;OP_21;NHB1_21;NHB2_21;NHB3_21;NHB4_21;FBE1_21;FBE2_21;FBE3_21;FBE4_21;OP1_21;OP2_21;OP3_21;OP4_21;NHB11_21;NHB12_21;NHB13_21;NHB14_21;NHB15_21;NHB21_21;NHB22_21;NHB23_21;NHB31_21;NHB32_21;NHB33_21;NHB34_21;NHB41A_21;NHB41B_21;NHB42A_21;NHB42B_21;NHB43_21;FBE11_21;FBE12_21;FBE13_21;FBE14_21;FBE15_21;FBE21_21;FBE22_21;FBE23_21;FBE24_21;FBE31_21;FBE32_21;FBE33_21;FBE34_21;FBE35_21;FBE41_21;FBE42_21;FBE43_21;FBE44_21;FBE45_21;OP11_21;OP12_21;OP13_21;OP14_21;OP21_21;OP22_21;OP23_21;OP24_21;OP31_21;OP31B_21;OP32_21;OP33A_21;OP33B_21;OP41_21;OP42_21
1100015;55,16;66,63;58,29;40,56;94,36;30,79;88,56;52,82;75,82;12,81;71,85;72,68;31,8;67,66;44,67;18,13;10,9;4,36;4,36;0;4,79;24,56;4,87;47,75;57,54;94,61;96,06;96,5;34,32;5;27,6;5;17,43;1,6;16,2;27,6;5,45;4,4;15,03;7,13;38;1,91;43,58;95,88;148,18;78,45;21,79;42,22;33,54;2,92;93,68;14,34;60;4,84;12;0;3;14,99;4,95;27,25;1,34;2;277,68;109,74;3;25,63;17,43
1100023;57,01;68,83;60,03;42,17;92,5;47,76;94,62;40,42;73,99;31,53;80,48;54,11;29,57;76,37;46,64;16,11;13,3;0,93;11,13;57,84;6,42;43,75;6,17;68,07;90,85;98,56;92,69;95,66;73,75;6;40,48;6;24,72;1;14,3;27,7;5,15;7,1;37,88;20,05;83,22;4,92;25,96;84,37;114,03;47,28;10,2;0;74,38;1,75;27,87;1,84;61,54;2,78;5;0;8;19,32;2,18;32,39;3,44;3;182,14;101,71;3;22,87;15,43
1100031;58,1;65,49;54,01;54,8;89,4;39,34;92,88;40,35;78,14;16,05;69,13;52,73;38,31;62,57;98,72;19,63;25;0;18,83;0;6,3;40,53;26,92;42,66;67,61;98,76;99,65;98,05;135,61;6;43,93;6;25,1;0,2;9,9;17,5;4,85;7;6,71;9;74,15;2,7;18,83;56,48;188,25;169,43;20,58;0,08;75,69;0,89;91,19;4,05;66,67;7,52;5;0;3;17,5;23,98;42,5;0;1;12,27;0;1;27,48;19,01
1100049;63,69;76,33;62,9;51,84;94,28;76,68;95,27;39,08;84,47;31,19;71,96;63,98;42,25;80,71;61,43;22,97;8,73;4,69;5,86;75,18;4,64;81,19;57,3;78,81;85,43;99,51;94,48;98,83;27,55;5;30,07;5;83,96;0,3;7,8;19,8;5,55;3,2;38,07;18,49;86,39;4,07;46,86;137,07;155,81;56,23;8,2;25,67;66,24;0,63;17,47;0,83;83,33;5,33;6;8;7;12,66;2,08;18,05;2,27;2;117,44;53,08;3;33,13;21,68
1100056;61,79;71,92;64,57;48,88;89,82;44,29;97,31;56,28;82,78;28,01;71,65;75,82;37,32;63,86;79,64;14,69;25,32;6,59;6,13;380,23;4,22;36,43;14,02;64,76;89,38;98,66;99,84;98,94;32,08;5;16,34;4;28,59;0,4;12,7;22,3;5,85;4,1;25,31;18,95;88,63;4,61;49,01;104,15;177,66;79,64;8,14;40,68;29,32;0,35;24,99;5,12;77,78;3,46;7;3;3;11,39;90,71;35,86;0;1;20,08;48,49;3;21,14;13,91
1100064;62,94;76,33;58,49;54;92,8;65,25;83,85;63,42;83,42;24,92;72,89;52,71;35,98;63,25;100;16,76;4,67;0;15,15;467,29;5,5;77,18;7,08;73,46;86,41;99,42;58,19;93,09;17,79;4;10,49;4;18,89;0,3;10;17,4;5,7;5,5;13,67;16,84;100,03;3,04;62,96;81,85;113,34;75,56;18,89;0;82,41;0,26;41,88;0,26;63,64;6,76;2;4;2;14,49;14,48;39,72;0;1;0;0;1;23,04;16,5
1100072;54,83;62,73;56,02;45,75;90,17;22,08;78,35;60,32;76,51;13,91;78,83;54,85;25,3;59,65;77,83;20,2;7,87;13,53;19,98;0;5,11;16,61;19,42;29,37;44,82;92,31;71,24;94,76;31,75;5;18,04;4;9,02;1,2;17,2;24,3;5,45;5,1;7,43;8,86;57,37;2,22;67,65;54,12;135,3;27,06;11,72;9,07;70,92;0,66;152,04;10,66;44,44;4,85;8;0;2;18,9;5,45;46,46;0;1;37,38;63,55;3;30,71;18,13
1100080;54,27;66,88;56,99;38,92;91,84;22,76;86,49;66,44;62,12;9,11;86,99;69,75;25,87;51,31;71,1;7,41;30,04;0;5,46;0;3,9;13,88;66,62;16,43;59,68;89,79;98,44;89,99;20,37;5;7,27;3;7,27;1,3;23,4;33,2;4,7;13,1;7,39;3,81;37,8;1,92;21,82;54,55;54,55;16,37;16,77;39,09;37,9;5,75;112,11;10,11;55,56;1,92;6;4;1;30,04;1,31;31,76;0;1;189;25,35;2;10,42;7,15
1100098;61,5;67,85;62,12;54,54;91,92;36,33;83,09;60,06;82,93;13,6;82,95;69,01;33,69;69,86;99,56;15,03;22,22;6,18;3,09;210,08;3,52;36,05;5,62;48,25;74,27;97,23;62,61;95,87;20,35;5;16,47;4;10,3;0,6;11,2;20,8;5,65;3,3;15,09;8,74;39,91;0,95;15,44;71,04;108,11;55,6;6,19;31,06;46,7;0,79;39,39;3,3;63,64;5,11;3;0;5;19,11;12,67;22;0;1;4,18;0;1;21,19;14,49
1100106;59,46;70,81;65,77;41,79;90,12;43,34;88,35;61,44;66,46;21,66;81,31;93,65;33,68;52,6;70,39;10,5;14,08;8,66;17,33;128,04;4,95;34,01;73,86;42,57;78,15;89,07;95,44;87,83;27,05;5;15,16;4;3,61;1,7;21,1;37,5;4,75;6,1;14,18;17,74;66,26;6,9;25,99;71,47;88,79;60,64;10,83;90,5;6,29;4,39;33,45;7,37;76,92;1,1;7;8;2;22,28;4;80,54;0,22;2;119,05;33,96;2;14,88;10,07
