METRO;CAPITAL;IPS;VAB21;PIB21;PIBPC21;ATV;POP21;ARREC23;DEMA;DESMAR;MORTR;MORTI;MORT;MORTINF;HOSP;SUBN;AGUA;ESG;IAGUA;PAGUA;COLETA;LUZ;PAREDE;PISO;ASSJ;ASSM;MORTAT;HOMI;ABNEF;ABNEM;EVSEM;DSTIEM;IDEBF;REPM;INTER;BANDA;TELM;QINTM;EXPVIDA;MRT1550;MRTCRN;OBS;SUI;VERDE;CO2;CALOR;VUNEC;VEG;DIRH;JUS;CULT;GRAV19;PARQUE;TRABI;VMULHER;ESUP;ENEM;FBE14;AG;PEC
0;0;49,28;837404,63;890320,4;21338,33;ADM;41724;35599443,07;43,11;4,64;22,02;0,51;138,62;28,11;867,61;5,19;35,43;1,74;31,47;61,65;52,45;79,29;96,26;96,06;47,89;2,17;48,85;55,36;2,4;12,5;11,7;29;4,6;3,7;50,04;11,3;64,58;74,99;70,32;2,81;462,58;22,28;16,28;1,09;120,46;211,68;51,3;35,12;3;0,78;3;15,86;0,39;1,91;61,26;42,67;510,81;4,7;0;0
0;0;54,49;509992,52;548734,37;26762,31;ADM;20504;28016785,73;77,11;0,62;48,81;4,88;154,57;16,95;1214,4;5,43;27,49;2,2;33,95;36,27;43,28;93,39;97,04;98,85;40,52;13,04;25,51;51,02;0,04;6,8;7,4;14,5;5,85;4,5;55,24;19,09;69,57;94,96;70,75;3,01;347;21,22;12,76;5,67;35,75;19,13;54,29;47,45;2;1,06;3;15,25;6,05;2,13;13,04;31,18;504,79;5,85;0;0
0;0;56,58;888942,3;985867,8;27814,02;ADM;35445;79607184,73;93,15;1,02;67,16;2,8;132,14;5,64;1190,58;4,73;56,02;7,42;74,3;41,02;84,13;86,64;96,21;98,32;60,5;5,61;31,39;28,54;0,6;6,9;11,2;17,9;5,3;5,1;79,53;13,94;91,48;96,51;73,72;2,6;338,27;24,89;5,71;2,39;50,21;11,98;52,89;33,58;6;1,04;3;13,35;6,52;1,76;106,66;37,99;535,87;5,3;0;0
0;0;58,35;1336683,4;1642516,48;44275,07;SERV;37098;358535671,5;40,78;2,57;24,4;2,73;178,38;22,15;2231,93;4,83;75,23;2,76;86,98;60,64;87,03;98,29;94,6;98,08;31,93;17,14;14,25;22,81;1,1;9,4;6,2;20,1;5,4;8,4;87,63;14,11;86,55;95,64;73,15;1,9;554,36;25,03;5,7;3,7;66,6;39,43;53,04;28,05;4;1,26;6;13,12;1,18;1,82;125,69;56,7;515,43;5,4;0;0
1;1;57,1;17208124,19;20059521,86;36541,49;SERV;548952;3762257858;35,46;13,4;40,05;0,93;168,3;15,37;794,06;4,28;38,71;44,77;26,05;77,21;82,97;87,24;84,2;94,42;66,27;6,41;29,32;46,7;1,5;7,3;8,9;23,2;4,9;9,3;90,2;33,22;92,4;96,33;74,14;2,6;461,94;27,86;8,47;4,77;44,01;96,96;62,79;26,45;5;1,03;8;13,5;2,32;0,52;202,98;162,85;537,5;4,9;0;0
0;0;54,85;508507,83;559989,53;30827,94;PEC;18165;65185674,04;91,03;0,15;53,85;5,27;153,64;10,2;963,39;5,03;46,64;27,28;59,6;47,91;69,17;94,67;87,58;98,94;77,3;10,34;25,87;20,7;0,28;0,5;6,8;10,2;5,35;6;61,9;22,18;77,01;93,19;72,51;2,33;418,32;24,45;20,7;0,18;42,7;9,31;49,08;34,74;2;1;6;13,95;0,51;3,61;113,72;28,14;507,47;5,35;0;1
0;0;49,83;178232,54;184430,17;47991,2;AGR;3843;6533067,94;65,41;1,66;26,29;0;74,83;28,57;936,77;5,27;5,65;46,85;16,78;44,79;38,29;91,28;87,4;98,06;53,98;10,86;86,43;40,33;0,8;5;10,2;23,9;4,1;2,2;43,07;5,74;56,4;97,35;73,77;0,56;398,7;25,82;28,81;1,44;257,28;216,08;53,71;42,33;6;1,09;4;17,14;0;0;369,69;61,29;518,05;4,1;1;0
0;0;58,93;1384194,21;1565193,98;28076,24;ADM;55748;132064230,8;90,85;0,31;39,71;1,81;162,71;13,17;936,36;5,17;64,07;26,74;81,8;32,34;89,01;91,47;96,61;99,68;28,76;3,5;19,5;42,55;0,2;4,1;7,1;15,3;5,5;2,5;86,12;11,28;75,23;95,25;73,46;2,48;404,07;23,53;14,18;2,03;13,91;1,24;49,43;36,47;7;1;4;10,42;0,91;1,13;168,03;52,99;536,31;5,5;0;0
0;0;51,31;204852,91;213556;35940,09;PEC;5942;9898276,53;81,7;0,21;32,18;16,09;89,11;13,7;3096,6;5,46;36,31;2,36;50,93;41,05;57;52,46;92,74;98,85;28,76;12,25;67,39;13,48;0,1;0,16;8,1;9,3;5,75;0,5;64,76;3,4;56,92;95,85;73,73;3,38;368,51;22,94;8,09;1,02;70,81;9,44;56,25;44,03;5;0,87;1;15,07;0;3,9;352,59;36,97;529,16;5,75;0;1
0;0;59,11;3533219,94;4215045,76;40328,81;COM;104517;601198937,1;17,24;2,57;48,92;2,94;206,7;17,68;1057,24;4,2;95,83;5,39;95,65;67,06;94,28;98,53;88,68;98,74;55,69;10,27;34,44;40,7;0,5;9,7;8,4;21,6;5,3;10,8;95,14;25,77;91,22;94,99;73,49;2,26;475,97;26,08;11,48;3,47;21,94;12,63;44,88;12,8;4;1,04;8;13,49;1,91;0,7;260,96;58,88;542,48;5,3;0;0
