Column1;AGE;GENDER;STATE;EDUC;MARRIED;JOB;INC;PEOPLE;PINC;CEREAL;ROOT;VEGAN;FRUITS;MEAT;EGGS;MILK;OIL;SUGAR;WELL;CWELL;PWELL;ORG;CORG;PORG;GARDEN;CGARDEN;PGARDEN;VEG;CVEG;PVEG;GARDV1;GARDV2;GARDV3;GARDV4;GARDV5;NGARD;FGARD;INDEXV;INDEXN;VEGROOT;MEETEGG;DEPRATIO
228;500;10;PB;160;10;10;25000;10;0;50;60;50;70;40;70;50;60;50;50;40;30;50;40;30;50;40;20;30;10;10;10;10;0;0;0;0;20;970;3;70;70;10
229;490;10;BA;160;0;10;25000;50;30;70;20;70;30;30;30;30;30;70;40;50;40;50;50;30;50;20;20;40;20;30;10;10;0;0;10;0;30;825;3;70;60;4
230;550;10;RS;110;10;10;65000;20;20;40;10;40;70;50;70;10;50;70;10;40;30;40;40;20;40;40;20;20;10;10;10;10;10;10;10;0;50;860;3;50;70;0
231;400;10;RJ;160;10;0;45000;20;0;70;30;50;0;40;70;0;30;70;60;20;50;40;40;10;30;40;50;20;10;30;10;10;0;0;10;0;30;795;3;70;70;10
232;330;10;PR;160;0;10;25000;30;20;70;30;70;40;40;70;70;0;70;30;10;20;10;20;20;20;50;50;10;10;20;10;10;0;0;0;0;20;760;3;70;70;3,33333E+15
233;350;10;RS;160;10;10;15000;10;0;30;10;20;70;30;30;0;30;0;30;30;40;30;40;50;30;30;50;30;20;20;10;10;0;10;10;0;40;495;3;40;30;10
234;500;10;BA;160;0;10;25000;20;20;30;50;70;70;70;70;70;30;20;20;40;50;50;40;30;50;10;10;20;10;30;10;0;0;0;0;0;10;910;3;70;70;0
235;640;10;RJ;120;10;0;45000;40;30;70;70;50;40;50;50;50;70;70;40;20;30;40;40;30;40;50;50;40;20;40;10;0;0;10;0;0;20;995;3;70;70;25
236;570;10;SP;90;0;10;25000;30;20;70;30;40;70;70;30;60;50;70;70;40;40;10;20;40;40;50;40;10;10;10;0;0;0;10;10;0;20;950;3;70;70;3,33333E+15
237;600;10;RJ;120;10;0;25000;20;20;20;10;30;70;70;20;70;0;20;20;50;20;40;50;30;40;40;20;30;10;10;10;0;0;0;10;0;20;590;3;30;70;0
238;650;10;MG;160;10;0;15000;10;0;70;10;0;20;30;50;40;70;70;70;50;40;30;20;30;30;10;30;30;20;30;10;0;0;0;0;0;10;820;3;70;70;10
239;590;10;GO;140;10;10;25000;30;30;70;40;70;70;50;70;20;70;70;40;20;10;40;40;20;50;20;40;30;20;50;10;10;0;0;10;0;30;1085;3;70;70;0
240;200;10;CE;140;10;10;15000;40;10;70;10;60;30;20;0;50;70;70;70;50;50;50;30;10;20;50;40;50;30;40;10;10;0;0;10;0;30;920;3;70;50;75
242;530;10;DF;160;10;0;25000;20;10;40;20;10;20;40;30;0;40;40;20;40;10;20;40;20;20;40;30;30;10;20;10;10;0;10;10;0;40;520;3;60;30;5
243;370;10;CE;110;0;0;15000;40;10;50;0;0;0;20;0;70;10;20;0;30;30;50;50;40;50;20;50;10;10;10;10;10;0;0;10;0;30;450;3;50;70;75
244;620;10;SC;50;0;0;15000;20;20;70;40;30;70;30;60;20;60;70;70;50;10;50;30;20;30;40;50;20;20;10;10;10;0;0;10;0;30;920;3;70;70;0
245;650;10;SP;50;10;0;15000;30;30;40;50;40;40;20;40;70;0;20;0;20;30;30;40;20;20;40;40;40;10;10;10;10;0;0;10;0;30;610;3;70;70;0
246;600;10;BA;180;0;0;45000;20;20;70;40;50;60;70;40;70;70;70;70;20;30;40;40;30;40;50;50;50;20;40;10;0;0;0;10;0;20;1050;3;70;70;0
247;460;10;PR;160;10;10;25000;30;20;70;40;70;70;70;30;30;40;70;70;20;40;30;40;20;40;20;40;40;20;40;10;0;0;0;10;0;20;960;3;70;60;3,33333E+15
248;570;10;SP;120;0;10;25000;20;20;70;30;70;50;40;60;70;0;70;70;40;30;20;20;10;30;10;40;10;10;10;10;0;0;0;10;0;20;790;3;70;70;0
249;660;10;SP;160;10;0;25000;10;10;70;70;70;70;50;70;50;70;70;70;50;50;50;50;30;50;50;40;40;30;40;10;10;0;10;10;0;40;1100;3;70;70;0
250;510;10;BA;160;10;10;45000;30;0;70;10;40;10;10;40;70;30;40;40;30;30;30;30;20;30;40;30;30;30;30;10;0;0;0;0;0;10;720;3;70;70;10
251;450;10;MG;50;10;10;25000;10;10;70;70;70;60;40;40;30;30;30;50;30;30;40;40;20;30;20;30;40;10;30;10;0;0;10;0;0;20;890;3;70;70;0
252;450;10;RN;160;10;10;80000;30;30;70;70;30;70;70;70;70;30;0;40;10;10;50;30;20;50;10;40;40;20;30;10;10;0;10;0;0;30;790;3;70;70;0
253;510;10;SC;160;0;10;80000;40;30;70;20;40;50;50;40;40;70;30;40;40;20;50;40;20;50;40;50;40;20;30;10;0;0;0;0;0;10;955;3;70;70;25
