IBGE;IPSAMZ14;NHB;FBE;OP;NHB1;NHB2;NHB3;NHB4;FBE1;FBE2;FBE3;FBE4;OP1;OP2;OP3;OP4;NHB11;NHB12;NHB13;NHB14;NHB15;NHB21;NHB22;NHB23;NHB31;NHB32;NHB33;NHB34;NHB41A;NHB41B;NHB42A;NHB42B;NHB43;FBE11;FBE12;FBE13;FBE14;FBE15;FBE21;FBE22;FBE23;FBE24;FBE31;FBE32;FBE33;FBE34;FBE35;FBE41;FBE42;FBE43;FBE44;FBE45;OP11;OP12;OP13;OP14;OP21;OP22;OP23;OP24;OP31;OP31B;OP32;OP33A;OP33B;OP41;OP42
5106851;61,40;69,74;56,40;58,05;84,57;47,77;68,51;78,09;75,76;15,21;67,27;67,36;52,23;63,09;100,00;16,88;58,82;0,00;0,00;47,11;2,08;67,77;18,50;85,10;52,51;85,42;70,96;62,41;0,00;1,00;10,93;4,00;0,00;0,40;5,30;50,70;4,15;0,70;8,87;10,95;58,71;6,55;65,57;65,57;295,08;65,57;0,00;13,85;18,56;0,07;157,38;12,22;66,67;3,99;2,00;1,00;1,00;26,47;6,21;11,76;0,00;1,00;0,00;0,00;1,00;24,27;15,98
5107008;58,19;63,25;56,85;54,46;88,05;54,24;85,41;25,32;80,08;16,19;65,48;65,68;43,41;63,41;100,00;11,01;7,94;0,00;17,62;30,45;5,93;81,28;49,23;86,13;77,10;93,64;90,89;79,45;84,61;6,00;49,70;6,00;59,37;0,60;7,80;33,10;4,95;0,70;8,82;16,57;55,14;5,21;24,36;85,26;261,86;109,62;6,09;8,04;27,01;0,06;74,02;7,57;72,73;4,08;4,00;7,00;3,00;25,00;196,09;34,92;0,00;1,00;0,00;0,00;1,00;16,61;9,95
5107040;64,86;68,48;70,85;55,26;92,80;59,70;91,71;29,71;80,84;50,10;81,98;70,45;19,53;81,43;89,50;30,59;17,95;0,91;3,71;13,11;4,49;81,61;66,07;100,00;95,31;98,87;98,67;77,75;110,34;6,00;63,37;6,00;33,01;0,20;7,20;25,10;4,85;6,00;32,77;59,35;111,92;27,16;26,21;75,36;86,83;37,68;1,64;0,01;0,01;0,00;14,70;0,83;40,00;4,92;7,00;12,00;9,00;18,74;24,96;33,72;0,00;1,00;17,71;7,21;2,00;45,65;27,95
5107065;60,89;59,04;68,40;55,23;95,37;30,72;71,97;38,08;84,89;29,04;87,98;71,70;32,37;65,87;100,00;22,67;17,60;0,00;0,00;5,88;4,14;53,47;10,52;71,52;56,07;80,07;88,73;62,30;72,63;6,00;36,14;5,00;26,58;0,20;5,60;27,40;5,25;0,20;12,14;29,06;91,51;25,08;11,76;41,14;35,27;35,27;7,19;41,02;28,82;1,33;170,27;23,44;55,56;3,70;9,00;6,00;2,00;19,35;110,82;33,14;0,00;1,00;0,00;0,00;1,00;33,99;20,63
5107107;60,65;68,60;58,96;54,38;90,45;42,87;90,31;50,78;85,44;23,66;75,68;51,07;19,11;65,88;98,84;33,68;19,08;0,00;10,54;21,09;4,16;78,22;49,06;75,60;80,38;98,97;99,39;82,21;27,69;5,00;14,07;4,00;28,13;0,20;4,10;22,30;4,95;1,90;11,62;19,81;81,95;17,50;31,63;105,45;158,17;31,63;5,27;0,00;92,76;0,11;25,97;0,37;72,73;4,33;2,00;4,00;2,00;17,18;377,51;25,95;0,00;1,00;10,32;0,00;1,00;58,42;25,98
5107156;56,53;79,70;56,58;33,30;92,83;38,56;87,39;100,00;82,35;14,80;64,38;64,79;19,11;62,59;32,26;19,25;0,00;0,00;0,00;38,70;2,85;76,65;39,93;63,08;76,82;95,94;97,29;79,19;0,00;1,00;0,00;1,00;0,00;1,80;3,00;23,50;5,20;0,90;8,21;13,28;55,06;4,43;36,75;183,76;147,00;76,70;0,00;0,03;23,76;0,36;51,91;1,15;44,44;3,43;7,00;4,00;2,00;11,43;779,48;51,43;0,00;1,00;300,00;763,36;5,00;25,56;19,46
5107180;55,78;58,19;62,03;47,12;88,63;44,49;66,77;32,86;75,47;24,87;80,72;67,07;18,14;60,99;100,00;9,37;37,23;0,00;10,51;9,92;7,46;60,21;22,74;66,24;57,45;76,19;78,09;55,89;28,57;5,00;48,74;6,00;48,04;2,50;9,50;28,80;4,70;2,90;17,26;25,14;66,47;10,89;9,92;39,68;148,79;39,68;19,84;16,93;14,39;0,52;141,48;39,93;66,67;3,18;2,00;3,00;2,00;29,26;0,00;30,32;0,00;1,00;0,00;0,00;1,00;13,77;8,69
5107198;56,93;67,63;59,45;43,71;86,30;57,14;86,73;40,35;83,86;17,29;67,56;69,08;19,06;73,68;62,81;19,26;40,00;0,00;0,00;41,88;5,49;90,60;45,43;100,00;89,96;98,93;91,03;70,73;60,72;6,00;13,96;4,00;56,80;1,30;6,00;36,10;5,45;0,30;6,56;17,93;61,53;10,94;41,88;41,88;125,63;167,50;0,00;0,00;0,00;0,00;69,78;6,64;77,78;3,52;2,00;4,00;3,00;12,00;0,00;32,00;0,00;1,00;179,53;119,05;3,00;25,05;19,78
5107206;55,55;66,88;56,41;43,35;89,79;38,27;86,65;52,81;72,61;29,11;71,79;52,14;15,09;71,41;74,45;12,43;14,71;0,00;19,56;19,38;2,99;85,20;77,99;81,12;86,39;96,80;98,74;68,62;50,89;6,00;6,46;3,00;25,84;0,60;14,10;28,50;5,00;11,90;21,88;30,61;72,41;9,94;19,73;155,07;135,69;19,38;19,38;0,00;87,74;0,00;27,84;0,00;66,67;6,93;2,00;3,00;3,00;17,65;118,29;14,71;0,00;1,00;0,00;183,49;4,00;18,01;11,67
5107248;56,67;72,32;58,82;38,87;90,12;38,68;88,75;71,72;72,65;26,61;85,20;50,79;18,53;58,10;60,79;18,03;33,33;0,00;0,00;22,29;5,78;85,83;83,04;98,40;91,94;96,31;97,12;73,62;57,27;6,00;0,00;1,00;0,00;1,80;12,30;27,30;4,40;10,10;15,83;20,90;70,09;29,46;22,29;66,87;89,17;22,29;0,00;0,00;39,38;2,44;287,38;79,88;66,67;3,99;2,00;3,00;2,00;26,67;727,32;16,67;0,00;1,00;197,53;40,43;3,00;25,38;17,39
5107263;54,60;64,49;52,50;46,83;73,60;28,98;79,05;76,32;82,43;14,35;63,21;50,00;19,08;54,99;100,00;13,24;24,39;35,71;0,00;31,89;5,32;60,79;84,21;69,26;71,04;92,99;91,91;62,23;0,00;1,00;11,07;4,00;10,63;1,40;2,20;31,40;4,50;0,60;6,30;8,98;59,38;11,24;63,78;95,66;159,44;63,78;33,22;0,00;83,39;1,13;130,29;12,56;33,33;4,95;1,00;2,00;2,00;7,14;2422,17;21,43;0,00;1,00;0,00;0,00;1,00;18,47;12,86
5107297;61,62;74,14;59,16;51,56;90,59;40,03;79,85;86,07;79,50;9,70;78,48;68,95;35,39;61,32;100,00;9,53;37,04;0,00;0,00;26,19;2,09;59,79;9,11;87,26;48,51;95,98;96,63;73,28;0,00;1,00;0,00;1,00;83,68;2,00;7,30;15,00;4,35;3,90;4,41;7,99;42,38;2,51;0,00;38,63;99,48;74,61;27,23;0,00;4,83;0,00;49,01;0,00;77,78;2,12;2,00;3,00;2,00;22,22;730,29;13,33;0,00;1,00;0,00;0,00;1,00;13,75;8,99
5107305;57,48;63,54;61,67;47,24;90,56;36,11;89,26;38,22;84,12;18,91;84,12;59,53;27,33;62,31;88,90;10,43;3,42;4,29;7,30;19,69;6,05;83,30;12,12;80,47;84,01;94,64;98,15;81,09;45,42;6,00;28,60;5,00;25,78;0,50;1,50;35,80;5,05;1,00;12,27;21,44;36,79;15,79;24,62;49,23;118,16;24,62;4,92;0,00;39,67;2,32;82,66;12,00;88,89;3,69;2,00;4,00;4,00;25,34;0,00;69,86;0,00;1,00;23,03;21,65;2,00;15,24;9,73
5107354;56,24;69,48;59,84;39,40;92,86;34,05;82,20;68,79;79,65;21,22;80,67;57,84;49,07;54,71;40,78;13,05;10,42;0,00;0,00;18,90;7,26;78,81;55,97;83,74;77,06;89,58;94,05;69,96;0,00;1,00;30,24;5,00;11,97;0,20;2,90;26,70;4,35;0,60;11,89;33,88;34,94;10,26;53,87;35,91;71,83;24,92;18,99;17,68;58,00;0,65;262,71;19,13;88,89;2,61;6,00;6,00;1,00;34,38;242,41;21,88;0,00;1,00;300,00;181,82;4,00;18,49;12,51
5107404;58,91;66,23;54,85;55,66;87,52;42,07;87,89;47,44;81,70;12,23;73,57;51,89;54,56;53,97;100,00;14,11;26,67;0,00;0,00;42,79;6,13;93,02;54,81;88,50;92,02;83,05;97,91;81,60;124,23;6,00;14,96;4,00;14,26;1,00;3,40;25,50;4,10;1,30;3,09;7,99;62,41;7,19;64,18;64,18;85,58;42,79;22,44;0,00;89,20;0,03;19,83;0,92;77,78;6,83;5,00;3,00;3,00;29,33;521,80;64,00;0,00;1,00;0,00;0,00;1,00;18,21;14,57
5107578;58,37;67,86;57,49;49,76;94,90;4,43;72,12;100,00;66,11;4,89;86,65;72,32;24,26;61,18;100,00;13,62;28,57;0,00;0,00;0,00;4,27;2,37;3,02;9,52;30,13;76,29;92,61;79,92;0,00;1,00;0,00;1,00;0,00;0,60;27,40;59,70;4,85;1,30;0,92;4,65;26,55;0,16;27,49;25,21;126,07;25,21;0,00;47,26;15,07;2,01;380,72;27,64;77,78;4,26;14,00;3,00;2,00;31,43;22,81;17,14;0,00;1,00;0,00;0,00;1,00;20,22;12,50
5107602;61,05;68,96;70,90;43,29;92,77;68,40;87,29;27,37;84,64;56,75;75,16;67,06;19,29;74,61;55,44;23,81;13,13;0,25;3,50;16,60;5,47;93,93;81,45;100,00;95,85;96,50;95,55;67,34;109,42;6,00;56,35;6,00;47,07;0,50;2,20;30,10;4,95;0,90;28,52;57,18;193,53;25,91;33,21;87,39;122,78;61,17;5,68;3,83;22,51;0,01;9,15;0,16;47,62;3,35;9,00;10,00;7,00;18,40;452,33;27,42;4,93;3,00;101,55;100,05;3,00;35,82;21,60
5107701;55,48;62,82;56,11;47,51;89,29;35,56;76,42;50,02;69,96;18,94;66,65;68,91;17,06;62,55;100,00;10,44;10,58;8,50;11,60;13,31;2,60;63,21;11,16;60,26;59,45;89,16;90,67;65,38;31,39;5,00;13,47;4,00;32,75;3,20;11,80;34,80;3,75;2,90;11,26;15,75;60,22;12,62;58,01;121,83;127,63;69,62;11,60;0,31;0,83;0,00;65,43;8,68;54,55;2,66;3,00;4,00;2,00;26,98;76,62;24,34;0,00;1,00;0,00;0,00;1,00;14,88;9,96
