IBGE;MUNIC;UF;ARRECADA;VABAGRO;VABIND;VABSER;VABSER;VABTOT;IMPLIQ;POP21;PIB;PIBPC;VAB1;VAB2;VAB3;RPC;PATLIQP;RMDEC;PATLIQD;POBE23;POB23;CADU
1100502;Novo Horizonte do Oeste;RO;7612563,07;106735,659;12106,788;40100,08;61437,989;220380,516;11121,271;8125,00;231501,787;28492,53;PEC;ADM;AGR;379,76;-18812,58;5228,12;-258991,73;399;1573;5347
1100601;Cacaulândia;RO;4312253,76;194610,078;3288,103;22239,501;47543,929;267681,611;7656,03;6307,00;275337,641;43655,88;PEC;FLR;ADM;387,89;38429,38;5668,26;561570,54;506;585;3153
1100700;Campo Novo de Rondônia;RO;9704620,54;204767,413;16149,023;32201,613;105266,335;358384,384;10992,458;14391,00;369376,842;25667,21;PEC;ADM;DMS;264,83;10597,68;5839,28;233673,22;855;1234;5431
1100809;Candeias do Jamari;RO;20870885,82;141452,035;133672,429;138514,108;204881,885;618520,457;37085,785;28068,00;655606,242;23357,78;ADM;ELET;PEC;258,51;2654,12;4338,20;44541,11;7490;3527;17976
1100908;Castanheiras;RO;3851042,83;56908,631;2350,767;8866,606;28280,925;96406,929;3219,879;2923,00;99626,808;34083,75;PEC;ADM;AGR;435,47;13724,73;6345,09;199979,39;401;413;1882
1100924;Chupinguaia;RO;25963000,22;224569,25;44524,668;70951,593;102007,177;442052,687;26739,966;11755,00;468792,653;39880,28;PEC;ADM;AGR;374,00;9236,24;4459,96;110143,66;1724;858;4478
1100940;Cujubim;RO;24172034,66;153670,063;43842,026;84312,873;179117,716;460942,678;26537,492;27131,01;487480,169;17967,64;ADM;PEC;DMS;213,12;4314,58;4332,29;87708,50;1126;2991;9337
1101005;Governador Jorge Teixeira;RO;4653334,31;146346,286;5055,769;22482,571;57878,4;231763,026;7567,245;7130,00;239330,271;33566,66;PEC;ADM;DMS;270,91;22461,10;3762,85;311982,97;1471;1913;5800
1101104;Itapuã do Oeste;RO;15201408,75;65084,768;14646,06;39845,924;79560,324;199137,077;10893,545;10819,00;210030,622;19413,13;ADM;PEC;DMS;244,36;4450,40;3852,26;70158,05;912;1464;5510
1101203;Ministro Andreazza;RO;13943423,38;132933,646;14077,709;59932,21;69319,84;276263,406;21614,768;9461,00;297878,173;31484,85;AGR;ADM;PEC;276,81;8033,79;6211,34;180270,05;879;864;4291
1101302;Mirante da Serra;RO;6487648,05;85083,553;14260,035;71351,934;75075,364;245770,886;16869,515;10691,00;262640,401;24566,5;ADM;PEC;DMS;310,49;16747,51;3970,25;214154,34;680;1134;7789
1101401;Monte Negro;RO;10541032,18;153359,883;23249,385;76056,718;116303,384;368969,369;20921,432;16158,00;389890,801;24129,89;PEC;ADM;DMS;317,70;11693,85;5364,31;197450,88;2733;1484;7961
1101435;Nova União;RO;4004380,88;82596,281;3240,053;16675,139;48986,716;151498,189;5822,622;6822,00;157320,811;23060,8;PEC;ADM;DMS;336,12;9971,60;4902,45;145438,13;1020;1122;4398
1101450;Parecis;RO;9088192,85;85286,411;3445,082;13907,585;47707,299;150346,377;5087,879;6319,00;155434,257;24597,92;PEC;ADM;DMS;161,96;5416,04;3936,70;131641,70;787;494;2831
1101468;Pimenteiras do Oeste;RO;2932455,17;178073,455;8909,305;24663,507;26359,059;238005,326;8203,295;2127,00;246208,621;115753,94;AGR;PEC;ADM;408,42;14635,22;4279,50;153348,51;450;363;1581
1101476;Primavera de Rondônia;RO;19199760,01;62242,059;2157,906;10663,02;28332,54;103395,524;3634,142;2697,00;107029,666;39684,71;PEC;ADM;FLR;500,96;19665,91;5540,50;217500,30;764;266;2287
1101484;São Felipe D'Oeste;RO;23056790,13;62311,342;3164,073;18618,026;40952,353;125045,794;5630,011;4962,00;130675,805;26335,31;PEC;ADM;DMS;422,17;15705,84;5032,24;187213,66;147;473;3028
1101492;São Francisco do Guaporé;RO;1889386,48;203490,068;17248,336;95712,838;142430,293;458881,535;29161,354;21088,00;488042,888;23143,16;PEC;ADM;DMS;338,45;18334,90;4363,81;236399,11;1936;2850;10074
1101500;Seringueiras;RO;24249103,63;147309,175;11109,318;61163,297;89979,782;309561,573;23425,413;11846,00;332986,986;28109,66;PEC;ADM;DMS;322,48;13981,13;4862,24;210802,01;893;1940;7383
1101559;Teixeirópolis;RO;8273330,6;62959,36;3836,236;15259,279;34221,654;116276,529;5024,11;4160,00;121300,639;29158,81;PEC;ADM;DMS;407,75;16860,60;4414,29;182534,35;734;464;2801
1101609;Theobroma;RO;6707185,53;140069,452;5750,636;23488,155;79582,438;248890,68;8535,114;10348,00;257425,794;24876,86;PEC;ADM;DMS;236,76;6668,39;4854,22;136721,80;665;1428;4900
1101708;Urupá;RO;16216548,84;110938,325;9241,208;54173,711;85571,483;259924,727;13576,547;11081,00;273501,274;24682;PEC;ADM;DMS;350,43;10950,75;5642,96;176338,43;2332;798;6086
1101757;Vale do Anari;RO;5460045,85;93455,455;6374,761;27946,91;84100,492;211877,619;8710,287;11545,00;220587,906;19106,79;ADM;PEC;DMS;209,86;7066,86;4974,14;167499,36;2105;1019;6891
1101807;Vale do Paraíso;RO;5878122,47;100038,746;4130,269;20871,154;53871,402;178911,57;6736,621;6490,00;185648,192;28605,27;PEC;ADM;DMS;435,52;18474,59;5121,63;217255,91;1425;490;4018
1200013;Acrelândia;AC;16782729,55;157857,659;13439,221;91388,786;114911,158;377596,825;21128,059;15721,00;398724,884;25362,56;ADM;PEC;AGR;228,83;3043,89;5204,92;69236,22;6084;1618;10951
1200054;Assis Brasil;AC;7629839,36;44810,294;3943,744;20601,455;61986,011;131341,504;2574,671;7649,00;133916,175;17507,67;ADM;AGR;DMS;308,94;2568,59;4849,05;40316,22;5892;944;8246
1200104;Brasiléia;AC;33716368,77;185723,919;45440,044;171335,056;203111,807;605610,826;80025,399;27123,00;685636,225;25278,78;ADM;DMS;PEC;416,79;7928,70;6128,34;116581,55;13241;1402;18428
1200138;Bujari;AC;12237361,42;168855,771;8390,806;36997,695;81805,917;296050,189;4780,076;10572,00;300830,265;28455,38;PEC;ADM;AGR;255,64;1667,01;5338,18;34810,12;3945;2527;8858
1200179;Capixaba;AC;8376032,28;342298,272;13142,103;52997,489;94528,186;502966,051;9386,843;12280,00;512352,894;41722,55;AGR;ADM;PEC;157,02;1110,14;5165,85;36521,93;5724;1076;9104
1200203;Cruzeiro do Sul;AC;86963390,58;100356,957;167725,301;900139,923;696401,756;1864623,937;194005,732;89760,01;2058629,669;22934,82;ADM;DMS;COM;523,11;5148,48;6408,28;63070,49;45648;4470;60704
1200252;Epitaciolândia;AC;27410925,06;160895,347;22539,976;246925,145;143215,398;573575,866;70965,636;18979,00;644541,502;33960,77;ADM;COM;DMS;450,36;7249,51;6993,27;112572,14;6604;1396;10546
1200302;Feijó;AC;22462188,71;172858,325;24430,691;103189,963;248872,237;549351,216;17689,272;34986,00;567040,488;16207,64;ADM;AGR;DMS;208,62;2689,29;5176,06;66723,37;20360;2190;27384
1200328;Jordão;AC;6233971,27;21976,924;2459,774;14030,504;73684,212;112151,415;1823,793;8628,00;113975,208;13209,92;ADM;AGR;DMS;84,94;285,97;4830,05;16261,80;6670;619;8330
1200336;Mâncio Lima;AC;12008244,58;53380,808;13659,005;48626,059;147681,74;263347,612;5857,226;19643,01;269204,838;13704,87;ADM;DMS;AGR;228,89;1215,56;5609,38;29789,00;13476;558;16157
1200344;Manoel Urbano;AC;10769577,22;55704,076;11432,432;33663,135;74979,35;175778,992;9124,712;9701,00;184903,705;19060,27;ADM;AGR;DMS;183,66;1361,35;4755,88;35251,62;8110;653;10675
1200351;Marechal Thaumaturgo;AC;15109416,89;56418,934;5964,034;29457,958;161583,282;253424,207;3440,635;19727,00;256864,842;13020,98;ADM;AGR;DMS;88,15;55,70;4231,73;2673,89;12977;951;15900
