IBGE;MUNIC;UF;REG;CAPITAL;AMZ;IBRAM;IPS24;NHB;FBE;OP;NHB1;NHB2;NHB3;NHB4;FBE1;FBE2;FBE3;FBE4;OP1;OP2;OP3;OP4;VABAG;VABIND;VABSER;VABADM;VABTOT;PIB;PIBPC;ARRECADA
1502855;Curuá;PA;NO;0;1;0;51,64;64,74;54,27;35,91;62,04;53,41;67,87;75,63;59,92;42,43;63,07;51,65;21,15;26,00;74,23;22,25;45804,71;3550,08;20928,94;75738,07;146021,79;149716,90;10132,44;9705795,44
1502905;Curuçá;PA;NO;0;1;0;53,30;69,92;58,87;31,10;63,61;84,95;72,89;58,23;53,72;56,08;63,19;62,49;17,96;28,99;63,52;13,92;103441,16;13686,86;60211,57;178159,02;355498,61;369776,76;8998,53;11073499,08
1502939;Dom Eliseu;PA;NO;0;1;0;54,80;71,06;53,60;39,73;66,32;71,25;85,85;60,82;51,42;55,45;60,21;47,30;36,24;36,81;68,52;17,35;233611,58;49662,08;303092,35;257719,03;844085,03;940611,43;15367,96;66116100,65
1502954;Eldorado do Carajás;PA;NO;0;1;1;49,82;58,94;53,71;36,80;58,18;53,54;77,74;46,29;54,10;51,16;55,04;54,54;41,22;23,78;56,14;26,05;156254,47;48345,07;139684,72;163112,14;507396,40;556042,40;16321,07;27321380,26
1503002;Faro;PA;NO;0;1;1;54,47;73,11;55,37;34,91;58,27;67,89;84,22;82,07;60,30;40,77;63,39;57,01;15,50;21,38;80,06;22,72;6823,24;2843,92;17199,98;46458,92;73326,05;76729,91;11041,86;1572311,89
1503044;Floresta do Araguaia;PA;NO;0;1;0;49,56;56,38;53,73;38,56;68,41;31,62;71,75;53,73;53,40;48,19;63,39;49,97;29,45;22,27;74,06;28,47;260687,23;116728,34;95087,58;99190,14;571693,30;602622,89;29053,27;19098275,61
1503077;Garrafão do Norte;PA;NO;0;1;1;51,22;57,72;53,63;42,30;69,64;48,76;59,18;53,31;54,41;47,72;58,87;53,52;46,45;22,09;68,38;32,28;75424,66;9990,90;49008,46;130160,00;264584,03;276032,65;10553,72;26716580,23
1503093;Goianésia do Pará;PA;NO;0;1;0;47,05;53,77;47,67;39,71;72,56;45,52;70,94;26,06;48,21;53,46;45,24;43,76;42,02;25,03;64,64;27,14;168148,98;16662,37;107078,69;183720,21;475610,25;506638,18;12156,01;14730256,42
1503101;Gurupá;PA;NO;0;1;0;51,13;63,54;47,18;42,66;64,19;42,94;71,10;75,94;38,13;17,38;67,03;66,16;34,84;27,69;82,65;25,47;79022,90;8426,72;45322,74;193239,40;326011,76;334287,02;9795,38;3934535,91
1503200;Igarapé-Açu;PA;NO;0;1;0;47,43;59,79;53,98;28,50;63,10;61,72;75,30;39,03;56,33;55,97;49,37;54,27;19,42;29,26;46,01;19,32;82651,33;30206,45;108507,86;160245,76;381611,40;415894,01;10600,35;24628976,07
1503309;Igarapé-Miri;PA;NO;0;1;0;47,28;43,83;58,74;39,28;57,26;22,01;68,46;27,57;58,99;47,17;63,18;65,59;20,79;33,02;82,01;21,32;188507,34;38042,58;126217,96;297945,45;650713,33;691233,36;10908,41;65388824,59
1503408;Inhangapi;PA;NO;0;1;0;51,06;61,75;50,39;41,04;74,84;47,78;69,27;55,10;51,02;46,97;49,18;54,39;38,15;32,13;70,62;23,25;76518,94;19361,10;16987,32;49501,27;162368,62;174628,50;14541,47;8200443,95
1503457;Ipixuna do Pará;PA;NO;0;1;1;50,47;62,67;49,90;38,82;56,98;79,70;67,68;46,34;50,53;45,50;58,00;45,58;18,45;24,92;73,23;38,69;83539,64;139060,65;89508,30;279771,03;591879,61;625212,97;9307,92;22982973
1503507;Irituia;PA;NO;0;1;0;49,30;60,86;52,14;34,90;69,48;54,22;65,77;53,97;52,56;47,74;55,22;53,03;30,27;27,29;75,43;6,62;60721,35;11029,18;53707,00;141564,03;267021,55;278005,93;8517,60;7685440,94
1503606;Itaituba;PA;NO;0;1;1;47,27;46,58;53,92;41,30;62,86;21,91;81,60;19,96;58,66;59,32;54,36;43,33;32,01;35,15;63,35;34,71;166185,70;753401,03;1316594,93;487245,56;2723427,22;3078558,25;30318,38;283688547,5
1503705;Itupiranga;PA;NO;0;1;0;48,98;57,29;50,49;39,17;71,96;30,92;79,66;46,62;46,56;48,19;62,93;44,26;53,23;26,33;55,17;21,94;396489,05;27777,39;143844,98;239735,66;807847,09;841955,86;15755,46;26988455,57
1503754;Jacareacanga;PA;NO;0;1;0;38,92;49,95;39,34;27,47;50,01;36,47;59,78;53,52;43,61;19,81;70,78;23,15;29,87;20,10;45,56;14,33;63183,86;290797,48;71739,48;183025,76;608746,58;625759,62;90011,45;29439829,48
1503804;Jacundá;PA;NO;0;1;0;51,08;58,20;56,79;38,24;65,83;31,07;82,98;52,91;54,67;62,87;50,18;59,43;43,28;39,67;43,46;26,55;68475,32;29734,71;211319,46;251218,46;560747,95;615694,79;10173,91;29709333,5
1503903;Juruti;PA;NO;0;1;1;53,34;66,92;56,05;37,03;71,96;59,14;73,00;63,59;61,54;47,88;57,78;57,00;23,50;30,64;52,13;41,87;290459,47;467214,80;303356,22;322782,41;1383812,89;1451756,37;24211,68;30406986,05
1504000;Limoeiro do Ajuru;PA;NO;0;1;0;48,01;59,83;55,72;28,49;67,86;26,64;69,08;75,76;54,16;36,40;65,85;66,48;25,74;22,43;59,30;6,47;331383,48;5534,40;24270,02;137099,36;498287,26;503050,92;16981,77;14815153,17
1504059;Mãe do Rio;PA;NO;0;1;0;48,21;48,91;57,00;38,73;59,85;41,33;84,08;10,37;59,98;58,77;51,23;58,00;36,27;27,64;70,80;20,19;31861,76;13178,50;121807,89;145853,90;312702,05;340310,64;11198,48;27109513,53
1504109;Magalhães Barata;PA;NO;0;1;0;51,69;68,72;56,28;30,08;69,80;68,97;74,95;61,16;51,69;54,54;62,06;56,81;25,99;28,79;52,73;12,80;36893,16;2916,43;13292,15;43080,60;96182,33;98431,99;11448,24;2460985,13
