IBGE;MUNIC;UF;REG;CAPITAL;AMZ;IBRAM;IPS24;NHB;FBE;OP;NHB1;NHB2;NHB3;NHB4;FBE1;FBE2;FBE3;FBE4;OP1;OP2;OP3;OP4;VABAG;VABIND;VABSER;VABADM;VABTOT;PIB;PIBPC;ARRECADA
2410900;Riachuelo;RN;NE;0;0;0;58,05;76,84;59,49;37,81;77,39;68,00;94,15;67,82;55,95;57,87;60,50;63,64;18,89;36,87;71,05;24,43;2108,19;84834,04;39733,47;53626,47;180302,18;192157,80;23123,68;3335463,77
2411007;Rodolfo Fernandes;RN;NE;0;0;0;53,50;62,17;52,13;46,20;79,38;72,35;96,10;0,86;57,74;59,96;20,85;69,96;37,17;31,85;82,69;33,10;5548,29;2095,37;15464,48;33147,55;56255,68;59193,55;13281,03;2147493,45
2411056;Tibau;RN;NE;0;0;0;57,71;64,68;59,90;48,55;72,06;57,77;89,45;39,44;53,82;80,28;44,74;60,74;41,23;31,35;80,72;40,90;17060,18;6620,05;43278,80;36368,78;103327,81;115024,12;27563,89;14709866,15
2411106;Ruy Barbosa;RN;NE;0;0;0;64,05;81,38;64,28;46,49;88,29;63,96;85,86;87,42;65,56;55,83;68,82;66,92;27,95;40,06;87,90;30,06;2150,63;84828,84;8647,51;28490,01;124116,98;126773,34;35372,02;4204004,19
2411205;Santa Cruz;RN;NE;0;0;0;56,43;68,72;63,15;37,41;70,15;77,15;94,63;32,96;64,69;62,58;56,09;69,25;27,29;42,75;56,10;23,52;33780,61;31230,12;268282,51;224069,92;557363,16;619042,22;15362,76;46590612,78
2411403;Santana do Matos;RN;NE;0;0;0;54,30;68,55;53,80;40,55;77,67;66,86;87,25;42,41;51,39;48,16;50,82;64,83;24,08;48,86;68,25;21,01;15113,75;5192,36;40083,77;75870,05;136259,93;147039,96;12452,57;24512796,04
2411429;Santana do Seridó;RN;NE;0;0;0;63,76;83,46;66,61;41,19;77,47;73,44;95,52;87,42;76,00;61,51;63,39;65,54;20,06;46,89;77,63;20,19;2836,43;3283,82;7772,60;20660,57;34553,42;36354,38;13469,57;3950433,31
2411502;Santo Antônio;RN;NE;0;0;0;54,96;71,18;59,13;34,58;69,50;50,14;95,59;69,51;54,21;63,90;62,02;56,38;31,64;35,99;48,27;22,40;9218,26;11341,67;113421,31;142443,57;276424,80;302536,80;12387,88;23692082,17
2411601;São Bento do Norte;RN;NE;0;0;0;51,81;59,00;58,07;38,35;76,34;61,89;83,48;14,29;63,35;51,50;54,84;62,60;20,06;32,95;67,04;33,33;10552,04;452181,07;19561,38;27248,23;509542,72;549242,83;204407,46;48612998,4
2411700;São Bento do Trairí;RN;NE;0;0;0;63,81;80,92;64,94;45,56;80,92;66,42;90,98;85,36;64,21;58,13;69,87;67,55;31,01;38,91;79,91;32,41;3432,34;1741,48;8121,71;30965,75;44261,28;45623,72;10047,06;2195946,44
2411809;São Fernando;RN;NE;0;0;0;61,18;75,08;62,26;46,20;78,57;85,50;86,39;49,84;69,96;59,07;52,62;67,41;26,63;62,12;75,73;20,33;13130,13;8497,07;11786,71;26599,64;60013,55;63597,56;17636,59;6066976,68
2411908;São Francisco do Oeste;RN;NE;0;0;0;60,97;75,07;63,79;44,06;87,12;68,41;96,35;48,39;59,98;65,22;64,64;65,34;38,03;39,72;78,78;19,70;2442,63;3571,53;14869,19;30777,55;51660,90;54448,08;12718,54;6313278,02
2412005;São Gonçalo do Amarante;RN;NE;0;0;0;60,38;73,52;59,85;47,76;68,61;85,98;94,80;44,70;53,09;65,16;58,99;62,17;34,13;45,93;83,99;26,99;38448,08;169628,05;877935,28;588540,40;1674551,80;1905023,47;18157,09;133290438,2
2412104;São João do Sabugi;RN;NE;0;0;0;64,05;81,33;64,33;46,49;76,51;70,56;93,00;85,24;73,60;63,19;55,62;64,89;53,00;32,17;81,35;19,44;19647,88;3161,40;19201,11;36943,38;78953,76;84586,36;13596,91;5246925,84
2412203;São José de Mipibu;RN;NE;0;0;0;50,65;58,56;56,87;36,54;70,37;54,33;90,46;19,08;48,28;65,68;49,44;64,06;17,11;39,75;64,85;24,43;58942,34;122525,76;435719,02;261511,83;878698,95;1040963,57;23357,80;92237678,84
2412302;São José do Campestre;RN;NE;0;0;0;53,11;68,27;57,24;33,81;73,76;72,87;95,23;31,23;60,26;57,30;47,28;64,13;32,91;41,33;34,67;26,32;3717,00;5057,68;31292,34;79428,00;119495,02;125092,54;9696,34;10462503,78
2412401;São José do Seridó;RN;NE;0;0;0;60,34;74,76;65,89;40,37;73,15;70,64;96,17;59,08;75,78;66,01;57,71;64,08;37,67;42,93;48,14;32,74;12665,69;10075,91;22957,07;30956,96;76655,63;83855,03;17856,69;5140134,88
2412500;São Miguel;RN;NE;0;0;0;56,49;67,30;58,71;43,45;75,58;45,62;90,35;57,67;55,73;63,17;48,42;67,54;28,09;35,35;88,42;21,93;10348,37;8963,06;129482,41;137395,58;286189,42;319743,90;13440,83;21885341,91
2412559;São Miguel do Gostoso;RN;NE;0;0;0;54,44;61,91;54,15;47,28;72,89;37,90;86,07;50,78;46,27;56,55;51,47;62,31;43,02;40,58;79,20;26,30;12443,56;310241,96;64906,93;77782,14;465374,58;492640,41;47183,26;37320323,77
2412609;São Paulo do Potengi;RN;NE;0;0;0;59,08;73,03;63,25;40,95;66,93;80,14;95,98;49,07;67,95;66,57;53,63;64,85;32,90;45,29;54,29;31,32;6971,76;13377,40;86723,86;105896,40;212969,42;231555,23;12966,47;15908118,48
2412708;São Pedro;RN;NE;0;0;0;53,54;65,13;53,61;41,89;71,74;59,23;91,70;37,86;54,39;51,81;49,98;58,23;27,67;42,32;79,66;17,90;3587,68;2218,87;11931,91;36141,90;53880,36;55800,64;9475,40;2207179,59
2412807;São Rafael;RN;NE;0;0;0;56,73;73,28;59,98;36,94;78,66;71,70;90,30;52,45;57,00;60,01;56,84;66,07;21,20;37,94;70,37;18,27;13206,50;3755,42;20342,26;47205,53;84509,71;88675,73;10836,58;2292459,64
2412906;São Tomé;RN;NE;0;0;0;54,53;63,45;55,41;44,73;71,06;61,17;89,78;31,80;53,78;52,48;49,04;66,35;46,21;35,73;75,10;21,89;3311,40;4759,22;27294,04;69997,02;105361,68;111775,60;10114,52;5679408,13
2413003;São Vicente;RN;NE;0;0;0;59,56;82,19;58,94;37,54;79,21;86,04;91,79;71,72;56,98;56,22;61,57;61,00;24,10;46,57;51,46;28,04;6675,74;5155,03;18729,27;41504,79;72064,83;76921,88;11877,99;5219598,46
2413102;Senador Elói de Souza;RN;NE;0;0;0;55,67;70,89;51,83;44,30;72,56;74,93;92,23;43,85;46,60;43,43;55,27;62,01;57,75;23,70;83,87;11,86;2257,15;3011,18;13302,22;39695,16;58265,71;60476,25;9806,43;1666502,27
2413201;Senador Georgino Avelino;RN;NE;0;0;0;58,62;82,01;59,56;34,29;75,31;80,72;96,59;75,42;49,06;64,48;56,47;68,22;27,27;21,53;64,90;23,47;65428,80;1753,91;10249,73;31285,68;108718,12;116487,00;25731,61;4004393,09
2413300;Serra de São Bento;RN;NE;0;0;0;55,60;68,33;57,03;41,44;67,35;69,04;89,19;47,72;54,42;56,31;51,88;65,50;34,77;43,86;67,09;20,06;1616,84;2754,59;15823,13;34228,93;54423,48;57410,69;10003,60;5935264,03
2413359;Serra do Mel;RN;NE;0;0;0;52,33;60,19;53,80;42,99;73,66;32,73;80,94;53,45;57,02;44,61;58,04;55,53;30,73;37,12;74,64;29,47;45639,53;565336,50;80193,44;80733,26;771902,73;858723,71;70243,25;128426631
2413409;Serra Negra do Norte;RN;NE;0;0;0;54,50;67,54;57,47;38,48;69,21;73,06;91,53;36,37;59,55;55,67;50,50;64,15;26,90;45,14;70,23;11,66;16409,92;6653,14;41904,05;46064,36;111031,47;118875,62;14666,95;9623609,75
2413508;Serrinha;RN;NE;0;0;0;55,55;75,52;55,06;36,08;76,85;72,70;88,34;64,18;57,92;52,26;47,40;62,67;22,33;23,52;76,91;21,57;7661,29;2343,11;15200,69;43901,65;69106,74;71898,67;11732,81;5852506,63
2413557;Serrinha dos Pintos;RN;NE;0;0;0;58,99;78,91;59,60;38,46;81,98;79,29;94,24;60,13;56,41;52,84;62,86;66,31;32,00;37,16;62,73;21,96;2102,14;3051,48;12535,71;29640,88;47330,20;49787,33;10303,67;4006130,69
2413607;Severiano Melo;RN;NE;0;0;0;55,83;60,39;61,80;45,29;58,46;73,63;92,03;17,44;65,13;59,95;51,84;70,27;35,66;34,24;83,92;27,33;8293,32;4555,94;22768,09;21260,24;56877,59;63099,52;36201,68;5596491,92
2413706;Sítio Novo;RN;NE;0;0;0;52,28;58,86;53,88;44,09;78,99;60,86;89,52;6,08;59,24;48,81;39,16;68,29;34,62;27,70;90,90;23,16;3122,00;1613,21;11158,47;36020,65;51914,33;53784,39;9604,36;2494426,31
2413805;Taboleiro Grande;RN;NE;0;0;0;51,48;59,14;58,95;36,34;79,02;62,22;93,60;1,73;59,89;67,46;41,27;67,19;28,49;14,45;70,39;32,03;1469,91;1476,76;7701,15;20648,68;31296,49;32472,96;12460,84;4398525,88
2413904;Taipu;RN;NE;0;0;0;50,20;63,93;52,85;33,82;76,62;50,85;86,80;41,43;47,42;52,50;55,36;56,15;22,04;32,91;64,81;15,52;38025,71;8996,36;26351,10;71873,04;145246,21;155199,30;12603,48;6309338,32
2414001;Tangará;RN;NE;0;0;0;54,72;69,38;56,24;38,55;69,92;84,98;92,46;30,17;48,01;58,41;51,84;66,71;29,03;34,54;68,23;22,39;5255,92;18672,65;64278,01;94107,58;182314,15;201785,04;12605,26;14413061,68
2414100;Tenente Ananias;RN;NE;0;0;0;59,57;77,53;57,16;44,03;70,90;69,73;94,12;75,35;50,19;54,33;57,35;66,75;32,86;30,26;99,03;13,95;5346,22;4533,93;32517,38;65179,87;107577,40;113587,91;10398,97;4902769,11
2414159;Tenente Laurentino Cruz;RN;NE;0;0;0;57,35;71,21;63,79;37,04;75,48;73,14;93,50;42,71;64,76;76,93;47,65;65,81;22,24;32,75;64,03;29,13;8970,70;21189,80;26124,67;43471,32;99756,49;107285,77;17631,19;7626153,24
2414209;Tibau do Sul;RN;NE;0;0;0;59,33;73,72;61,83;42,43;69,33;75,23;94,14;56,19;45,54;78,56;57,98;65,27;22,00;41,48;72,68;33,56;19197,69;34868,55;228063,16;99760,28;381889,68;415832,51;28299,48;51798450,05
2414308;Timbaúba dos Batistas;RN;NE;0;0;0;60,69;71,55;64,24;46,29;75,54;75,37;97,12;38,16;62,21;65,39;63,63;65,74;35,94;47,17;73,80;28,27;10870,15;1281,36;8684,53;20312,83;41148,86;43618,32;17972,11;2101118,23
2414407;Touros;RN;NE;0;0;0;55,55;69,22;53,02;44,42;74,10;71,05;87,56;44,15;53,54;42,14;55,92;60,47;37,51;37,46;75,81;26,92;99515,34;286754,21;173528,82;207133,46;766931,82;814844,69;24167,89;34100343,61
2414456;Triunfo Potiguar;RN;NE;0;0;0;56,28;73,69;53,70;41,44;72,17;78,92;83,60;60,08;41,73;55,99;50,54;66,54;22,91;31,15;78,24;33,45;4593,99;1788,62;10042,82;27622,47;44047,90;45830,86;14344,56;1515765,37
2414506;Umarizal;RN;NE;0;0;0;58,07;67,52;63,20;43,48;75,66;73,86;92,14;28,44;63,24;65,51;58,06;66,01;37,19;30,14;87,53;19,05;8624,49;5764,03;61440,98;62539,67;138369,17;151207,35;14421,30;7098199,94
2414605;Upanema;RN;NE;0;0;0;56,03;73,34;56,70;38,04;76,03;66,91;86,40;64,00;57,68;49,38;50,99;68,75;23,61;45,07;60,94;22,56;13530,46;40967,80;55723,64;91277,55;201499,44;214155,41;14337,24;12711182,51
2414704;Várzea;RN;NE;0;0;0;55,62;74,17;57,36;35,34;73,79;78,76;97,15;46,97;58,76;60,21;58,18;52,31;24,19;28,45;76,12;12,59;2198,64;2189,93;14542,25;35561,84;54492,66;56556,45;10229,06;3681434,83
2414753;Venha-Ver;RN;NE;0;0;0;58,49;70,20;58,27;47,00;70,16;47,24;91,55;71,85;53,45;59,00;58,69;61,93;22,51;38,28;97,59;29,62;2095,65;1031,73;8432,49;30311,94;41871,81;43203,08;10208,67;3331842,06
2414803;Vera Cruz;RN;NE;0;0;0;58,14;74,40;57,81;42,21;78,49;71,52;87,95;59,63;49,74;69,83;52,99;58,69;34,03;37,87;81,65;15,27;8132,85;6328,03;34880,96;75509,78;124851,62;133471,43;10436,42;7095707,1
2414902;Viçosa;RN;NE;0;0;0;67,43;87,99;65,39;48,90;74,80;93,85;98,50;84,82;66,48;64,72;62,22;68,14;32,21;50,67;66,23;46,48;1075,36;879,31;5477,18;14892,91;22324,76;23238,93;13425,15;2630455,81
2415008;Vila Flor;RN;NE;0;0;0;57,82;85,08;48,07;40,30;77,23;86,61;91,67;84,82;23,23;63,42;39,92;65,70;23,67;42,38;74,05;21,11;5806,72;1976,47;9615,86;24950,45;42349,50;44404,07;13802,94;3546960,22
2500106;Água Branca;PB;NE;0;0;0;53,55;63,69;59,34;37,61;72,46;41,22;87,60;53,50;67,48;48,96;51,43;69,49;26,39;37,14;66,62;20,27;6074,33;3561,02;21045,91;57405,24;88086,50;92036,23;8870,96;4782616,38
2500205;Aguiar;PB;NE;0;0;0;51,76;59,55;55,54;40,18;71,82;49,80;89,16;27,43;56,59;46,78;54,44;64,35;25,95;20,57;94,69;19,52;5837,42;5843,07;12448,48;31700,43;55829,39;60096,47;10689,52;5571952,38
2500304;Alagoa Grande;PB;NE;0;0;0;53,77;75,23;54,47;31,60;70,51;72,22;89,92;68,27;48,50;59,24;46,73;63,41;18,83;38,42;42,75;26,41;29547,76;15013,16;86967,82;151077,91;282606,65;300115,91;10573,42;24752448,53
2500403;Alagoa Nova;PB;NE;0;0;0;55,22;69,58;58,49;37,59;70,12;48,91;86,48;72,82;62,57;57,97;51,16;62,24;38,01;37,89;53,43;21,04;106987,30;47291,84;61355,74;102035,99;317670,86;335056,34;15961,14;12162521,93
2500502;Alagoinha;PB;NE;0;0;0;55,43;70,38;60,37;35,54;70,94;75,04;88,50;47,05;69,61;51,90;57,52;62,48;17,26;23,57;79,58;21,73;12232,54;4520,29;34840,24;80675,96;132269,03;138510,26;9468,20;4351390,58
2500536;Alcantil;PB;NE;0;0;0;51,08;54,96;57,99;40,29;73,57;39,37;83,58;23,32;56,89;49,91;58,62;66,56;18,88;24,25;85,56;32,46;6315,52;1810,68;11099,14;34075,75;53301,09;55096,99;9968,70;4327217,89
2500577;Algodão de Jandaíra;PB;NE;0;0;0;55,21;62,02;57,83;45,76;81,45;26,64;87,36;52,63;64,79;44,44;57,56;64,55;30,94;24,42;91,97;35,73;1977,30;880,14;5484,60;19708,63;28050,67;28629,39;11062,36;1510102,47
2500601;Alhandra;PB;NE;0;0;0;53,47;65,98;59,47;34,97;65,87;65,02;86,85;46,18;63,89;60,49;48,49;65,00;22,59;24,33;34,34;58,60;30130,76;184986,34;2234854,31;136909,02;2586880,42;3399775,21;171143,98;93131408,06
2500700;São João do Rio do Peixe;PB;NE;0;0;0;60,82;71,38;62,20;48,87;77,78;51,19;90,06;66,48;65,17;54,20;64,86;64,58;44,58;42,60;82,69;25,62;24075,69;10855,90;71420,96;98894,55;205247,11;225531,02;12515,60;18613378,37
2500734;Amparo;PB;NE;0;0;0;61,77;71,82;60,43;53,07;60,59;54,28;89,36;83,05;73,30;59,19;42,76;66,48;29,15;44,21;93,76;45,17;2456,02;1361,90;6642,43;17848,75;28309,09;29433,01;13000,44;3538765,86
2500775;Aparecida;PB;NE;0;0;0;59,52;69,50;63,88;45,17;75,05;59,06;89,56;54,31;74,28;54,64;57,49;69,12;36,71;26,04;95,36;22,57;8675,69;10319,65;31522,34;44699,13;95216,81;105225,69;12405,76;10244216,95
2500809;Araçagi;PB;NE;0;0;0;56,31;67,97;55,83;45,14;72,22;60,57;87,08;51,99;57,41;53,83;50,11;61,96;39,25;33,23;80,58;27,50;33101,07;8849,77;39751,48;97068,35;178770,67;185877,41;11026,72;12970932,52
2500908;Arara;PB;NE;0;0;0;57,64;71,51;60,11;41,29;78,79;54,66;95,90;56,72;64,38;52,90;57,98;65,19;25,10;29,33;87,51;23,22;5683,89;2793,99;29807,39;67609,71;105894,97;112307,59;8250,02;4847961,45
2501005;Araruna;PB;NE;0;0;0;59,14;69,73;61,03;46,67;78,67;45,73;92,23;62,29;62,65;55,89;62,17;63,40;37,97;36,80;83,08;28,84;13816,25;8591,24;55810,57;114392,83;192610,89;204298,38;9912,59;20339351,66
2501104;Areia;PB;NE;0;0;0;60,67;72,19;59,99;49,84;68,81;62,34;87,00;70,63;69,20;58,23;52,01;60,49;56,44;36,62;81,63;24,68;34024,37;18831,63;71164,80;113541,51;237562,32;257221,88;11435,64;32777553,48
2501153;Areia de Baraúnas;PB;NE;0;0;0;55,93;71,89;55,51;40,40;67,18;48,50;88,35;83,52;50,92;48,92;56,39;65,83;32,81;28,12;94,19;6,46;1341,09;1830,99;4386,88;16678,28;24237,24;26095,48;12396,90;2301527,23
2501203;Areial;PB;NE;0;0;0;57,35;68,93;64,36;38,76;79,37;31,15;92,31;72,92;68,95;64,53;59,16;64,79;15,17;23,16;95,21;21,52;2767,42;1680,26;15198,42;40232,04;59878,14;62577,70;8871,24;5491838,29
2501302;Aroeiras;PB;NE;0;0;0;52,93;62,14;57,45;39,21;70,25;27,80;87,61;62,91;66,07;45,19;53,64;64,90;22,33;25,95;78,19;30,36;10750,24;5594,57;39926,81;103967,89;160239,50;167984,98;8803,78;9901336,78
2501351;Assunção;PB;NE;0;0;0;53,50;62,72;53,46;44,30;67,75;46,95;95,93;40,27;58,79;54,58;34,27;66,21;23,35;33,62;87,90;32,35;2898,72;6104,03;11119,70;25939,71;46062,16;48497,52;11924,64;4496402,02
2501401;Baía da Traição;PB;NE;0;0;0;51,59;61,93;59,92;32,91;70,18;63,81;68,59;45,14;62,92;60,35;50,76;65,66;41,45;20,47;46,77;22,95;20787,24;3311,54;24872,86;54904,03;103875,67;107853,69;11727,05;8698711,53
2501500;Bananeiras;PB;NE;0;0;0;55,74;64,12;57,82;45,28;67,48;37,22;88,18;63,61;52,19;52,24;62,18;64,66;28,04;46,20;81,93;24,96;58598,76;16517,22;80669,79;110498,55;266284,31;278904,46;13143,47;15296516,77
2501534;Baraúna;PB;NE;0;0;0;58,57;68,45;62,23;45,03;73,44;35,30;95,75;69,33;67,85;58,04;60,62;62,40;27,82;43,32;86,23;22,73;1613,08;1360,87;13354,27;30985,72;47313,94;49783,68;9891,45;6000161,21
2501575;Barra de Santana;PB;NE;0;0;0;53,00;57,72;56,51;44,77;74,69;22,36;86,27;47,54;67,03;38,34;59,77;60,92;24,29;36,51;84,41;33,87;20244,79;2237,51;16224,75;49441,37;88148,43;90800,73;10889,99;8544671
2501609;Barra de Santa Rosa;PB;NE;0;0;0;57,39;69,50;60,76;41,91;71,66;54,05;85,76;66,51;65,00;55,71;56,94;65,38;40,65;34,34;75,33;17,35;14942,19;8162,87;37395,10;81742,87;142243,04;150844,68;9665,19;8552965,14
2501708;Barra de São Miguel;PB;NE;0;0;0;55,23;70,00;55,05;40,64;77,70;58,51;89,31;54,46;70,70;32,49;49,50;67,52;13,82;42,75;85,14;20,86;29864,80;2767,01;12379,50;37753,43;82764,73;84814,93;13915,49;4506302,72
2501807;Bayeux;PB;NE;0;0;0;60,63;69,62;63,37;48,90;67,91;74,49;90,72;45,38;55,35;68,53;52,80;76,80;49,57;32,83;81,42;31,76;5475,31;111613,38;572457,75;487098,41;1176644,85;1366842,23;14016,16;163131051,2
2501906;Belém;PB;NE;0;0;0;59,99;76,55;62,42;41,00;75,61;81,81;94,17;54,60;67,29;60,09;56,93;65,38;29,14;33,02;82,55;19,29;9452,64;26564,45;66019,20;92071,81;194108,10;218066,95;12297,24;22007337,2
2502003;Belém do Brejo do Cruz;PB;NE;0;0;0;57,85;64,49;61,10;47,96;63,24;55,74;87,39;51,59;62,67;62,08;53,41;66,25;35,82;36,40;88,06;31,58;8248,41;2953,00;18292,72;43610,91;73105,05;78556,97;10679,30;7991266,7
2502052;Bernardino Batista;PB;NE;0;0;0;54,51;62,12;58,68;42,74;70,15;43,03;85,23;50,08;64,94;58,34;43,87;67,56;39,35;31,50;57,24;42,87;2406,20;2308,92;8313,49;25638,26;38666,87;40037,05;11211,72;5623044,26
2502102;Boa Ventura;PB;NE;0;0;0;57,76;73,08;59,19;41,02;66,71;61,57;91,23;72,80;64,98;54,75;46,68;70,34;28,94;35,10;89,53;10,51;5516,10;2348,73;11722,77;30273,98;49861,58;51614,97;9835,17;4061473,25
2502151;Boa Vista;PB;NE;0;0;0;60,20;72,57;66,98;41,05;70,87;56,73;92,12;70,54;76,12;56,59;68,18;67,03;29,36;41,62;54,68;38,55;15345,06;83351,27;38509,50;43935,96;181141,80;206386,78;28593,35;8294415,71
2502201;Bom Jesus;PB;NE;0;0;0;59,61;75,53;59,13;44,18;63,65;63,50;91,84;83,13;61,80;63,06;48,10;63,56;43,64;41,91;58,27;32,92;2551,78;1709,55;8281,15;17936,99;30479,47;32050,82;12384,40;2260135,33
2502300;Bom Sucesso;PB;NE;0;0;0;52,00;58,82;62,84;34,34;67,99;56,85;90,91;19,53;72,60;54,12;55,82;68,82;22,79;36,01;60,45;18,12;6919,85;4560,86;11183,68;29778,91;52443,30;54512,89;11041,70;4590965,94
2502409;Bonito de Santa Fé;PB;NE;0;0;0;58,19;74,50;60,19;39,88;68,96;75,96;89,19;63,89;60,31;55,34;60,49;64,63;27,06;33,30;79,56;19,62;7563,55;4087,96;20393,73;61026,10;93071,33;96548,89;7962,14;3983923,68
2502508;Boqueirão;PB;NE;0;0;0;59,89;73,66;61,40;44,60;76,44;68,43;86,51;63,26;58,10;57,37;60,63;69,51;24,11;40,37;85,45;28,48;51266,86;20896,55;62358,88;98366,32;232888,61;256636,47;14310,05;22646413,49
2502607;Igaracy;PB;NE;0;0;0;57,58;72,02;60,19;40,54;71,57;69,12;91,55;55,85;68,94;56,13;48,17;67,53;25,95;35,07;84,23;16,90;7634,50;2951,57;13617,95;34268,30;58472,32;60774,46;9976,11;5549399,99
2502706;Borborema;PB;NE;0;0;0;59,08;76,20;61,01;40,04;78,30;73,33;93,92;59,24;62,25;59,96;59,26;62,57;38,68;29,40;67,51;24,58;20521,21;2911,70;11469,85;32761,14;67663,90;69205,24;13030,55;3671641,16
2502805;Brejo do Cruz;PB;NE;0;0;0;56,18;64,30;61,43;42,80;71,02;73,70;89,35;23,13;69,70;54,85;56,55;64,63;26,51;33,55;83,46;27,65;7228,89;8298,69;45354,53;77951,28;138833,38;147154,42;10299,88;12018898,66
2502904;Brejo dos Santos;PB;NE;0;0;0;55,11;60,66;64,40;40,25;61,09;72,71;90,64;18,22;70,04;60,80;61,10;65,67;22,79;25,99;89,62;22,62;3311,93;3395,34;16853,81;38201,85;61762,94;64311,48;9926,14;3781358,27
2503001;Caaporã;PB;NE;0;0;0;51,29;55,83;58,34;39,69;64,27;58,87;85,42;14,75;57,64;59,02;48,83;67,86;33,40;32,37;66,18;26,82;21187,25;133772,90;114299,05;122796,71;392055,91;467127,33;21157,09;39774071,62
2503100;Cabaceiras;PB;NE;0;0;0;59,08;71,93;59,93;45,37;79,88;43,58;91,12;73,14;75,20;38,63;53,99;71,91;22,25;55,01;83,60;20,64;65120,49;3209,33;13094,93;31714,07;113138,82;116487,32;20400,58;4968618,12
2503209;Cabedelo;PB;NE;0;0;0;65,01;77,56;67,85;49,62;73,66;80,36;90,84;65,39;64,43;77,36;57,09;72,51;22,17;50,62;66,68;59,03;4911,02;548544,12;1510449,68;432132,18;2496037,00;3152546,13;45182,89;565797374,4
2503308;Cachoeira dos Índios;PB;NE;0;0;0;56,88;69,50;59,31;41,85;68,55;55,89;88,28;65,27;57,43;52,49;60,20;67,10;39,56;40,23;67,41;20,18;7338,87;4431,68;46968,81;52426,71;111166,06;124811,02;12042,75;4136038,16
2503407;Cacimba de Areia;PB;NE;0;0;0;60,92;69,96;65,68;47,13;81,02;53,43;89,61;55,78;74,25;54,78;67,19;66,51;38,39;38,07;95,66;16,41;5835,65;2306,40;7434,19;22468,60;38044,84;39105,75;10546,32;1551486,99
2503506;Cacimba de Dentro;PB;NE;0;0;0;56,46;69,03;59,11;41,25;78,96;45,78;94,86;56,52;61,74;53,61;58,91;62,18;39,03;35,51;68,91;21,53;13291,23;4953,96;36597,05;92587,99;147430,22;154035,60;8971,73;14292773,94
2503555;Cacimbas;PB;NE;0;0;0;51,35;63,41;54,49;36,13;75,84;40,61;83,05;54,14;61,23;40,21;48,39;68,14;27,74;22,27;57,31;37,20;4919,52;2450,96;13873,71;43815,95;65060,14;67103,48;9287,68;2779764,56
2503605;Caiçara;PB;NE;0;0;0;58,19;73,99;61,23;39,36;71,27;71,93;90,96;61,78;66,16;59,88;59,29;59,57;15,48;31,25;85,84;24,89;5684,61;2821,43;15648,10;38917,90;63072,04;65660,66;9142,39;6391653,71
2503704;Cajazeiras;PB;NE;0;0;0;62,23;76,58;66,17;43,93;68,23;84,43;95,11;58,56;69,95;68,49;59,46;66,78;43,11;46,67;50,53;35,41;19795,65;116239,74;605976,29;333274,70;1075286,37;1231739,66;19683,90;157636835,7
2503753;Cajazeirinhas;PB;NE;0;0;0;53,40;60,26;58,78;41,16;74,26;45,22;76,31;45,24;71,75;47,55;49,05;66,78;26,72;26,10;90,50;21,32;7218,53;2254,86;7307,19;24113,98;40894,55;42008,53;13058,29;4841152,3
2503803;Caldas Brandão;PB;NE;0;0;0;57,37;69,61;60,66;41,84;71,34;72,26;89,72;45,10;67,68;64,05;47,90;63,03;25,94;19,26;93,14;29,01;6365,93;5903,80;21938,79;35210,13;69418,64;74706,15;12293,26;4994246,47
2503902;Camalaú;PB;NE;0;0;0;58,52;71,73;61,32;42,51;76,28;58,70;89,83;62,10;73,16;51,57;54,03;66,53;26,26;27,38;85,97;30,43;6732,51;3483,35;20900,26;36370,53;67486,66;71641,77;11845,53;6324089,37
2504009;Campina Grande;PB;NE;0;0;0;65,77;78,99;67,53;50,80;63,94;93,17;98,28;60,57;70,46;72,68;54,45;72,53;28,56;56,68;52,23;65,72;36425,23;1960346,08;4777656,07;2081468,42;8855895,80;10373107,31;25066,11;1663251816
2504033;Capim;PB;NE;0;0;0;55,71;66,52;55,94;44,66;70,28;41,49;93,95;60,37;59,79;56,55;42,33;65,07;28,69;34,07;84,96;30,92;10683,16;2871,38;18281,57;40307,95;72144,06;75638,49;11264,11;6825744,71
2504074;Caraúbas;PB;NE;0;0;0;58,88;73,09;58,03;45,50;65,62;55,99;87,91;82,84;68,47;40,48;57,53;65,64;28,13;39,84;87,73;26,31;4099,20;1697,69;9299,11;25652,77;40748,77;42197,48;10032,69;4124630,6
2504108;Carrapateira;PB;NE;0;0;0;64,58;86,60;61,50;45,63;83,69;81,02;95,15;86,55;71,84;54,09;52,23;67,85;28,74;23,46;91,05;39,27;1847,95;1237,21;6438,40;20786,90;30310,47;30950,21;11403,91;3650993,19
2504157;Casserengue;PB;NE;0;0;0;54,47;67,40;58,87;37,14;66,92;40,82;81,00;80,88;60,33;55,18;57,60;62,38;21,73;23,85;77,58;25,38;5409,78;2723,02;15038,18;44104,69;67275,66;70017,62;9298,49;5326815,37
2504207;Catingueira;PB;NE;0;0;0;55,29;67,66;55,00;43,20;68,05;60,56;88,85;53,17;69,11;45,07;41,55;64,27;30,20;32,71;79,87;30,01;5471,76;3128,85;11527,18;30440,65;50568,44;52898,76;10712,59;5144347,34
2504306;Catolé do Rocha;PB;NE;0;0;0;56,30;62,07;64,61;42,21;74,77;70,88;92,64;9,99;73,70;60,68;54,46;69,57;28,37;41,51;71,67;27,29;14234,59;46958,01;228952,23;158141,68;448286,51;505606,68;16405,68;48562739,9
