IBGE;IPSAMZ18;NHB;FBE;OP;NHB1;NHB2;NHB3;NHB4;FBE1;FBE2;FBE3;FBE4;OP1;OP2;OP3;OP4;NHB11;NHB12;NHB13;NHB14;NHB15;NHB21;NHB22;NHB23;NHB31;NHB32;NHB33;NHB34;NHB41A;NHB41B;NHB42A;NHB42B;NHB43;FBE11;FBE12;FBE13;FBE14;FBE15;FBE21;FBE22;FBE23;FBE24;FBE31;FBE32;FBE33;FBE34;FBE35;FBE41;FBE42;FBE43;FBE44;FBE45;OP11;OP12;OP13;OP14;OP21;OP22;OP23;OP24;OP31;OP31B;OP32;OP33A;OP33B;OP41;OP42
1100015;54,79;62,93;55,91;45,53;91,33;27,40;86,79;46,21;75,15;11,60;67,54;69,35;33,82;71,70;66,59;10,00;16,95;2,68;4,36;8,72;4,82;22,01;5,64;41,97;53,36;92,93;95,58;95,64;11,09;4,00;24,52;5,00;23,09;1,40;19,90;25,10;5,50;5,60;11,75;10,06;43,01;2,90;30,51;78,45;143,82;104,60;13,07;27,85;32,56;1,74;98,38;9,97;90,00;4,79;12,00;0,00;3,00;17,51;43,04;30,23;0,00;1,00;128,82;69,00;3,00;14,74;9,75
1100023;55,77;64,93;57,75;44,62;91,83;50,07;93,00;24,80;72,17;28,04;76,39;54,41;16,16;80,77;68,24;13,34;15,08;0,58;0,93;13,91;5,49;37,74;8,27;80,30;88,25;97,95;87,43;96,98;94,35;6,00;51,24;6,00;30,33;1,10;18,40;30,30;5,20;7,10;28,43;28,15;92,92;6,88;33,38;74,17;114,03;40,79;9,27;0,00;73,07;1,92;29,91;2,03;69,23;2,54;5,00;0,00;8,00;19,72;53,97;26,68;0,00;1,00;114,27;103,67;3,00;19,46;13,13
1100031;54,29;58,96;52,87;51,03;80,01;40,11;91,04;24,69;76,20;13,30;69,70;52,26;18,61;73,04;97,25;15,22;34,88;0,00;18,39;37,65;6,16;39,63;50,59;36,60;62,21;98,66;99,50;95,99;135,61;6,00;49,76;6,00;30,94;0,40;11,80;27,80;5,60;4,60;6,11;10,64;72,18;2,86;56,48;94,13;37,65;56,48;24,52;0,00;75,02;1,61;146,27;1,84;66,67;5,52;5,00;0,00;3,00;11,94;23,98;49,25;0,00;1,00;24,30;71,33;1,00;22,01;15,10
1100049;62,10;72,76;60,27;53,26;92,53;74,82;94,16;29,53;80,92;28,26;67,72;64,17;37,09;83,91;73,26;18,79;11,71;0,76;3,54;12,89;4,78;78,94;52,45;78,81;82,82;99,33;92,78;98,52;36,91;5,00;38,07;5,00;82,29;0,60;12,00;25,50;5,70;3,30;31,15;25,16;96,66;6,89;29,29;126,52;185,10;52,72;5,86;25,53;65,83;0,53;17,60;0,51;83,33;4,89;6,00;8,00;7,00;13,71;15,52;16,60;1,36;2,00;90,34;37,79;2,00;28,09;18,09
1100056;59,88;67,01;63,23;49,41;93,54;39,57;96,93;38,01;79,03;24,78;73,60;75,50;27,21;70,15;89,25;11,03;3,61;3,80;7,56;6,13;4,51;36,33;9,30;54,99;88,70;98,12;99,74;98,78;23,48;5,00;22,36;5,00;34,55;0,80;15,10;26,90;5,85;5,90;21,41;23,36;96,86;5,78;24,51;98,02;128,65;55,14;6,13;41,02;29,22;1,34;42,14;3,41;66,67;3,65;7,00;3,00;3,00;16,61;90,71;42,60;0,00;1,00;11,88;27,33;2,00;16,45;10,65
1100064;59,27;70,41;57,15;50,24;88,57;66,09;78,69;48,28;82,61;23,23;70,02;52,74;21,10;69,99;100,00;9,87;20,58;4,12;6,16;14,38;5,17;73,32;7,27;80,68;81,95;98,99;45,86;89,16;24,35;5,00;10,36;4,00;20,68;0,40;12,30;18,60;5,70;5,00;15,46;21,57;105,23;4,62;6,30;100,74;132,23;94,45;12,59;0,00;82,20;0,72;46,52;0,31;81,82;5,48;2,00;4,00;2,00;12,76;95,19;45,27;0,00;1,00;0,00;0,00;1,00;15,16;9,26
1100072;52,03;54,30;56,09;45,72;86,56;19,49;76,30;34,84;71,60;14,09;82,45;56,21;23,33;64,50;87,51;7,52;34,48;0,00;13,53;13,53;4,04;14,69;25,96;22,44;37,29;89,49;73,11;93,67;78,88;6,00;22,03;5,00;17,73;1,80;21,30;31,50;5,05;6,80;8,32;12,17;69,55;2,70;27,06;54,12;94,71;13,53;11,72;9,08;70,45;0,36;119,18;7,40;55,56;4,36;8,00;0,00;2,00;20,69;162,61;44,83;0,00;1,00;27,20;20,31;2,00;12,36;6,58
1100080;54,87;61,11;54,98;48,51;88,35;22,12;84,64;49,32;60,31;8,53;82,29;68,78;26,92;65,24;94,92;6,96;32,41;0,00;11,20;5,46;4,75;13,27;62,36;16,59;56,82;87,43;98,50;88,07;35,09;5,00;18,57;4,00;14,79;2,40;26,40;37,20;4,90;11,80;3,68;7,77;41,73;3,20;27,28;27,28;54,55;60,01;11,72;33,75;35,72;4,18;139,03;13,27;88,89;2,13;6,00;4,00;1,00;20,83;24,20;37,04;0,00;1,00;44,78;0,00;1,00;10,17;6,84
1100098;57,48;63,96;58,07;50,41;92,92;32,72;81,58;48,63;77,55;11,78;73,46;69,48;14,02;77,35;99,76;10,52;7,50;0,00;9,36;12,36;4,09;33,10;4,18;43,34;71,77;97,22;59,22;95,05;28,32;5,00;16,58;4,00;18,69;1,00;15,00;31,10;5,65;4,50;9,30;11,74;45,82;3,12;37,07;74,13;120,47;61,78;9,27;30,96;46,34;0,39;36,43;1,72;72,73;4,71;3,00;0,00;5,00;18,57;12,67;14,45;0,00;1,00;2,12;0,00;1,00;15,71;10,14
1100106;58,40;66,37;64,11;44,73;89,13;40,53;85,95;49,88;64,34;19,63;77,81;94,65;35,72;59,92;74,67;8,62;23,75;1,19;2,17;23,82;3,76;31,39;65,85;41,12;74,06;86,38;95,29;85,00;32,76;5,00;17,44;4,00;11,64;1,90;26,20;36,90;4,65;7,40;15,49;22,95;61,33;8,07;25,99;58,47;108,29;56,31;8,66;90,49;6,01;2,57;33,07;3,95;81,82;0,98;7,00;8,00;2,00;24,47;51,00;79,81;0,52;2,00;77,94;17,85;2,00;12,60;8,47
1100114;55,85;60,88;56,76;49,92;92,60;30,48;94,49;25,96;77,55;24,80;71,24;53,45;17,36;79,01;88,88;14,41;9,46;2,36;3,85;9,66;5,24;29,41;2,93;42,38;79,53;99,53;96,10;98,64;43,03;6,00;44,98;6,00;23,79;0,60;18,10;27,20;5,65;3,40;20,73;24,42;97,98;4,46;67,60;63,74;156,45;38,63;9,66;5,40;88,44;0,22;28,06;0,54;53,33;4,85;5,00;0,00;5,00;14,42;29,13;18,91;0,00;1,00;15,14;21,71;2,00;20,73;14,37
1100122;59,99;66,63;64,33;49,01;89,61;51,69;90,30;34,94;78,01;25,99;73,90;79,41;12,96;82,10;85,52;15,45;13,66;1,95;7,75;21,71;4,41;49,95;30,30;61,95;91,13;98,12;74,21;97,69;50,83;6,00;25,72;5,00;17,15;0,80;15,50;23,30;5,50;4,80;26,11;32,32;65,32;8,08;44,20;74,44;133,37;54,28;3,88;56,58;37,54;0,21;11,36;0,63;64,71;6,37;2,00;0,00;7,00;16,88;10,24;17,07;0,00;1,00;44,81;25,07;2,00;23,01;14,92
1100130;53,15;60,20;56,48;42,75;93,94;27,57;85,82;33,49;61,63;11,08;87,14;66,07;22,08;73,56;61,15;14,21;6,68;0,00;0,00;12,50;5,76;30,04;3,12;34,24;47,18;93,55;97,03;94,60;47,48;6,00;33,95;5,00;25,35;1,80;29,00;37,30;5,00;10,10;17,59;7,78;30,53;2,39;25,01;27,51;90,02;20,00;2,50;36,86;39,32;8,62;219,52;16,68;72,73;2,40;3,00;5,00;4,00;20,27;11,22;21,60;21,28;5,00;9,34;6,52;2,00;19,40;14,79
1100148;55,05;59,79;56,74;48,63;92,05;26,35;86,24;34,52;84,12;10,06;78,61;54,17;25,42;72,91;88,33;7,88;7,25;0,00;9,03;9,77;6,27;24,51;2,95;37,51;40,88;93,56;98,91;98,43;42,86;6,00;32,58;5,00;19,55;0,20;16,00;36,00;6,60;0,40;11,42;5,56;45,02;1,66;34,19;78,15;112,34;24,42;4,88;0,01;76,23;0,52;35,75;0,88;88,89;5,43;2,00;6,00;2,00;14,29;28,64;20,09;0,00;1,00;20,01;29,86;2,00;12,00;7,45
1100155;58,62;69,34;54,67;51,86;93,62;50,70;95,75;37,28;70,52;29,42;68,37;50,37;19,74;73,56;99,80;14,33;5,19;3,46;2,78;11,10;4,38;53,46;14,82;61,46;83,93;99,04;98,43;98,34;24,41;5,00;22,06;5,00;38,66;0,50;18,70;34,80;5,40;10,10;31,17;27,73;101,71;5,81;36,08;105,45;169,28;61,05;8,33;0,00;89,82;2,39;43,50;4,16;66,67;4,40;6,00;0,00;3,00;17,30;20,26;17,82;0,00;1,00;1,74;0,00;1,00;20,90;14,11
1100189;59,47;71,99;56,59;49,83;93,00;63,40;95,50;36,04;73,03;21,37;70,71;61,26;14,84;75,98;89,96;18,54;14,63;0,00;0,00;13,64;4,52;69,80;4,15;79,10;84,36;98,96;97,51;98,09;26,89;5,00;25,58;5,00;45,63;1,40;17,50;33,20;5,50;6,00;13,02;20,64;94,90;5,86;49,10;73,65;160,94;46,37;13,64;0,93;39,08;1,55;63,76;3,05;60,00;3,98;4,00;0,00;5,00;17,72;2,44;32,03;0,00;1,00;5,57;7,90;2,00;27,65;17,90
