IBGE;IPSAMZ18;NHB;FBE;OP;NHB1;NHB2;NHB3;NHB4;FBE1;FBE2;FBE3;FBE4;OP1;OP2;OP3;OP4;NHB11;NHB12;NHB13;NHB14;NHB15;NHB21;NHB22;NHB23;NHB31;NHB32;NHB33;NHB34;NHB41A;NHB41B;NHB42A;NHB42B;NHB43;FBE11;FBE12;FBE13;FBE14;FBE15;FBE21;FBE22;FBE23;FBE24;FBE31;FBE32;FBE33;FBE34;FBE35;FBE41;FBE42;FBE43;FBE44;FBE45;OP11;OP12;OP13;OP14;OP21;OP22;OP23;OP24;OP31;OP31B;OP32;OP33A;OP33B;OP41;OP42
1100205;62,68;60,11;66,78;61,16;90,74;34,71;89,76;25,21;67,19;47,91;79,47;72,55;27,68;79,28;47,73;89,96;16,25;0,80;0,94;23,98;4,11;33,54;45,70;31,78;90,25;83,51;93,43;91,32;62,42;6,00;42,68;6,00;28,02;1,70;22,30;35,40;4,90;7,30;44,19;48,09;154,06;21,12;14,73;75,54;89,32;50,99;6,04;40,41;28,39;9,69;55,26;6,70;61,90;4,66;5,00;5,00;7,00;17,83;23,09;35,49;1,83;2,00;149,64;173,19;4,00;145,40;80,10
1100254;57,08;68,32;53,79;49,13;84,64;45,73;92,19;50,73;78,92;23,41;61,65;51,17;12,16;79,16;100,00;5,20;38,06;3,46;5,27;21,07;4,83;41,91;40,40;52,13;70,75;98,21;94,83;98,82;14,15;4,00;10,34;4,00;41,52;0,40;16,50;26,80;5,85;4,30;24,34;20,59;86,51;4,64;36,87;126,41;252,82;73,74;5,27;0,00;90,81;0,10;43,52;0,31;77,78;4,69;2,00;0,00;5,00;14,53;32,61;16,61;0,00;1,00;0,00;0,00;1,00;8,05;4,84
1100262;57,97;68,59;51,22;54,09;82,46;16,07;75,85;100,00;59,77;14,01;81,39;49,72;30,20;67,46;100,00;18,70;28,57;0,00;26,86;26,86;4,35;5,74;44,74;16,71;25,00;85,47;86,82;91,22;0,00;1,00;0,00;1,00;0,00;1,20;30,00;32,00;4,80;10,80;12,33;14,04;53,08;2,49;26,57;106,27;26,57;26,86;0,00;0,00;63,33;2,38;306,82;27,40;88,89;5,91;6,00;4,00;1,00;16,33;53,65;36,73;0,00;1,00;0,00;0,00;1,00;27,94;18,02
1100288;60,36;75,13;56,71;49,24;93,93;69,92;96,32;40,37;76,99;22,41;75,69;51,73;22,33;78,30;79,25;17,08;7,27;1,11;0,00;5,45;6,84;58,68;25,32;100,00;85,98;96,90;99,57;99,66;31,67;5,00;21,28;5,00;21,28;0,80;16,40;31,50;5,85;4,50;18,48;19,47;92,75;6,44;25,43;81,73;132,59;38,14;10,90;0,00;90,27;0,22;13,80;0,16;88,89;3,69;7,00;0,00;6,00;17,03;10,04;31,98;0,00;1,00;100,15;35,59;2,00;25,09;16,72
1100296;54,30;62,52;54,58;45,78;90,38;29,96;77,88;51,88;84,14;14,30;67,18;52,70;22,66;70,55;79,02;10,90;8,93;0,00;15,40;15,40;4,82;31,09;0,16;40,22;56,23;53,67;92,65;98,69;19,69;4,00;10,26;4,00;35,06;0,10;15,90;19,70;6,15;1,80;10,27;11,56;67,62;3,02;30,79;123,17;169,36;30,79;22,12;0,00;81,33;0,17;65,28;1,33;100,00;8,26;5,00;0,00;1,00;13,39;27,80;27,68;0,00;1,00;102,14;22,71;2,00;16,10;10,61
1100304;59,12;73,96;66,15;37,24;92,24;84,02;95,44;24,16;75,53;26,19;79,91;82,99;14,21;79,09;36,91;18,75;18,43;1,16;2,00;9,01;4,48;96,35;16,25;96,26;93,98;98,17;92,73;96,55;99,76;6,00;50,65;6,00;33,96;0,80;12,70;27,80;5,40;7,40;23,02;28,80;83,30;9,50;25,04;63,09;102,15;43,06;5,01;56,77;16,43;2,33;21,76;1,70;69,23;2,72;4,00;0,00;8,00;17,88;14,21;55,77;21,86;5,00;140,31;67,99;3,00;27,89;18,13
1100320;54,80;56,14;64,26;44,01;90,21;8,68;88,23;37,44;78,74;12,12;82,86;83,32;7,93;68,02;88,89;11,20;18,82;2,97;4,36;8,72;5,82;4,27;1,93;16,31;48,71;97,50;96,54;98,90;31,82;5,00;29,04;5,00;37,76;0,10;14,00;25,00;5,50;1,40;6,74;7,26;68,51;3,45;21,73;60,86;73,90;34,78;4,35;67,67;24,01;1,79;80,44;7,81;90,91;3,88;0,00;0,00;1,00;19,62;10,02;20,43;0,00;1,00;15,05;5,96;2,00;18,32;9,84
1100338;51,69;57,10;55,95;42,00;90,73;8,38;82,93;46,38;61,90;11,48;86,37;64,05;9,86;58,29;88,37;11,50;18,48;0,00;6,72;16,35;3,96;4,40;16,75;9,66;50,23;88,92;89,74;93,21;17,89;4,00;21,10;5,00;22,16;3,40;25,70;33,70;4,60;9,00;10,08;13,02;38,34;2,45;19,62;39,24;68,67;22,89;6,54;53,05;36,54;12,72;453,83;45,03;90,91;1,28;2,00;0,00;0,00;22,38;149,03;57,08;0,00;1,00;19,68;12,26;2,00;16,54;11,46
1100346;61,21;72,48;58,27;52,87;88,55;55,78;91,12;54,48;75,08;13,48;73,11;71,41;41,44;75,99;81,50;12,53;28,09;5,00;0,00;10,96;5,35;51,96;72,01;53,84;59,78;98,66;98,79;98,47;25,55;5,00;6,79;3,00;29,68;0,40;18,00;24,00;5,30;5,80;14,92;8,75;56,83;2,57;41,63;104,09;145,72;20,82;7,80;37,48;45,21;0,33;55,74;1,02;81,82;5,16;8,00;8,00;4,00;17,42;2,54;15,73;0,00;1,00;80,23;9,81;2,00;18,33;12,30
1100379;55,20;62,27;57,76;45,56;90,12;17,35;86,63;54,98;66,98;9,96;78,29;75,79;20,15;62,97;90,01;9,11;11,63;5,81;0,00;15,35;6,36;11,73;2,90;29,36;44,10;94,43;98,69;97,12;18,95;4,00;15,12;4,00;17,63;1,60;22,80;30,40;5,10;10,00;7,66;5,16;55,81;1,29;15,10;52,87;120,84;67,97;7,55;47,21;33,16;1,37;77,27;5,07;77,78;4,23;6,00;0,00;1,00;23,26;154,44;28,49;0,00;1,00;5,20;10,03;2,00;13,53;8,83
1100403;49,58;51,65;53,29;43,80;90,17;4,89;85,83;25,71;66,61;9,87;87,30;49,38;10,06;64,92;90,20;10,02;20,66;0,00;4,67;9,33;6,62;3,57;4,20;6,66;47,31;95,60;91,27;98,02;81,79;6,00;44,10;6,00;25,24;1,00;20,20;32,80;5,00;9,90;6,54;7,32;47,03;3,81;14,00;37,33;56,00;32,67;4,67;0,00;69,87;6,66;219,75;16,95;45,45;4,14;2,00;0,00;1,00;23,97;0,00;26,86;0,00;1,00;3,51;6,40;2,00;14,01;10,23
1100452;49,75;53,47;55,30;40,47;90,57;5,89;91,00;26,40;72,65;12,74;83,13;52,70;20,98;67,86;65,31;7,73;23,73;1,61;5,14;2,52;5,84;0,60;13,22;9,08;66,58;96,33;97,48;96,72;111,87;6,00;71,62;6,00;21,32;1,40;19,90;32,10;5,25;5,00;7,99;6,65;71,17;4,41;12,61;37,83;143,74;40,35;2,52;13,37;78,24;7,93;168,41;9,07;63,64;1,67;3,00;5,00;2,00;21,52;49,21;25,16;20,00;4,00;35,27;33,00;2,00;11,19;7,66
1100502;53,95;62,16;53,21;46,50;92,28;20,68;80,98;54,71;78,68;10,14;72,50;51,51;15,15;63,13;99,19;8,52;10,53;0,00;0,00;17,14;5,96;19,62;15,86;23,75;35,94;97,10;79,84;98,04;15,72;4,00;11,43;4,00;19,14;0,10;21,50;24,80;5,80;5,50;7,61;7,77;49,54;1,45;30,47;46,85;187,40;46,85;23,42;0,00;88,03;0,42;53,33;0,23;55,56;2,17;5,00;0,00;0,00;23,08;15,49;27,47;0,00;1,00;7,18;44,54;1,00;13,13;7,96
1100601;52,97;58,08;51,41;49,41;90,57;8,66;90,16;42,93;69,28;9,72;76,11;50,53;31,77;64,90;88,10;12,87;0,00;0,00;16,16;16,16;6,78;8,05;3,07;11,52;55,53;97,68;99,59;98,09;43,47;6,00;16,12;4,00;16,12;0,90;21,70;24,60;4,90;9,40;4,70;7,30;51,78;3,12;16,05;80,26;80,26;59,24;16,05;1,54;75,04;1,54;213,05;15,02;88,89;5,49;5,00;6,00;3,00;26,76;128,53;32,39;0,00;1,00;22,00;21,73;2,00;17,96;13,16
1100700;54,73;60,25;53,39;50,56;92,01;21,72;83,53;43,73;62,77;6,19;85,16;59,41;24,04;66,93;98,84;12,44;5,75;5,75;7,07;7,14;5,10;22,96;5,43;26,62;28,85;96,05;99,29;94,76;27,99;5,00;28,49;5,00;2,38;2,00;30,10;32,50;5,00;10,10;6,93;3,38;28,00;1,08;14,15;21,22;70,73;42,44;14,15;23,65;58,76;3,99;269,12;8,42;66,67;4,93;4,00;4,00;3,00;26,44;55,52;25,29;0,00;1,00;10,21;25,88;1,00;17,95;12,36
1100809;53,90;61,10;54,64;45,95;88,07;52,43;79,80;24,10;52,23;15,84;80,53;69,96;9,59;65,50;99,08;9,64;7,56;0,00;3,75;37,46;6,86;50,09;69,08;48,64;59,45;82,64;87,72;83,63;80,07;6,00;54,72;6,00;34,26;2,80;33,60;47,10;4,25;13,10;11,42;14,86;59,02;8,93;22,48;63,69;86,16;41,21;7,49;51,65;31,08;11,77;207,04;33,48;77,78;1,73;2,00;0,00;3,00;26,95;8,77;41,06;0,00;1,00;8,10;15,14;1,00;13,93;9,58
1100908;52,19;62,14;43,73;50,69;87,30;27,90;77,90;55,46;66,76;10,13;48,52;49,52;35,72;73,04;76,52;17,48;54,55;0,00;0,00;0,00;4,70;34,29;11,60;26,96;36,76;97,14;70,10;95,81;0,00;1,00;21,61;5,00;75,04;0,70;21,00;29,90;3,80;10,70;6,51;7,56;51,31;2,43;98,30;131,06;294,89;41,58;32,06;0,00;81,13;1,47;225,34;4,81;100,00;6,41;12,00;0,00;2,00;10,26;77,74;33,33;0,00;1,00;41,20;47,48;3,00;29,30;14,93
1100924;56,57;64,52;58,18;47,01;88,80;65,70;75,54;28,03;68,09;13,28;87,96;63,38;14,47;60,40;98,36;14,82;11,83;5,92;8,94;17,89;4,72;62,42;42,65;78,36;62,01;86,86;62,42;86,76;57,51;6,00;42,38;6,00;12,17;1,60;18,40;41,40;4,75;3,40;8,67;14,14;50,24;5,57;8,94;35,77;91,86;8,94;8,94;22,92;52,15;0,85;135,38;11,12;55,56;8,63;2,00;0,00;2,00;22,49;236,08;62,72;0,00;1,00;14,45;0,00;1,00;21,71;14,54
1100940;50,55;54,49;56,05;41,12;92,48;6,03;75,37;44,09;54,87;9,17;91,84;68,30;14,64;61,17;84,54;4,13;9,57;4,78;3,97;15,86;2,51;5,32;1,10;8,76;58,22;85,65;56,88;94,57;43,17;6,00;13,65;4,00;9,58;2,80;29,80;39,00;4,35;12,40;8,31;4,33;47,00;2,50;7,93;15,86;55,52;19,83;3,97;59,84;48,18;12,66;262,09;26,21;54,55;1,94;2,00;3,00;0,00;23,44;6,46;44,02;0,00;1,00;53,40;35,22;2,00;6,28;3,92
1101005;54,27;53,89;59,12;49,81;91,86;5,91;82,01;35,76;67,40;10,74;76,65;81,71;27,52;69,26;86,94;15,49;9,17;0,00;12,87;18,53;2,49;0,32;10,68;10,43;27,32;97,97;90,06;97,30;44,71;6,00;29,00;5,00;12,53;2,30;23,70;32,30;5,15;7,00;6,77;9,31;50,60;2,74;25,75;77,25;141,62;25,75;12,35;66,73;26,79;1,08;147,74;6,67;66,67;4,20;5,00;5,00;1,00;18,35;28,17;13,76;0,00;1,00;32,21;32,58;2,00;22,37;15,39
1101104;56,70;62,20;61,82;46,08;91,85;37,99;87,27;31,69;64,97;17,05;84,04;81,22;26,10;59,42;89,01;9,79;21,05;0,00;0,00;9,56;5,38;12,71;41,30;65,47;73,19;95,03;81,33;95,33;100,38;6,00;38,71;5,00;35,46;1,50;26,50;29,80;4,70;7,70;15,71;16,66;62,16;4,07;9,56;66,93;76,50;19,47;9,74;65,37;23,25;4,09;117,62;11,49;66,67;7,40;3,00;5,00;2,00;33,68;3,37;43,16;0,00;1,00;13,96;12,03;2,00;13,87;9,89
1101203;53,34;60,82;54,94;44,27;96,00;22,91;89,86;34,52;80,67;8,92;78,60;51,56;9,67;68,66;89,09;9,64;0,00;0,00;0,00;10,35;5,19;27,31;0,71;26,51;49,92;98,99;99,66;99,58;25,40;5,00;47,91;6,00;10,32;0,60;15,90;21,90;6,05;3,90;6,78;6,48;45,09;0,91;20,70;62,11;72,46;41,41;20,49;0,00;88,74;0,31;38,10;1,13;66,67;2,46;2,00;0,00;1,00;18,00;27,08;21,00;0,00;1,00;13,24;12,93;2,00;14,23;9,39
1101302;53,62;57,48;55,23;48,16;92,01;17,75;87,00;33,17;69,63;13,82;69,36;68,10;12,84;70,29;98,65;10,88;12,82;0,00;9,03;9,13;4,81;17,38;3,04;23,88;59,46;95,29;98,96;87,42;67,18;6,00;36,36;5,00;27,11;1,50;21,60;30,20;5,00;7,30;7,01;10,33;76,95;2,07;27,40;91,35;173,56;73,08;9,13;34,70;53,73;1,56;53,37;5,51;66,67;3,70;3,00;0,00;1,00;16,03;63,16;12,18;0,00;1,00;11,93;0,00;1,00;17,13;9,95
1101401;49,75;58,47;52,47;38,31;93,05;24,73;87,05;29,06;66,64;11,37;79,74;52,12;22,27;71,44;53,61;5,91;10,00;0,00;6,37;12,62;4,04;26,95;0,12;31,73;46,40;92,23;99,43;98,20;66,77;6,00;50,85;6,00;6,35;1,00;23,60;29,40;5,10;8,70;7,04;8,30;57,85;3,28;25,23;63,08;82,01;50,47;6,31;5,54;75,47;3,79;162,04;11,02;77,78;7,07;2,00;4,00;3,00;18,00;55,64;28,50;66,67;5,00;75,91;8,55;2,00;8,53;5,87
1101435;50,40;62,82;51,94;36,42;88,81;21,79;78,14;62,52;69,06;8,10;79,22;51,39;12,16;68,68;55,20;9,66;11,11;0,00;13,87;18,71;6,19;13,64;51,71;19,47;28,11;94,06;77,64;98,05;17,62;4,00;9,46;3,00;19,08;0,70;22,40;34,40;5,20;7,00;4,13;4,84;48,71;1,21;14,35;71,74;114,78;28,69;14,19;0,00;86,07;0,32;63,19;4,82;100,00;5,82;1,00;0,00;0,00;14,89;24,47;19,15;0,00;1,00;146,37;173,80;4,00;13,64;9,78
1101450;52,69;61,03;56,47;40,57;79,73;34,29;85,27;44,82;67,27;7,50;90,69;60,43;11,79;62,65;79,28;8,58;39,22;18,52;0,00;16,82;6,92;36,80;38,56;29,78;46,96;94,63;95,79;93,11;43,86;6,00;16,70;4,00;5,49;1,20;20,80;30,50;5,00;8,70;7,09;3,62;39,74;0,75;20,40;32,93;32,93;16,46;0,00;6,98;46,00;1,46;125,29;5,55;55,56;5,55;2,00;0,00;0,00;23,53;47,20;25,49;0,00;1,00;99,83;22,19;2,00;14,74;7,11
1101468;57,81;68,80;54,06;50,58;87,37;60,61;89,24;37,99;72,42;13,41;65,08;65,33;26,93;58,99;93,10;23,29;58,82;0,00;0,00;0,00;3,30;65,41;3,13;77,43;72,71;90,12;93,18;95,76;120,46;6,00;30,58;5,00;0,00;0,70;14,50;34,00;5,65;4,60;11,56;10,10;59,68;3,36;45,64;98,28;46,10;60,86;45,64;35,57;21,35;1,23;430,53;50,66;55,56;11,41;2,00;5,00;1,00;25,00;21,44;71,15;0,00;1,00;60,91;155,28;1,00;32,78;23,65
1101476;55,44;72,56;54,41;39,33;74,24;51,71;87,68;76,60;76,90;15,00;70,98;54,77;12,88;71,54;50,84;22,07;31,75;0,00;34,03;63,39;4,29;66,94;16,22;48,14;71,60;97,94;78,60;97,81;0,00;1,00;11,34;4,00;0,00;0,60;16,00;30,80;5,15;4,40;15,26;12,73;59,43;1,96;61,05;35,01;280,11;45,37;0,00;0,00;69,40;0,17;68,83;5,44;55,56;6,81;2,00;0,00;2,00;17,46;16,35;17,46;0,00;1,00;267,77;103,19;3,00;30,78;22,57
1101484;55,34;68,58;48,11;49,34;92,46;17,68;83,15;81,01;70,78;6,56;63,47;51,62;19,96;68,88;98,59;9,92;13,33;0,00;0,00;19,33;4,27;18,92;1,27;22,64;28,38;96,22;93,51;98,78;0,00;1,00;6,31;3,00;19,07;1,50;15,40;37,50;5,10;5,80;9,69;7,77;9,65;1,95;37,88;58,00;154,68;96,67;37,88;0,00;89,01;0,08;40,80;0,00;77,78;6,44;5,00;0,00;1,00;16,00;79,75;22,67;0,00;1,00;12,43;0,00;1,00;14,35;9,84
1101492;55,61;58,61;63,27;44,97;92,95;7,03;87,24;47,20;77,33;10,94;82,68;82,13;49,88;64,16;58,25;7,59;15,02;3,25;0,00;4,93;5,02;0,54;17,87;10,21;52,69;96,59;93,99;96,01;25,50;5,00;18,27;4,00;26,74;0,40;17,70;26,90;5,75;4,50;5,18;6,52;64,20;3,16;24,67;24,67;83,88;64,15;4,93;64,68;22,73;1,31;107,13;11,19;54,55;4,59;11,00;10,00;1,00;23,12;41,51;32,73;0,00;1,00;202,42;52,41;3,00;10,92;7,57
1101500;55,85;58,30;56,94;52,32;88,02;14,98;86,23;43,96;74,22;12,11;67,12;74,33;30,21;71,13;99,34;8,58;10,64;5,32;16,87;8,43;6,44;11,46;4,92;22,90;38,31;96,34;98,98;97,73;20,68;5,00;11,25;4,00;44,97;0,50;17,70;25,60;5,60;6,40;7,98;6,97;68,74;1,85;16,87;101,21;126,52;92,78;21,08;45,21;34,13;1,59;95,85;8,60;66,67;4,89;6,00;5,00;2,00;18,62;19,03;14,89;0,00;1,00;5,78;64,54;1,00;13,04;8,14
1101559;53,74;59,14;48,17;53,92;89,43;14,35;88,36;44,44;70,32;11,80;60,68;49,87;31,16;70,59;98,34;15,59;17,24;0,00;0,00;22,81;6,84;10,66;29,12;12,82;44,10;99,03;99,03;98,87;58,38;6,00;15,21;4,00;7,60;1,50;20,80;30,00;5,55;8,70;8,11;9,39;56,96;2,63;38,02;116,06;162,49;92,85;23,21;0,00;95,50;0,10;60,34;0,91;55,56;4,11;8,00;4,00;1,00;15,52;22,02;17,24;0,00;1,00;14,68;0,00;1,00;21,29;16,22
1101609;52,84;59,02;54,39;45,11;87,50;11,16;78,25;59,18;73,57;8,22;83,55;52,23;12,03;70,08;89,11;9,22;20,55;0,00;9,53;19,15;6,64;9,57;14,59;11,63;24,57;98,00;77,91;97,25;25,80;5,00;9,53;3,00;3,19;0,70;22,10;35,90;5,65;4,00;4,45;5,59;46,62;1,28;17,46;47,87;67,02;38,30;9,57;0,00;79,74;0,68;102,76;2,00;66,67;2,76;3,00;0,00;2,00;19,86;29,60;16,44;0,00;1,00;13,12;13,40;2,00;12,42;9,69
