acr
60,08992454
65,58928689
64,92324859
72,01011823
79,37193568
91,61058647
84,81189823
78,08019326
77,52018552
84,42949945
84,64035305
70,50818898
65,26079598
63,05859614
59,09075355
62,36095832
58,3906902
57,43381784
56,45173571
54,82083536
54,20948309
55,24722243
49,80440359
53,84389923
55,26097644
57,65632977
56,09898997
56,54666091
53,25700449
51,59914186
49,30644338
49,01655572
54,01361282
64,58008033
64,34785589
58,64141027
54,83207308
54,42119236
55,41346296
59,13617422
59,63254042
62,54145059
62,67666997
68,57550225
81,37157471
87,50730036
91,49757373
98,13832637
99,80367019
98,9896067
94,74766181
91,00558049
82,30346707
69,966221
69,51433278
70,83497737
67,89670043
64,89416216
61,71744558
58,37797019
52,18844879
47,90769504
46,75564267
47,50030833
46,7705092
43,82593331
44,36488774
41,89361397
43,11736394
49,29321402
48,83822105
46,12023824
45,46733409
40,39112569
39,47950906
39,22450606
44,49211449
56,53921799
60,70075182
64,90852146
66,4002536
70,70311173
72,90542863
66,39409686
61,55405603
59,20529474
60,76911943
62,82498429
66,2505628
66,11074625
68,20962414
69,84070401
76,59833758
84,13282525
94,54457916
90,05072518
81,59780002
71,63969571
69,29989249
67,31961278
68,54792474
64,37322449
71,96715702
74,42012192
81,56776191
78,585108
78,44946145
82,35155981
80,2993049
81,19716489
91,11261482
81,80776192
85,1069437
91,47427873
91,82315642
95,42705289
92,68279575
88,43735024
93,16591648
90,28741061
96,80208274
92,07578752
82,62029135
81,18064005
79,90431722
79,46393973
80,43237317
79,49724126
74,01808287
68,84761096
66,20802361
64,4876178
65,06707228
67,78073782
67,89378097
70,15868778
66,50837413
62,01882098
66,97064795
69,08212775
67,7282426
65,37408991
62,06187628
60,27982734
62,92176964
64,28543786
65,44003523
66,09145958
64,33224454
66,64978458
69,38330432
70,13891494
68,98819506
71,53963589
78,7913837
69,7049865
64,90137818
63,59828559
63,64511996
66,9511478
70,75362059
66,38535514
66,61397813
73,68205906
82,69644176
82,61864808
79,63499649
75,64940293
75,62258548
79,63448142
80,62365107
83,62924647
91,46272424
94,90599432
101,7169984
102,5254045
94,88951762
90,06646821
90,0796751
86,88952802
86,39351386
81,06159957
71,00316193
66,80772373
64,41502558
63,15956164
65,45881512
66,47098109
64,47425713
63,12409504
64,10422126
62,73027036
63,36782559
62,68375227
60,08726403
60,03440388
59,5647741
50,69062736
53,06928324
58,56728632
58,01657161
60,14612429
63,62233889
64,10303804
64,7131679
61,05701909
58,19181539
61,18314631
61,33006158
59,00655068
60,82735686
62,1913049
65,62210531
73,95759996
87,05451573
86,96655753
86,38336797
72,84808387
67,5632047
71,2944418
71,35074161
