IBGE;MUNIC;FBE3114;FBE3115;FBE3116;FBE3117;FBE3118;FBE3119;FBE3120;FBE3121;FBE3122;FBE3123;FBE3214;FBE3215;FBE3216;FBE3217;FBE3218;FBE3219;FBE3220;FBE3221;FBE3222;FBE3223;FBE3314;FBE3315;FBE3316;FBE3317;FBE3318;FBE3319;FBE3320;FBE3321;FBE3322;FBE3323;FBE3414;FBE3415;FBE3416;FBE3417;FBE3418;FBE3419;FBE3420;FBE3421;FBE3422;FBE3423;FBE3514;FBE3515;FBE3516;FBE3517;FBE3518;FBE3519;FBE3520;FBE3521;FBE3522;FBE3523
1501303;Barcarena;12,63;5,53;11,84;14,21;14,21;17,37;15,79;14,21;22,90;17,37;48,16;39,48;47,37;45,80;54,48;47,37;52,11;56,06;63,96;74,22;60,01;78,96;89,22226609;75,7994473;69,48282669;75,01;61,59;71,85;75,01;93,96;26,85;32,37;30,00;44,22;47,37;67,11;48,95;38,69;45,01;56,85;1,58;3,95;0;3,158310304;7,106198184;4,737465456;3,158310304;3,94788788;4,737465456;8,685353336
1500107;Abaetetuba;14,54;15,80;5,69;21,49;13,91;13,91;28,45;28,45;24,65;17,70;51,84;35,40;48,04;55,63;53,10;44,25;46,15;60,69;59,42;75,86;94,82;67,01;72,06614914;73,33046754;63,8480795;65,11;66,38;98,62;128,96;128,96;37,30;46,15;48,04;53,73;43,62;35,40;68,27;55,00;66,38;60,06;0,63;0,00;1,896477609;1,264318406;2,528636812;1,264318406;3,792955218;1,896477609;8,850228842;4,425114421
1500206;Acará;5,23;19,17;26,14;13,94;19,17;15,68;19,17;20,91;40,08;29,62;40,08;45,31;40,08;47,05;47,05;64,48;45,31;45,31;52,28;71,45;83,65;80,16;108,0421713;104,55694;85,38816764;108,04;130,70;104,56;120,24;135,92;31,37;38,34;31,37;45,31;24,40;34,85;40,08;38,34;48,79;54,02;1,69;0,00;1,694254782;1,694254782;0;5,082764346;0;3,388509564;3,388509564;3,388509564
1503457;Ipixuna do Pará;9,89;23,08;13,19;13,19;9,89;13,19;46,16;29,67;13,19;36,27;13,19;42,86;59,35;39,57;36,27;46,16;52,75;39,57;65,94;59,35;112,10;85,73;95,61805533;135,1841472;69,24066075;108,81;145,08;92,32;115,40;135,18;52,75;32,97;29,67;23,08;36,27;16,49;36,27;56,05;29,67;36,27;0,00;0,00;0;3,297174322;0;0;9,891522965;0;3,297174322;16,48587161
1504703;Moju;10,84;9,63;16,86;24,09;12,04;19,27;24,09;18,06;26,49;25,29;22,88;26,49;22,88;27,70;25,29;31,31;21,68;34,92;24,09;49,37;44,56;46,97;46,9658835;66,23393827;50,57864377;40,94;43,35;63,83;72,26;75,87;21,68;27,70;30,11;22,88;27,70;38,54;46,97;28,90;39,74;40,94;2,38;3,57;1,18914548;1,18914548;3,56743644;8,32401836;3,56743644;5,9457274;5,9457274;4,75658192
1505502;Paragominas;26,53;21,79;26,53;21,79;29,37;18,95;21,79;24,64;34,11;36,01;41,69;48,32;41,69;65,38;65,38;71,06;53,06;67,27;60,64;73,91;99,49;90,96;91,91002293;90,01497091;97,59517899;114,65;95,70;124,13;109,91;118,44;32,22;33,16;23,69;45,48;44,53;36,01;42,64;48,32;69,17;48,32;6,63;6,63;3,789673141;1,89483657;4,737091426;5,684509711;8,526764567;8,526764567;4,737091426;4,737091426
1508001;Tomé-Açu;25,26;34,17;7,43;17,83;11,89;25,26;47,54;32,69;20,80;26,74;60,92;46,06;44,57;49,03;56,46;65,37;49,03;50,52;46,06;50,52;83,20;68,35;65,37404353;96,57529158;98,0610653;98,06;99,55;123,32;109,95;87,66;23,77;31,20;40,12;40,12;49,03;75,77;69,83;52,00;59,43;46,06;1,48;2,96;5,918473034;0;4,438854775;0;2,959236517;4,438854775;5,918473034;2,959236517
1501402;Belém;29,77;34,91;29,62;37,90;35,68;35,83;43,27;32,91;29,23;26,62;110,40;117,46;117,31;114,62;114,93;126,36;124,52;120,99;119,46;125,67;154,52;166,80;168,6372986;170,1717599;176,079436;171,78;188,59;186,51;193,42;187,43;90,69;98,13;102,43;94,68;105,19;109,56;200,48;93,91;107,34;106,18;2,76;3,22;2,68527846;3,14561191;4,219723294;4,219723294;4,756778985;3,375778635;5,140390194;4,06627881
1100072;Corumbiara;13,30;26,60;0,00;26,60;0,00;66,50;39,90;26,60;39,90;26,60;53,20;119,70;39,90;53,20;26,60;53,20;66,50;53,20;93,10;39,90;66,50;133,00;119,6967682;93,09748637;93,09748637;133,00;106,40;146,30;53,20;106,40;26,60;66,50;53,20;13,30;39,90;26,60;26,60;39,90;106,40;93,10;0,00;0,00;0;0;0;0;13,29964091;13,29964091;13,29964091;0
1503754;Jacareacanga;4,16;0,00;0,00;0,00;0,00;8,32;4,16;8,32;4,16;4,16;20,80;12,48;8,32;24,96;41,59;33,28;20,80;24,96;37,43;24,96;41,59;49,91;33,2751019;37,43448964;33,2751019;41,59;87,35;37,43;41,59;49,91;54,07;33,28;45,75;33,28;33,28;16,64;20,80;70,71;16,64;12,48;4,16;4,16;8,318775476;4,159387738;8,318775476;8,318775476;4,159387738;4,159387738;0;4,159387738
