IBGE;MUNIC;UF;VABAG;VABIND;VABSER;VABADM;VABTOT;PIB;PIBPC
1200336;Mâncio Lima;AC;53380,808;13659,005;48626,059;147681,74;263347,612;269204,838;13704,87
1200344;Manoel Urbano;AC;55704,076;11432,432;33663,135;74979,35;175778,992;184903,705;19060,27
1200351;Marechal Thaumaturgo;AC;56418,934;5964,034;29457,958;161583,282;253424,207;256864,842;13020,98
1200385;Plácido de Castro;AC;309366,107;17444,407;98405,076;149485,643;574701,234;601470,508;29854,1
1200393;Porto Walter;AC;25572,853;4314,233;22836,36;104988,402;157711,848;160534,749;12845,86
1200401;Rio Branco;AC;464933,151;880534,415;5153657,302;2949436,306;9448561,175;10955674,86;26119,02
1200427;Rodrigues Alves;AC;55116,275;7342,372;31896,104;158223,944;252578,695;255648,556;12933,1
1200435;Santa Rosa do Purus;AC;25745,472;2260,064;14093,654;64913,493;107012,683;108545,109;15747,15
1200450;Senador Guiomard;AC;391220,06;30582,332;150417,753;175830,353;748050,498;779671,689;33253,93
1200500;Sena Madureira;AC;209648,957;36343,601;153427,532;322723,704;722143,794;748094,167;15860,21
1200609;Tarauacá;AC;176339,166;23416,041;158431,935;322737,007;680924,149;711884,414;16279,09
1200708;Xapuri;AC;199220,702;23433,241;69330,853;142223,111;434207,908;454980,626;22902,48
1200807;Porto Acre;AC;259570,866;13578,138;50906,797;139960,174;464015,975;471314,639;24623,3
1300029;Alvarães;AM;66407,124;10232,344;32275,709;104372,105;213287,281;217332,509;13255,22
1300060;Amaturá;AM;13548,264;5176,561;19563,875;77746,18;116034,88;118871,741;9960,76
1300086;Anamã;AM;36623,922;6641,347;20013,702;72409,641;135688,612;138599,397;9697,69
1300102;Anori;AM;83154,828;10306,785;33232,566;115607,169;242301,348;248435,25;11324,94
1300144;Apuí;AM;84455,832;24728,401;59992,079;113588,958;282765,269;297810,086;13096,89
1300201;Atalaia do Norte;AM;26576,167;5315,828;25012,825;123688,707;180593,528;184947,271;8862,72
1300300;Autazes;AM;118723,645;31985,203;95443,012;238317,386;484469,246;506340,588;12348,26
1300409;Barcelos;AM;31861,9;19069,033;41808,891;146399,995;239139,819;245621,569;8844,22
1300508;Barreirinha;AM;52170,922;16600,356;57523,414;208089,569;334384,261;344889,507;10476,91
1300607;Benjamin Constant;AM;36798,708;24291,26;64580,178;251028,324;376698,469;388780,899;8664,03
1300631;Beruri;AM;26467,472;10111,881;38302,653;129777,153;204659,159;211871,211;10333,67
1300680;Boa Vista do Ramos;AM;25810,385;9165,166;30379,255;112933,086;178287,892;182412,101;9102,4
1300706;Boca do Acre;AM;121255,395;53416,793;115369,362;189778,013;479819,562;512795,578;14668,9
1300805;Borba;AM;52627,877;19864,961;74601,348;240084,223;387178,409;402130,676;9500,35
1300839;Caapiranga;AM;52503,622;8137,201;26900,305;86564,717;174105,845;177894,147;13194,94
1300904;Canutama;AM;23311,614;6976,473;26296,915;93398,387;149983,389;154316,147;9656,23
1301001;Carauari;AM;98426,771;23988,744;80006,774;151406,231;353828,52;370656,64;12906,32
1301100;Careiro;AM;60821,104;35813,655;70459,021;212447,979;379541,759;395194,093;10180,17
1301159;Careiro da Várzea;AM;193978,226;15110,34;35049,533;163697,881;407835,98;413374,145;13140,09
1301209;Coari;AM;113909,65;2000959,742;615213,672;536327,57;3266410,634;3380278,023;38982,37
1301308;Codajás;AM;299133,383;18840,39;49137,809;155827,558;522939,14;531995,467;17917,73
1301407;Eirunepé;AM;248976,216;20730,895;77827,416;204938,524;552473,051;568039,479;15726,02
1301506;Envira;AM;45372,45;9555,869;38933,805;114651,234;208513,357;215526,707;10387,83
1301605;Fonte Boa;AM;28885,012;14195,129;44171,787;127120,697;214372,624;222773,426;13576,3
1301654;Guajará;AM;31779,368;7128,063;29219,907;105025,278;173152,616;177320,17;10313,51
1301704;Humaitá;AM;183792,968;77642,907;254810,706;283060,665;799307,246;860167,548;15039,21
1301803;Ipixuna;AM;16712,882;7758,212;32394,802;153568,936;210434,832;216518,72;6945,94
1301852;Iranduba;AM;303361,642;123195,761;211278,932;305723,038;943559,372;1001862,277;20150,9
1301902;Itacoatiara;AM;465660,825;182494,037;926007,19;576311,301;2150473,352;2350463,023;22590,61
1301951;Itamarati;AM;42943,84;6480,859;23316,661;59016,118;131757,478;135619,961;17438,6
1302009;Itapiranga;AM;40381,978;9291,059;31590,665;64053,782;145317,484;152509,179;16377,7
1302108;Japurá;AM;16662,741;6035,535;21849,741;37323,42;81871,436;85808,931;48893,98
1302207;Juruá;AM;21456,015;6747,498;20684,749;85089,409;133977,671;138073,554;8910,85
1302306;Jutaí;AM;77531,395;14841,714;52066,183;114027,223;258466,516;266376,707;19787,31
