AGE;GENDER;EDU;MARRY;JOB;INCOME;HOUSE;OWN;CHILD;TEEN;ADULT;PET;STATE;POP;LIST;SHOP;STORE1;LABEL;STORE2;LUNCH;COOK;CHECK;MAID;LEFT1;LEFT2;FREEZE1;FREEZE2;OUT;READY;WASTE1;WASTE2;HARD;AVOID;FOOD1;FOOD2;DISC1;EXPIRED;SPOILED;DISLK;BADCK;NKEEP1;NKEEP2;DISC2;CERE;ROOTS;BEANS;MILK;PROTE;FRUIT;SWEET;DRINK;DISH;BREAD
51;1;22;0;1;19000;0;1;0;1;4;1;PE;1653461;3;3;30;2;2;5;5;2;1;4;4;2;2;3;3;3;3;5;3;4;2;2;1;1;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0
48;1;22;0;1;10000;1;1;0;1;2;1;PE;140577;4;4;30;5;3;5;5;3;0;4;5;3;4;3;4;4;4;2;2;3;2;1;0;1;0;0;0;0;3;0;0;1;0;0;1;0;0;0;1
26;1;14;1;0;1500;1;0;0;0;2;1;CE;39044;4;4;7;5;5;5;2;2;0;3;3;1;1;2;2;4;4;3;2;2;2;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
66;1;14;1;0;1500;0;0;1;0;2;0;RJ;6747815;5;4;15;5;3;5;5;5;0;5;4;4;4;2;2;4;5;5;5;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;0;9;0;0;1500;1;1;0;0;3;0;PE;1653461;2;3;15;5;3;5;3;1;0;3;5;2;5;2;1;4;5;4;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;1;17;0;1;10000;1;1;1;0;3;0;PE;140577;2;4;7;4;4;2;4;2;0;4;4;3;3;2;2;4;4;5;3;4;2;1;0;1;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0
50;0;17;0;1;4500;0;0;1;0;2;0;PE;140577;4;4;15;5;2;5;4;2;0;5;4;2;4;3;3;4;5;3;3;3;2;2;0;1;1;0;0;0;4;0;0;1;1;0;1;0;0;1;0
40;1;12;1;0;1500;1;0;1;1;1;0;PE;1653461;5;3;15;5;2;5;5;3;0;5;5;4;3;2;1;4;5;3;3;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;0;18;0;1;4500;1;0;2;2;3;1;PE;140577;2;4;30;5;4;5;4;4;0;3;3;3;2;2;2;4;5;5;5;2;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
46;1;17;1;1;8000;0;1;0;0;3;0;PE;140577;3;4;7;4;4;4;3;4;1;4;3;2;3;3;3;4;4;5;3;3;3;2;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0
18;1;14;1;0;10000;0;1;0;1;3;0;PE;1653461;4;4;15;5;1;5;2;2;0;4;5;2;4;2;3;4;3;4;2;3;2;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
43;1;20;0;1;19000;1;1;0;2;3;0;PE;140577;4;3;7;5;3;3;2;2;1;4;5;3;5;3;3;4;4;4;3;2;2;1;0;1;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0
64;1;18;0;1;6500;0;1;0;0;3;0;PE;140577;4;4;15;5;4;5;4;4;1;5;3;2;4;4;2;5;5;3;5;2;2;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
39;1;16;0;1;6500;1;1;2;0;2;0;PE;354317;3;3;15;1;1;5;4;5;0;5;3;1;1;4;2;4;5;5;4;3;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;1;16;0;1;1500;0;0;1;1;2;0;DF;3055149;4;4;5;4;3;4;4;4;0;4;4;3;3;2;2;4;4;3;3;3;2;1;0;1;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0
41;1;16;0;1;8000;0;1;1;0;2;0;MG;2521564;4;4;7;5;4;5;4;2;0;5;5;4;5;3;3;4;4;4;3;2;2;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
36;1;12;1;1;1500;1;1;0;2;3;1;CE;2686612;4;3;15;5;3;5;3;3;0;5;5;4;4;2;2;4;3;3;3;3;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
67;1;9;1;1;4500;0;1;0;0;1;0;BA;213685;4;4;7;5;1;2;2;1;0;5;4;5;2;3;2;4;4;5;4;1;2;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
