IBGE;MUNIC;NHB2114;NHB2115;NHB2116;NHB2117;NHB2118;NHB2119;NHB2120;NHB2121;NHB2122;NHB2123;NHB2124;NHB2214;NHB2215;NHB2216;NHB2217;NHB2218;NHB2219;NHB2220;NHB2221;NHB2222;NHB2223;NHB2224;NHB2314;NHB2315;NHB2316;NHB2317;NHB2318;NHB2319;NHB2320;NHB2321;NHB2322
1718899;Santa Rita do Tocantins;41,85;42,83;44,40;43,31;39,52;41,48;41,60;39,81;44,25;43,02;42,91;11,39;5,77;3,55;3,52;2,13;1,40;1,20;2,03;7,28;13,58;16,99;43,15;42,74;42,33;43,15;43,13;43,13;43,13;43,12;40,69
1718907;Santa Rosa do Tocantins;39,85;40,82;39,97;41,31;42,49;41,88;41,94;42,51;41,67;42,41;42,62;9,99;14,90;45,45;29,82;30,83;27,44;23,14;20,51;16,44;12,94;12,50;64,51;64,23;63,96;64,51;64,52;64,51;64,51;69,59;61,21
1721257;Tupirama;66,27;66,67;68,80;68,66;71,33;70,97;72,01;71,70;69,53;70,50;68,88;80,20;87,39;92,82;94,00;97,54;97,62;96,56;96,54;97,00;97,53;97,08;56,54;55,56;54,61;59,09;59,09;58,12;95,63;97,13;97,07
2101400;Balsas;63,71;67,23;69,52;71,85;73,09;74,44;75,22;75,53;75,72;75,72;76,43;40,15;36,59;33,67;35,34;31,98;23,31;19,90;19,78;23,00;24,08;25,18;82,66;89,15;88,99;88,80;92,10;91,16;90,17;89,74;86,41
5100201;Água Boa;81,80;82,30;82,18;82,05;83,51;83,84;83,14;83,40;83,64;83,64;83,08;16,08;25,41;27,16;37,08;60,37;72,03;68,09;63,11;52,31;29,37;16,40;78,07;76,43;76,98;82,80;80,74;81,91;82,64;82,23;84,69
5100300;Alto Araguaia;91,55;93,91;94,40;93,97;92,66;93,53;93,65;93,91;94,37;94,14;94,14;39,96;28,03;21,94;21,85;22,02;23,70;24,95;25,23;25,01;24,03;24,86;99,70;97,76;100,00;98,55;95,81;94,41;92,75;98,33;89,33
5100409;Alto Garças;92,61;94,39;95,29;95,91;95,47;95,46;95,79;96,23;96,46;96,55;96,53;13,33;5,22;2,94;3,01;3,04;2,65;2,42;2,26;2,45;2,37;2,06;;;;100,00;97,17;96,76;97,52;96,97;82,49
5101407;Aripuanã;56,40;56,12;56,99;55,89;56,44;58,88;60,76;60,05;60,73;60,18;60,51;8,41;6,47;3,47;5,50;5,08;4,70;5,04;4,99;4,53;3,97;3,45;76,87;68,36;57,70;56,80;56,53;60,08;63,53;64,10;58,88
5101902;Brasnorte;62,61;63,76;60,83;60,20;62,25;60,56;59,47;61,99;64,16;65,59;65,96;3,29;2,05;2,23;2,78;2,39;1,92;1,46;1,30;2,56;6,65;7,44;65,36;65,56;64,14;65,23;63,33;69,81;99,90;97,81;100,00
5102694;Canabrava do Norte;13,52;13,54;13,64;12,93;13,04;12,58;13,24;12,58;11,79;14,31;14,98;10,48;9,79;9,12;8,72;6,36;5,26;4,45;3,89;3,31;3,30;2,99;;;;;;;;;78,04
5103056;Cláudia;73,96;70,39;71,13;72,44;63,94;61,92;63,94;64,62;65,06;66,77;68,70;38,37;33,85;29,91;29,36;26,19;26,04;28,25;30,47;31,00;32,64;36,67;76,55;77,11;82,93;81,67;80,85;81,01;76,55;76,55;96,70
5103304;Comodoro;67,09;67,25;63,73;64,79;65,06;65,47;64,39;64,92;69,37;70,38;70,11;11,54;7,62;1,81;1,34;1,59;6,20;6,17;5,01;4,08;3,99;10,90;68,46;69,22;69,22;69,22;69,21;67,91;69,22;68,43;76,98
5103601;Dom Aquino;92,32;92,58;92,26;91,85;92,18;92,64;92,63;92,63;92,69;92,85;92,01;94,17;95,91;96,99;97,23;97,80;98,12;98,23;98,44;98,64;98,92;98,84;85,02;86,64;100,00;100,00;97,29;97,54;97,77;;86,81
5103700;Feliz Natal;62,18;67,71;69,72;72,60;71,68;72,49;72,86;75,32;78,85;78,97;79,29;18,24;8,41;8,35;11,21;8,17;16,72;24,80;26,20;26,02;33,97;30,06;74,30;65,72;64,75;64,53;63,14;74,30;74,37;74,09;
5103908;General Carneiro;61,31;58,70;57,53;61,64;64,97;67,98;70,24;69,18;66,18;64,27;60,94;49,31;48,68;52,11;49,31;38,42;30,29;25,90;22,28;18,38;18,07;17,83;94,93;94,42;97,96;97,26;94,77;;;100,00;86,14
5104542;Itanhangá;75,06;75,18;78,30;78,38;78,76;77,66;77,18;74,34;70,48;69,23;67,81;11,33;4,16;1,66;0,85;0,27;0,81;0,26;0,22;0,32;0,31;5,73;90,76;81,93;79,97;85,99;83,50;88,17;92,96;92,46;86,22
5105259;Lucas do Rio Verde;94,74;95,25;96,69;97,35;97,95;97,78;97,65;97,66;97,40;97,30;97,35;31,79;33,30;40,59;45,02;40,62;38,00;40,75;43,34;54,38;60,75;60,49;93,19;93,19;90,66;86,87;100,00;100,00;100,00;93,95;83,14
5105580;Marcelândia;68,41;72,50;73,62;74,62;75,08;77,59;77,62;76,96;75,55;76,06;75,23;20,65;13,83;10,16;8,63;7,21;5,76;5,74;5,25;4,29;4,69;4,63;87,26;84,47;87,40;89,87;89,63;61,85;98,14;100,00;91,12
