IBGE;MUNIC;METRO;CAPITAL;VAB21;PIB21;PIBPC21;ATV;POP21;ARREC23;IPSAMZ23;NHB;FBE;OP;NHB1;NHB2;NHB3;NHB4;FBE1;FBE2;FBE3;FBE4;OP1;OP2;OP3;OP4;NHB11;NHB12;NHB13;NHB14;NHB15;NHB21;NHB22;NHB23;NHB31;NHB32;NHB33;NHB34;NHB41A;NHB41B;NHB42A;NHB42B;NHB43;FBE11;FBE12;FBE13;FBE14;FBE15;FBE21;FBE22;FBE23;FBE24;FBE31;FBE32;FBE33;FBE34;FBE35;FBE41;FBE42;FBE43;FBE44;FBE45;OP11;OP12;OP13;OP14;OP21;OP22;OP23;OP24;OP31;OP31B;OP32;OP33A;OP33B;OP41;OP42
1505551;Pau D'Arco;0;0;111580,04;114869,82;21515,23;ADM;5339;7570682,12;47,75;54,77;50,65;37,83;72,19;14,69;80,9;51,29;57,44;15,96;69,32;59,89;17,66;46,95;65,7;21;54,26;157,48;55,45;0;6,52;65,91;3,59;67,15;61,78;83,5;87,12;86,77;71,23;6;18,48;4;18,48;0,8;25,3;52,3;4,25;13,6;9,7;0,38;89,49;8,87;73,94;73,94;351,2;147,87;7,21;11,76;56,58;0,9;79,37;20,6;55,56;4,44;2;0;2;24,03;4,69;23,26;8,31;3;7,52;155,4;4;32,96;21,17
1505601;Peixe-Boi;0;0;70066,3;72327,03;8946,94;ADM;8084;6596378,82;50,4;62,89;48,8;39,51;83,96;50,78;76,12;40,71;57,72;7,8;76,07;53,59;25,81;42,57;83,01;6,64;11,76;1052,63;24,76;2,48;5,25;84,52;62,01;19,82;75,1;75,78;71;82,69;49,98;6;24,75;5;42,11;2,5;26,4;55,2;4,5;10,3;4,64;0,46;42,45;2,34;86,62;61,87;222,74;24,75;2,54;0;81,14;0,19;11,22;2,1;44,44;4,08;2;7;2;29,41;2,19;31,76;0;1;0;111,92;3;9,65;7,17
1505635;Piçarra;0;0;280763,71;292754,58;22561,23;PEC;12976;8047574,68;49,99;55,22;51,51;43,25;84,9;5,42;79,08;51,49;64,19;6,55;85,54;49,75;29,72;44,01;90,15;9,13;23,95;606,06;15,41;1,58;5,75;9,17;8,59;45,65;48,19;74,6;95,88;90,98;28;5;32,35;5;7,7;0,1;20,1;36,2;3,9;10,3;0,17;0,3;50,81;8,22;46,23;7,7;146,39;30,81;7,7;0;87,99;0,13;74,65;2,31;55,56;0,69;8;0;2;27,54;1,6;40,72;0;1;16,03;29,35;2;13,41;9,79
1505650;Placas;0;0;309284,89;323262,68;10000,39;ADM;32325;19121473;48,51;52,85;56,55;36,14;92,18;4,94;69,77;44,52;73,98;3,97;90,4;57,86;12,19;38,58;88,73;5,06;13,51;0;3,39;0;5,04;5,48;16,12;8,61;38,31;90,1;91,48;49,72;43,34;6;22,11;5;18,95;0,1;18,5;32;4,8;3,8;2,1;0,04;26,49;0,07;3,16;44,22;44,22;6,32;9,48;20,54;38,27;13,42;162,73;25,99;38,46;0,6;2;0;1;29,73;4,16;17,57;0;1;32,76;3,6;2;7,39;5,44
1505700;Ponta de Pedras;0;0;265274,18;275229,86;8599,05;ADM;32007;7537969,33;54,62;66,07;57,88;39,91;88,61;35,62;62,59;77,44;68,2;6,32;86,94;70,06;19,88;49,54;80,3;9,91;22,36;549,45;3,17;3,17;4,55;55,07;34,26;28,37;46,68;61,81;95,57;41,45;11,52;4;3,17;2;3,17;3,7;22;33,7;4,5;1,8;0,74;0,18;53,89;0,64;9,51;72,9;107,77;41,21;6,43;0;2,17;0;7,84;2,56;81,82;0,22;2;0;3;25,24;1,62;46,65;0;1;31,98;110,85;3;15,28;10,15
1505809;Portel;0;0;922763,92;945733,13;14816,2;AGR;63831;22058017,44;44,01;49,7;44,8;37,52;92,39;16,78;42,26;47,38;27,58;7,33;91,28;52,99;40,05;25,05;75,79;9,2;13,22;125,87;3,18;1,61;4,05;15,36;31,14;2,56;40,34;41,68;56,48;29,47;54,14;6;28,6;5;1,59;13,3;46,8;50,8;3;18,2;1,92;0,07;56,07;3,79;6,35;28,6;57,19;25,42;4,77;7,46;12,52;23,48;159,14;33,57;66,67;0,21;6;9;3;26,68;123,63;18,75;0;1;185,24;28,7;2;15,07;8,88
1505908;Porto de Moz;0;0;390677,43;404676,63;9531,67;ADM;42456;33105272,2;51,37;59,11;53,94;41,08;90,32;27,72;59,73;58,66;32,92;5,83;92,91;84,1;35,24;33,2;88,17;7,7;16,39;136,61;4,78;2,43;5,03;55,89;34,9;42,28;49,64;58,89;71,73;56,08;31,54;5;14,35;4;4,78;17,5;43,5;54,1;4,3;12,8;0,54;0,2;47,67;3,17;16,75;11,96;69,38;28,71;2,39;73,78;7,71;9,29;68,9;9,02;61,54;0,22;5;8;0;32,24;1,16;22,68;0;1;39,27;19,02;2;12,67;7,4
1506005;Prainha;0;0;434021,22;442969,47;14851,29;ADM;29827;23298165,84;54,56;66,63;54,73;42,33;89,48;25,58;74,58;76,85;62,44;5,46;86,88;64,15;21,39;45,62;90,3;12,03;24,45;128,7;3,35;3,35;4,49;48,9;28,65;25,98;28,92;67,54;98,51;93,56;11,43;4;3,35;2;6,7;4,5;24;49,5;4,3;1,1;0,73;0,17;46,09;0,31;40,21;43,56;70,36;23,45;10,05;19,47;14,94;9,37;114,24;20,38;63,64;0,3;4;0;2;27,03;0;20,85;0;1;14,24;11,23;2;18,44;12,4
1506104;Primavera;0;0;258354,9;321726,05;29545,97;IND;10889;14829013,51;54,89;65,28;51,51;47,87;82,43;58,75;75,33;44,61;58,81;14,31;78,15;54,76;52,53;48,55;81,42;8,97;23,81;100;18,42;18,48;4,48;75,44;6,22;45,65;68,71;78,05;76,24;76,64;70,15;6;27,63;5;18,42;2,7;23,9;58,5;4,25;6,5;7,33;0,77;84,16;5,43;92,11;82,9;165,79;46,05;1,85;0;69,74;0,42;39,42;0,83;55,56;5,34;12;7;2;21,43;4,94;39,29;0;1;18,78;42,7;3;15,34;8,27
1506112;Quatipuru;0;0;117869,58;120881,86;8763,36;ADM;13794;3737724,61;53,49;60,48;54,05;45,93;84,4;39,99;79,01;38,54;57,44;10,2;84,33;64,22;46,23;48,3;81,74;7,44;26,67;0;29,19;1,48;4,66;40,1;20,66;79,47;78,3;81,72;78,81;76,82;79,68;6;51,09;6;14,6;1,7;28;64,8;4,2;5,3;7,24;0,13;56,05;2,58;36,49;43,79;131,37;51,09;0;0,55;27,06;0,18;2,56;0,29;44,44;2,26;11;7;3;25,33;8,42;32;0;1;14,95;121,29;3;11,16;7,83
