IBGE;MUNIC;OP3114;OP3115;OP3116;OP3117;OP3118;OP3119;OP3120;OP3121;OP3122;OP3123;OP3214;OP3215;OP3216;OP3217;OP3218;OP3219;OP3220;OP3221;OP3222;OP3223;OP33A14;OP33A15;OP33A16;OP33A17;OP33A18;OP33A19;OP33A20;OP33A21;OP33A22;OP33A23
5102686;Campos de Júlio;0;0;0;0;0;0;0;0;0;0;93,33;93,33;70;209,99;46,66;373,31;489,97;256,65;163,32;70;42,75;128,26;42,75;256,52;0;256,52;85,51;42,75;85,51;0
5102694;Canabrava do Norte;0;0;0;0;0;0;0;0;0;0;234,41;93,76;140,65;0;46,88;0;421,94;93,76;234,41;281,29;89,37;89,37;89,37;0;0;0;178,73;89,37;89,37;0
5102702;Canarana;0;0;0;0;4,6;4,6;0;4,6;4,6;4,6;151,68;199,58;87,82;143,7;311,35;391,19;231,52;183,62;175,63;63,87;183,04;137,28;30,51;198,29;76,27;91,52;45,76;76,27;45,76;30,51
5102793;Carlinda;0;0;0;0;0;0;0;0;0;0;60,06;40,04;100,1;40,04;0;60,06;40,04;20,02;40,04;40,04;0;46,88;281,29;46,88;0;140,65;0;46,88;46,88;46,88
5102850;Castanheira;0;0;0;0;454,55;0;0;0;0;0;27,5;0;27,5;54,99;27,5;54,99;27,5;137,48;137,48;109,98;0;0;0;0;65,49;65,49;0;130,98;65,49;65,49
5103007;Chapada dos Guimarães;0;0;0;0;166,67;0;0;0;0;166,67;0;0;21,35;21,35;352,26;651,15;266,87;266,87;1483,77;1216,91;0;0;0;48,82;146,45;317,31;97,63;73,22;536,98;659,02
5103056;Cláudia;0;0;0;0;0;0;0;0;0;0;21,58;21,58;172,64;129,48;86,32;107,9;0;64,74;64,74;237,38;0;47,13;141,38;94,25;47,13;47,13;0;47,13;47,13;47,13
5103106;Cocalinho;0;0;0;0;0;0;0;0;0;0;0;0;33,72;0;0;0;101,15;0;0;67,43;0;0;75,99;0;0;0;151,98;0;0;75,99
5103205;Colíder;0;0;0;0;0;0;100,5;0;0;100,5;6,41;102,56;44,87;70,51;147,43;211,52;173,07;211,52;121,79;147,43;0;30,85;0;15,43;46,28;107,99;30,85;154,27;61,71;77,14
5103254;Colniza;0;0;0;0;0;0;0;0;0;0;56,87;32,5;32,5;48,75;0;56,87;56,87;56,87;48,75;24,37;0;0;15,71;62,83;0;15,71;31,42;47,13;78,54;15,71
5103304;Comodoro;0;0;0;0;0;0;0;0;10,94;0;11,2;56;22,4;89,6;11,2;33,6;11,2;0;44,8;33,6;0;21,92;43,84;0;0;0;0;0;87,68;43,84
5103353;Confresa;0;0;0;0;0;54,35;54,35;54,35;0;163,04;35,23;29,36;88,07;82,2;140,92;223,12;176,15;369,91;340,56;381,66;0;11,67;23,33;58,33;93,33;128,32;35;139,99;70;209,99
5103361;Conquista D'Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53,45;106,89;0;0;0;0;0;0;0;0;106,72;0
5103379;Cotriguaçu;0;0;0;0;0;0;119,05;0;0;0;19,04;19,04;0;19,04;19,04;228,53;152,35;133,31;133,31;114,26;38,49;38,49;0;0;38,49;192,46;115,47;115,47;153,96;76,98
5103403;Cuiabá;13,6;13,6;27,19;20,39;13,6;6,8;27,19;27,19;47,59;13,6;66,59;72,26;75,55;100,93;116,16;146,62;157,67;209,92;195,59;204,55;86,16;89,87;84,67;131,47;84,67;117,36;129,98;118,84;134,44;123,3
5103437;Curvelândia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5103452;Denise;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28,94;28,94;0;0;0;0;0;0;0;0;0;62,74
5103502;Diamantino;0;0;0;0;153,85;0;0;0;0;153,85;0;0;18,47;55,42;175,5;138,56;73,9;166,27;434,14;554,22;0;0;0;0;57,27;19,09;76,37;95,46;248,19;190,91
5103601;Dom Aquino;0;0;0;0;0;0;0;0;0;0;0;25,84;0;25,84;0;0;0;0;25,84;0;0;0;0;62,23;0;0;0;0;0;0
5103700;Feliz Natal;0;0;0;0;0;0;0;7,4;0;0;78,9;0;138,07;197,24;256,41;295,86;216,96;59,17;118,34;335,31;33,26;0;33,26;33,26;232,79;99,77;133,02;0;33,26;166,28
